Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Operating Revenue,"102,887,000","198,738,000","36,852,000","53,390,000","17,789,000","4,391,000","15,864,000","23,858,000","19,053,000","39,666,000","452,000","34,764,000",-,"1,004,000","1,004,000",Financials in USD,Fiscal year is January - December
Other Revenue,"103,000","15,000","42,000","1,892,000","11,000","26,000","19,000","1,791,000","55,000","-199,000","341,000","2,001,000","563,000","174,000","174,000",Financials in USD,Fiscal year is January - December
Revenue,"102,990,000","198,753,000","36,894,000","55,282,000","17,800,000","4,417,000","15,883,000","25,649,000","19,108,000","39,467,000","793,000","36,765,000","563,000","1,178,000","1,178,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),478.596%,4399.728%,132.286%,115.533%,-6.845%,-88.808%,1902.900%,-30.235%,3293.961%,3250.340%,-32.683%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"39,812,000","45,210,000","19,957,000","56,419,000","36,528,000","28,814,000","39,095,000","26,633,000","17,549,000","16,065,000","1,748,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"63,178,000","153,543,000","16,937,000","-1,137,000","-18,728,000","-24,397,000","-23,212,000","-984,000","1,559,000","23,402,000","-955,000","36,765,000","563,000","1,178,000","1,178,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,881,000","14,066,000","15,488,000","15,304,000","16,648,000","18,794,000","22,198,000","2,561,000","38,384,000","10,574,000","24,173,000","-22,170,000","21,094,000","42,605,000","42,605,000",Financials in USD,Fiscal year is January - December
Research & Development,"33,571,000","47,611,000","49,868,000","58,014,000","53,231,000","30,218,000","50,864,000","47,482,000","46,256,000","39,746,000","47,138,000","38,316,000","62,261,000","42,172,000","42,172,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"50,452,000","61,677,000","65,356,000","73,318,000","69,879,000","49,012,000","73,062,000","50,043,000","84,640,000","50,320,000","71,311,000","16,146,000","83,355,000","84,777,000","84,777,000",Financials in USD,Fiscal year is January - December
Operating Income,"12,726,000","91,866,000","-48,419,000","-74,455,000","-88,607,000","-73,409,000","-96,274,000","-51,027,000","-83,081,000","-26,918,000","-72,266,000","20,619,000","-82,792,000","-83,599,000","-83,599,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-153,808,000",-,"-184,063,000","-68,558,000","-49,432,000",-,"-207,600,000","-118,584,000","-16,835,000","-18,527,000","-19,938,000","-29,202,000","-29,404,000","-27,975,500","-27,975,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"77,372,000","101,112,000","783,000",-,"43,431,000","150,932,000","1,226,000",-,"97,251,000","44,000","4,000","12,000","3,000","2,000","2,000",Financials in USD,Fiscal year is January - December
