Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021",,
Operating Revenue,"299,228","299,228","292,359",-,-,Financials in AUD,Fiscal year is July - June
Other Revenue,"1,659,297","1,659,297","5,917,484",-,-,Financials in AUD,Fiscal year is July - June
Revenue,"1,958,525","1,958,525","6,209,843",-,-,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-68.461%,-68.461%,-,-,-,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"21,607,375","21,607,375","19,531,509","7,486,616",-,Financials in AUD,Fiscal year is July - June
Gross Profit,"-19,648,850","-19,648,850","-13,321,666","-7,486,616",-,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","13,039,246","13,039,246","12,231,048","7,637,884","300,638",Financials in AUD,Fiscal year is July - June
Operating Expenses,"15,679,424","15,679,424","15,268,935","12,438,567","1,163,407",Financials in AUD,Fiscal year is July - June
Operating Income,"-35,328,274","-35,328,274","-28,590,601","-19,925,183","-1,163,407",Financials in AUD,Fiscal year is July - June
Interest Expense,"-642,888","-642,888","-86,091","-9,349,739",-,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"50,484","50,484","145,035","8,831",-,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"94,964","94,964","-257,251","-1,109,520","-1,049",Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-35,825,714","-35,825,714","-28,788,908","-30,375,611","-1,164,456",Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,"-1,687,791","-1,687,791",-,-,-,Financials in AUD,Fiscal year is July - June
Asset Writedown,"-1,478,892","-1,478,892","-3,100,000",-,-,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"-8,860,358","-8,860,358","-2,684,281",-,-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-47,852,755","-47,852,755","-34,573,189","-30,375,611","-1,164,456",Financials in AUD,Fiscal year is July - June
Income Tax Expense,"96,364","96,364","38,005","44,397",-,Financials in AUD,Fiscal year is July - June
Net Income,"-47,949,119","-47,949,119","-34,611,194","-30,420,008","-1,164,456",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-47,949,119","-47,949,119","-34,611,194","-30,420,008","-1,164,456",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"386,460,137","386,460,137","305,832,976","181,246,144",-,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"386,460,137","386,460,137","305,832,976","181,246,144",-,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),26.363%,26.363%,68.739%,-,-,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.124,-0.124,-0.113,-0.168,-,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.124,-0.124,-0.113,-0.168,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-22,975,935","-22,975,935","-23,247,104","-9,909,572","-78,982",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.059,-0.059,-0.076,-0.055,-,Financials in AUD,Fiscal year is July - June
Gross Margin,-,-,-214.525%,-,-,Financials in AUD,Fiscal year is July - June
Operating Margin,-1803.820%,-1803.820%,-460.408%,-,-,Financials in AUD,Fiscal year is July - June
Profit Margin,-2448.226%,-2448.226%,-557.360%,-,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-1173.124%,-1173.124%,-374.359%,-,-,Financials in AUD,Fiscal year is July - June
EBITDA,"-32,201,988","-32,201,988","-25,294,069","-16,943,699",-,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"3,126,286","3,126,286","3,296,532","2,981,484",-,Financials in AUD,Fiscal year is July - June
EBIT,"-35,328,274","-35,328,274","-28,590,601","-19,925,183","-1,163,407",Financials in AUD,Fiscal year is July - June
