Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
Revenue,"25,488,000","25,225,000","27,172,000","32,042,000","29,329,000","24,931,000","28,478,338","29,170,034","156,336,500","156,336,500",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-13.096%,1.179%,-4.587%,9.846%,-81.240%,-84.053%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"958,000","770,000","979,000","1,184,000","1,077,000","1,125,000","1,360,862","1,392,466","7,143,000","7,143,000",Financials in USD,Fiscal year is January - December
Gross Profit,"24,530,000","24,455,000","26,193,000","30,858,000","28,252,000","23,806,000","27,117,476","27,777,568","149,193,500","149,193,500",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","17,522,000","17,838,000","15,940,000","15,085,000","19,710,000","14,507,000","22,282,789","22,695,402","93,258,500","93,258,500",Financials in USD,Fiscal year is January - December
Research & Development,"2,775,000","3,355,000","2,182,000","3,009,000","3,568,000","2,635,000","6,218,152","6,282,994","14,655,500","14,655,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"20,297,000","21,193,000","18,122,000","18,094,000","23,278,000","17,142,000","28,500,941","28,978,396","107,914,000","107,914,000",Financials in USD,Fiscal year is January - December
Operating Income,"4,233,000","3,262,000","8,071,000","12,764,000","4,974,000","6,664,000","-1,383,465","-1,200,828","41,279,500","41,279,500",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,"-86,000","-86,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"523,000","350,000","328,000","283,000","251,000","184,000","375,469","375,088",-,-,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,"-343,000","-125,500","-125,500",-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,"-2,450,000","-2,450,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-826,000","2,491,000","4,082,000","-1,333,000","629,000","-234,000","1,992,776","1,988,938","-867,500","-867,500",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"3,930,000","6,103,000","12,481,000","11,714,000","5,854,000","6,271,000","-1,590,720","-1,412,302","40,326,000","40,326,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"-68,000",-,"-526,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,"450,000","450,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"3,930,000","6,035,000","12,481,000","11,188,000","5,854,000","6,271,000","-1,140,720","-962,302","40,326,000","40,326,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,074,000","1,497,000","2,546,000","3,678,000","2,084,000","2,054,000","1,332,854","1,369,966","8,388,000","8,388,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"2,856,000","4,538,000","9,935,000","7,510,000","3,770,000","4,217,000","-2,473,575","-2,332,268","31,938,000","31,938,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-1,732,000","-1,010,000","-2,403,000","-3,534,000","-1,917,000","-1,973,000","-1,006,000","-1,006,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"1,124,000","3,528,000","7,532,000","3,976,000","1,853,000","2,244,000","-3,479,575","-3,338,268","31,938,000","31,938,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"1,124,000","3,528,000","7,532,000","3,976,000","1,853,000","2,244,000","-3,479,575","-3,338,268","31,938,000","31,938,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-39.342%,57.219%,-,-,-94.198%,-92.974%,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"85,643,646","85,502,403","83,265,879","63,588,119","63,588,119","63,588,119","63,588,119",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"102,640,373","104,325,463","83,265,879","78,904,324","78,904,324","78,921,366","63,588,119",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),30.082%,32.189%,30.946%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.013,0.041,0.090,0.063,0.029,0.035,-0.055,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.013,0.006,0.090,0.050,0.020,0.030,-0.055,-,-,-,Financials in USD,Fiscal year is January - December
EPS Growth,-34.377%,-80.350%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"1,033,000","-6,949,000","2,653,000","5,608,000","2,056,000","8,675,000","-2,597,369","-2,431,258","37,544,000","37,544,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.010,-0.067,0.032,0.071,0.026,0.110,-0.041,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,96.241%,96.947%,96.397%,96.305%,96.328%,95.487%,95.221%,95.226%,95.431%,95.431%,Financials in USD,Fiscal year is January - December
Operating Margin,16.608%,12.932%,29.703%,39.835%,16.959%,26.730%,-4.858%,-4.117%,26.404%,26.404%,Financials in USD,Fiscal year is January - December
Profit Margin,4.410%,13.986%,27.720%,12.409%,6.318%,9.001%,-12.218%,-11.444%,20.429%,20.429%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,4.053%,-27.548%,9.764%,17.502%,7.010%,34.796%,-9.121%,-8.335%,24.015%,24.015%,Financials in USD,Fiscal year is January - December
EBITDA,"4,687,000","3,500,000","8,496,000","12,966,000","5,292,000","6,950,000","-1,152,071","-959,269","43,577,000","43,577,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,18.389%,13.875%,31.267%,40.466%,18.044%,27.877%,-4.045%,-3.288%,27.874%,27.874%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"454,000","238,000","425,000","202,000","318,000","286,000","231,394","241,559","2,297,500","2,297,500",Financials in USD,Fiscal year is January - December
EBIT,"4,233,000","3,262,000","8,071,000","12,764,000","4,974,000","6,664,000","-1,383,465","-1,200,828","41,279,500","41,279,500",Financials in USD,Fiscal year is January - December
EBIT Margin,16.608%,12.932%,29.703%,39.835%,16.959%,26.730%,-4.858%,-4.117%,26.404%,26.404%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,27.328%,24.805%,20.399%,32.874%,35.599%,32.754%,-,-,20.800%,20.800%,Financials in USD,Fiscal year is January - December
