Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
Revenue,"20,437,000","20,490,000","14,880,000","19,865,000","19,823,000","19,454,000","11,846,000","20,856,000","20,078,000","20,582,000","14,760,000","22,509,000","21,826,000","18,357,000","11,960,000","16,347,000","15,436,000","10,272,000","7,062,000","11,081,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),3.097%,5.325%,25.612%,-4.752%,-1.270%,-5.481%,-19.743%,-7.344%,-8.009%,12.121%,23.411%,37.695%,41.397%,78.709%,69.357%,47.523%,24.514%,53.842%,57.775%,266.556%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,065,000","1,981,000","1,231,000","2,131,000","2,225,000","2,571,000","1,706,000","2,981,000","2,125,000","2,143,000","2,014,000","2,575,000","2,411,000","2,425,000","1,740,000","2,244,000","2,221,000","1,700,000","1,356,000","2,078,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"18,372,000","18,509,000","13,649,000","17,734,000","17,598,000","16,883,000","10,140,000","17,875,000","17,953,000","18,439,000","12,746,000","19,934,000","19,415,000","15,932,000","10,220,000","14,103,000","13,215,000","8,572,000","5,706,000","9,003,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,475,000","24,129,000","20,518,000","18,960,000","18,011,000","20,104,000","22,723,000","23,310,000","25,486,000","29,514,000","29,339,000","26,340,000","25,801,000","27,308,000","27,184,000","28,106,000","24,575,000","25,697,000","27,060,000","26,545,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"949,000","928,000","1,206,000","1,286,000","1,281,000","951,000","1,785,000","2,921,000","3,267,000","4,270,000","4,802,000","5,260,000","6,654,000","8,179,000","5,225,000","6,448,000","6,524,000","5,474,000","4,932,000","5,379,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,424,000","25,057,000","21,724,000","20,246,000","19,292,000","21,055,000","24,508,000","26,231,000","28,753,000","33,784,000","34,141,000","31,600,000","32,455,000","35,487,000","32,409,000","34,554,000","31,099,000","31,171,000","31,992,000","31,924,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,052,000","-6,548,000","-8,075,000","-2,512,000","-1,694,000","-4,172,000","-14,368,000","-8,356,000","-10,800,000","-15,345,000","-21,395,000","-11,666,000","-13,040,000","-19,555,000","-22,189,000","-20,451,000","-17,884,000","-22,599,000","-26,286,000","-22,921,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,294,000","-4,947,000","-4,970,000","-5,092,000","-4,940,000","-4,824,000","-4,672,000","-4,478,000","-4,207,000","-4,086,000","-4,073,000","-4,014,000","-4,072,000","-4,012,000","-3,876,000","-3,502,000","-3,350,000","-3,293,000","-2,863,000","-2,475,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"913,000","809,000","296,000","553,000","545,000","725,000","705,000","295,000","48,000","36,000","134,000","10,000","9,000","12,000","20,000","46,000","31,000","33,000","332,000","400,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"5,000","-18,000","8,000","-5,000","-3,000","-2,000","-3,000","5,000","-2,000","1,000","38,000","-14,000","-14,000","-8,000","44,000","-11,000","7,000","-39,000","1,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"6,900,000","3,100,000","-1,300,000","-2,924,000","-3,200,000","10,900,000","-510,000","-2,607,000",-,-,-,"8,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"467,000","-7,581,000","-14,067,000","-9,967,000","-9,294,000","2,626,000","-18,847,000","-15,149,000","-14,954,000","-19,397,000","-25,333,000","-15,624,000","-17,117,000","-23,569,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,"67,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-74,000",-,-,-,-,"-53,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"393,000","-7,581,000","-14,067,000","-9,967,000","-9,294,000","2,573,000","-18,847,000","-15,149,000","-14,954,000","-19,397,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"393,000","-7,581,000","-14,067,000","-9,967,000","-9,294,000","2,573,000","-18,847,000","-15,149,000","-14,954,000","-19,397,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"393,000","-7,581,000","-14,067,000","-9,967,000","-9,294,000","2,573,000","-18,847,000","-15,149,000","-14,954,000","-19,397,000","-25,333,000","-15,624,000","-17,117,000","-23,502,000","-26,053,000","-23,863,000","-21,214,000","-25,852,000","-28,856,000","-24,995,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"11,621,910","9,830,363","7,506,327","7,487,469","7,482,014","7,465,322","7,451,632","5,940,784","5,554,716","5,516,009","5,496,527","4,522,125","3,555,646","3,541,373","3,533,184","3,488,512","3,260,503","3,060,542","3,060,412","2,897,867",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"11,624,664","10,046,563","7,506,327","7,487,469","7,482,014","7,469,477","7,451,632","5,940,784","5,554,716","5,516,009","5,496,527","4,522,125","3,555,646","3,541,373","3,533,184","3,488,512","3,260,503","3,060,542","3,060,412","2,897,867",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),55.368%,34.502%,0.734%,26.035%,34.697%,35.415%,35.570%,31.372%,56.222%,55.759%,55.569%,29.629%,9.052%,15.711%,15.448%,20.382%,17.980%,11.129%,11.271%,5.434%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.034,-0.771,-1.874,-1.331,-1.242,0.345,-2.529,-2.550,-2.692,-3.516,-4.609,-3.455,-4.814,-6.636,-7.374,-6.840,-6.506,-8.447,-9.429,-8.625,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.034,-1.063,-1.874,-1.331,-1.242,0.300,-2.550,-2.550,-2.692,-3.516,-4.609,-3.506,-4.814,-6.636,-7.374,-6.840,-6.506,-8.447,-9.429,-8.625,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,854,000","-15,723,000","-22,047,000","6,836,000","-4,601,000","-12,617,000","-10,478,000","-17,683,000","-17,508,000","-13,140,000","-19,383,000","-16,740,000","-9,729,000","-22,518,000","-28,115,000","-19,242,000","-15,683,000","-23,789,000","-28,038,000","-18,178,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.762,-1.565,-2.937,0.913,-0.615,-1.689,-1.406,-2.977,-3.152,-2.382,-3.526,-3.702,-2.736,-6.359,-7.957,-5.516,-4.810,-7.773,-9.162,-6.273,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,89.896%,90.332%,91.727%,89.272%,88.776%,86.784%,85.599%,85.707%,89.416%,89.588%,86.355%,88.560%,88.954%,86.790%,85.451%,86.273%,85.612%,83.450%,80.799%,81.247%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-10.041%,-31.957%,-54.267%,-12.645%,-8.546%,-21.445%,-121.290%,-40.065%,-53.790%,-74.555%,-144.953%,-51.828%,-59.745%,-106.526%,-185.527%,-125.106%,-115.859%,-220.006%,-372.218%,-206.850%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,1.923%,-36.999%,-94.536%,-50.174%,-46.885%,13.226%,-159.100%,-72.636%,-74.480%,-94.243%,-171.633%,-69.412%,-78.425%,-128.027%,-217.834%,-145.978%,-137.432%,-251.674%,-408.609%,-225.566%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-43.323%,-76.735%,-148.165%,34.412%,-23.210%,-64.856%,-88.452%,-84.786%,-87.200%,-63.842%,-131.321%,-74.370%,-44.575%,-122.667%,-235.075%,-117.710%,-101.600%,-231.591%,-397.026%,-164.047%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,987,000","-6,478,000","-7,992,000","-2,392,000","-1,591,000","-4,065,000","-14,296,000","-8,224,000","-10,656,000","-15,208,000","-21,276,000","-11,498,000","-12,886,000","-19,396,000","-22,024,000","-20,031,000","-17,411,000","-22,345,000","-25,977,000","-22,691,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-9.723%,-31.615%,-53.710%,-12.041%,-8.026%,-20.895%,-120.682%,-39.432%,-53.073%,-73.890%,-144.146%,-51.082%,-59.040%,-105.660%,-184.147%,-122.536%,-112.795%,-217.533%,-,-204.774%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"65,000","70,000","83,000","120,000","103,000","107,000","72,000","132,000","144,000","137,000","119,000","168,000","154,000","159,000","165,000","420,000","473,000","254,000","309,000","230,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,052,000","-6,548,000","-8,075,000","-2,512,000","-1,694,000","-4,172,000","-14,368,000","-8,356,000","-10,800,000","-15,345,000","-21,395,000","-11,666,000","-13,040,000","-19,555,000","-22,189,000","-20,451,000","-17,884,000","-22,599,000","-26,286,000","-22,921,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-10.041%,-31.957%,-54.267%,-12.645%,-8.546%,-21.445%,-121.290%,-40.065%,-53.790%,-74.555%,-144.952%,-51.828%,-59.745%,-106.526%,-185.527%,-125.106%,-115.859%,-220.006%,-,-206.850%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"20,437,000","20,490,000","14,880,000","19,865,000","19,823,000","19,454,000","11,846,000","20,856,000","20,078,000","20,582,000","14,760,000","22,509,000","21,826,000","18,357,000","11,960,000","16,347,000","15,436,000","10,272,000","7,062,000","11,081,000",Upgrade,Financials in USD,Fiscal year is January - December
