Fiscal Quarter,Q3 2025,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jul '24 Jul 31, 2024","Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020",+15 Quarters,,
Revenue,"645,796","442,830","408,532","524,613","427,841","655,928","476,932","527,535","618,003","456,149","477,922","491,890","283,037","213,739","433,488","348,091","391,797","84,450","119,364","19,577",Upgrade,Financials in USD,Fiscal year is February - January
Revenue Growth (YoY),50.943%,-32.488%,-14.342%,-0.554%,-30.770%,43.797%,-0.207%,7.247%,118.347%,113.414%,10.250%,41.311%,-27.759%,153.095%,263.165%,1678.061%,374.520%,12.731%,-38.342%,-76.262%,Upgrade,Financials in USD,Fiscal year is February - January
Cost of Revenue,"454,767","341,272","243,746","343,385","268,920","356,256","254,648","398,139","349,272","304,353","277,436","300,544","207,700","214,455","195,610","206,730","228,772","116,937","74,939","126,228",Upgrade,Financials in USD,Fiscal year is February - January
Gross Profit,"191,029","101,558","164,786","181,228","158,921","299,672","222,284","129,396","268,731","151,796","200,486","191,346","75,337",-716,"237,878","141,361","163,025","-32,487","44,425","-106,651",Upgrade,Financials in USD,Fiscal year is February - January
"Selling, General & Admin","737,102","737,325","1,079,728","924,207","1,330,929","678,738","839,732","1,189,785","1,049,532","908,173","768,551","1,535,213","1,452,778","481,526","551,942","2,323,045","203,976","193,331","191,917","509,442",Upgrade,Financials in USD,Fiscal year is February - January
Research & Development,"880,768","773,975","974,535","563,370","551,503","445,122","400,430","295,826","290,718","277,869","117,814","250,383","161,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is February - January
Operating Expenses,"1,617,870","1,511,300","2,054,263","1,487,577","1,882,432","1,123,860","1,240,162","1,485,611","1,340,250","1,186,042","886,365","1,785,596","1,613,778","481,526","551,942","2,323,045","203,976","193,331","191,917","509,442",Upgrade,Financials in USD,Fiscal year is February - January
Operating Income,"-1,426,841","-1,409,742","-1,889,477","-1,306,349","-1,723,511","-824,188","-1,017,878","-1,356,215","-1,071,519","-1,034,246","-685,879","-1,594,250","-1,538,441","-482,242","-314,064","-2,181,684","-40,951","-225,818","-147,492","-616,093",Upgrade,Financials in USD,Fiscal year is February - January
Interest Expense,"-4,031","-5,019","-8,618","-23,214","-40,200","-9,235","-3,166",-,"-3,966","-4,429","-4,110","-3,153","-33,380","-41,019","-40,869","-73,850","-1,618",-51,"-205,167","-71,854",Upgrade,Financials in USD,Fiscal year is February - January
