Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
"Selling, General & Admin","5,301,251","6,198,627","7,652,379","3,616,392","8,290,210","2,952,238","3,796,057","4,013,063","4,556,840","3,160,077","2,790,456","3,961,764","4,417,505","2,006,659","1,903,902","1,939,988","1,777,923","1,498,114","1,486,561","2,235,348",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"390,189","434,508","1,087,156","620,521","566,644","994,726","239,137","325,959","2,605,375","1,767,762","1,212,380","2,337,222","3,055,435","12,145,733","1,119,203","1,334,468","1,050,376","1,305,353","2,307,336","561,468",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"5,723,825","6,664,267","8,769,840","4,270,075","8,884,114","3,974,973","4,063,436","4,367,866","7,190,616","4,956,171","4,034,556","6,330,791","7,504,673","14,183,884","3,053,930","3,305,216","2,858,757","2,833,139","3,829,661","2,818,483",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-5,723,825","-6,664,267","-8,769,840","-4,270,075","-8,884,114","-3,974,973","-4,063,436","-4,367,866","-7,190,616","-4,956,171","-4,034,556","-6,330,791","-7,504,673","-14,183,884","-3,053,930","-3,305,216","-2,858,757","-2,833,139","-3,829,661","-2,818,483",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-250,080","-261,306","-303,802","-274,984","-179,271","-269,578","-122,289","-92,892","-95,585","-117,414","-95,206","-93,382","-89,739","-97,522","-96,347","-93,426","-92,313","-92,250","-12,030",-,Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"126,598",-,-,"15,938","8,375",-,-,"3,010","5,623",-,"7,291","8,487","7,110","4,370","1,437","3,066","4,306","4,972","12,371","18,400",Upgrade,Financials in USD,Fiscal year is July - June
Currency Exchange Gain (Loss),-,-,-,-,-,"-1,019",-,-,-,9,-,-,9,-124,-221,"-32,289",-,"-2,108",-371,"-137,448",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),-,"-1,423,449","-16,272",-,-,"7,318","-142,571",-,-,"122,041",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-5,847,307","-8,349,022","-9,089,914","-4,529,121","-9,055,010","-4,238,252","-4,328,296","-4,457,748","-7,280,578","-4,951,535","-4,122,471","-6,415,686","-7,587,293","-14,277,160","-3,149,061","-3,427,865","-2,946,764","-2,922,525","-3,829,691","-2,937,531",Upgrade,Financials in USD,Fiscal year is July - June
