Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"509,788","152,430","969,783","355,797","483,045","701,719",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-31.041%,-84.282%,172.566%,-26.343%,-31.163%,9987.967%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"139,969","302,037","286,415","5,086","18,716","20,137",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"369,819","-149,607","683,368","350,711","464,329","681,582",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,299,561","5,368,278","6,067,545","5,746,119","4,273,468","3,069,493",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"219,477","1,062,916","2,693,457","1,003,805","549,658","1,048,553",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,655,797","8,066,902","15,797,780","12,056,679","8,970,105","4,140,360",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,285,978","-8,216,509","-15,114,412","-11,705,968","-8,505,776","-3,458,778",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,267,549","-2,493,340","-293,968","-227,210","-405,032","-482,014",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"112,934","185,481","187,817","43,196","71,045","23,344",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"104,599","22,690","-259,463","426,316","-3,275",407,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"51,862","69,284","83,001","161,785","199,641","116,846",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,431,074","-10,432,394","-15,397,025","-11,301,881","-8,643,397","-3,800,195",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-221,888","-221,888","-7,446","-269,844","-2,170,539","-210,086",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-110,125",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"360,898",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,652,962","-10,654,282","-15,514,596","-11,210,827","-10,813,936","-4,010,281",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"64,771","256,006","797,778","825,024","-220,352","-77,041",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-8,717,733","-10,910,288","-16,312,374","-12,035,851","-10,593,584","-3,933,240",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"474,617","394,632","-110,865","-802,962","802,420","291,464",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,243,116","-10,515,656","-16,423,239","-12,838,813","-9,791,164","-3,641,776",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,243,116","-10,515,656","-16,423,239","-12,838,813","-9,791,164","-3,641,776",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,042,114","4,335,650","3,166,460","2,505,352","1,971,556","1,749,854",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,042,114","4,335,650","3,166,460","2,505,352","1,971,556","1,749,854",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),187.475%,36.924%,26.388%,27.075%,12.670%,47.264%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.821,-2.425,-5.187,-5.125,-4.966,-2.081,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.824,-2.430,-5.190,-5.125,-5.000,-2.100,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,794,994","-4,257,046","-7,518,083","-7,615,222","-4,563,919","-3,134,526",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.179,-0.982,-2.374,-3.040,-2.315,-1.791,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,72.544%,-98.148%,70.466%,98.570%,96.125%,97.130%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1233.057%,-5390.349%,-1558.535%,-3290.069%,-1760.866%,-492.901%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1616.969%,-6898.679%,-1693.496%,-3608.466%,-2026.967%,-518.979%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-352.106%,-2792.788%,-775.234%,-2140.328%,-944.823%,-446.692%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,256,791","-8,187,978","-15,090,613","-11,693,975","-8,468,634","-3,403,692",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"29,187","28,531","23,799","11,993","37,142","55,086",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,285,978","-8,216,509","-15,114,412","-11,705,968","-8,505,776","-3,458,778",Upgrade,Financials in USD,Fiscal year is January - December
