Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Cost of Revenue,"5,154","5,154","1,210","1,159,642","4,250,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-5,154","-5,154","-1,210","-1,159,642","-4,250,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,011,714","1,120,560","1,153,672","1,503,534","795,424",Financials in USD,Fiscal year is January - December
Research & Development,"2,987,588","3,216,933","3,291,417","2,174,179","601,777",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,999,302","4,337,493","4,445,089","3,677,713","1,397,201",Financials in USD,Fiscal year is January - December
Operating Income,"-5,004,456","-4,342,647","-4,446,299","-4,837,355","-5,647,201",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,351,817","-3,448,939","-1,808,386","-2,582,893","-461,785",Financials in USD,Fiscal year is January - December
Interest & Investment Income,1,2,-,-,"61,285",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"20,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-7,356,272","-7,791,584","-6,254,685","-7,420,248","-6,027,701",Financials in USD,Fiscal year is January - December
Net Income,"-7,356,272","-7,791,584","-6,254,685","-7,420,248","-6,027,701",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"62,500","125,000","125,000","93,750",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,418,772","-7,916,584","-6,379,685","-7,513,998","-6,027,701",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"9,722,848","10,680,000","9,980,000","9,980,000","8,422,082",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"9,722,848","10,680,000","9,980,000","9,980,000","8,422,082",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-6.418%,7.014%,-,18.498%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.763,-0.741,-0.639,-0.753,-0.716,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.763,-0.741,-0.639,-0.753,-0.716,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,778,859","-3,006,967","-3,792,580","-4,414,745","-2,415,141",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.594,-0.282,-0.380,-0.442,-0.287,Financials in USD,Fiscal year is January - December
EBITDA,"-5,003,066","-4,338,427","-4,445,494","-4,836,550","-5,647,134",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,390","4,220",805,805,67,Financials in USD,Fiscal year is January - December
EBIT,"-5,004,456","-4,342,647","-4,446,299","-4,837,355","-5,647,201",Financials in USD,Fiscal year is January - December
