Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","4,433,054","5,442,886","5,520,150","6,420,092","2,946,703","5,764,986",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,268,388","7,867,795","9,067,422","6,745,104","2,466,924","3,627,739",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"11,379,818","16,360,218","15,282,763","28,201,247","8,296,106","9,392,725",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-11,379,818","-16,360,218","-15,282,763","-28,201,247","-8,296,106","-9,392,725",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-608,460","-1,191,859","-246,191",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"319,244","455,570","83,991","8,907",141,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-12,704,502","12,081,966",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,765,076","-3,822,682","-15,198,772","-28,800,800","-9,487,824","-9,638,916",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"6,437",930,"-3,006","-3,196",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"100,000","-178,198","4,442","-1,085,049",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,658,639","-3,999,950","-15,197,336","-29,889,045","-9,487,824","-9,638,916",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-23,658,639","-3,999,950","-15,197,336","-29,889,045","-9,487,824","-9,638,916",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"5,258,292","4,218,213",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-28,916,931","-8,218,163","-15,197,336","-29,889,045","-9,487,824","-9,638,916",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,168,429","1,542,453","1,294,200","1,167,240","939,614","1,268,782",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,168,429","1,542,453","1,294,200","1,167,240","939,614","1,268,782",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),52.289%,19.182%,10.877%,24.225%,-25.944%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-13.335,-5.328,-11.743,-25.607,-10.098,-7.597,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-13.343,-5.330,-11.743,-25.607,-10.098,-7.597,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,144,862","-12,980,625","-12,270,068","-19,516,475","-4,663,546","-5,319,787",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.678,-8.416,-9.481,-16.720,-4.963,-4.193,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-28,182,913","-8,277,772","-9,374,392",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,"18,334","18,334","18,333",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-11,379,818","-16,360,218","-15,282,763","-28,201,247","-8,296,106","-9,392,725",Upgrade,Financials in USD,Fiscal year is January - December
