Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
"Selling, General & Admin","28,170,000","25,608,000","25,087,000","22,013,000","13,422,000","5,725,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"106,583,000","85,172,000","61,680,000","56,858,000","35,921,000","22,844,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"134,753,000","110,780,000","86,767,000","78,871,000","49,343,000","28,569,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-134,753,000","-110,780,000","-86,767,000","-78,871,000","-49,343,000","-28,569,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,883,000","10,083,000","2,645,000","141,000","306,000","1,397,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"15,000","177,000","289,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-119,870,000","-100,697,000","-84,122,000","-78,715,000","-48,860,000","-26,883,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-119,870,000","-100,697,000","-89,122,000","-78,715,000","-73,703,000","-26,883,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-119,870,000","-100,697,000","-89,122,000","-78,715,000","-73,703,000","-26,883,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-119,870,000","-100,697,000","-89,122,000","-78,715,000","-73,703,000","-26,883,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"66,445,789","51,450,848","39,655,260","37,954,280","21,942,476","1,899,348",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"66,445,789","51,450,848","39,655,260","37,954,280","21,942,476","1,899,348",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),41.071%,29.745%,4.482%,72.972%,1055.264%,9.528%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.804,-1.957,-2.247,-2.074,-3.359,-14.154,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.804,-1.957,-2.247,-2.074,-3.359,-14.154,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-109,904,000","-86,537,000","-77,221,000","-60,480,000","-45,935,000","-24,301,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.654,-1.682,-1.947,-1.593,-2.093,-12.794,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-133,687,000","-109,748,000","-85,801,000","-77,974,000","-48,373,000","-27,541,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,066,000","1,032,000","966,000","897,000","970,000","1,028,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-134,753,000","-110,780,000","-86,767,000","-78,871,000","-49,343,000","-28,569,000",Upgrade,Financials in USD,Fiscal year is January - December
