Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
"Selling, General & Admin","530,776","790,609","460,619","487,803","502,526","760,299","526,291","452,961","463,181","405,788","611,535","746,537","-199,644","647,044","330,006","195,913","102,561","109,678","103,189","126,303",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"34,741","67,683","73,643","134,132","569,713","667,913","1,046,957","1,903,204","1,472,856","1,458,077","1,927,681","430,948","381,967","26,423","13,786","142,548","120,033","12,452","2,422","1,532",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"607,323","935,372","619,528","675,110","1,110,556","1,491,001","1,679,645","2,446,404","1,977,362","2,206,533","2,611,070","1,325,720","249,070","768,291","551,026","350,349","318,191","316,749","117,389","141,399",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-607,323","-935,372","-619,528","-675,110","-1,110,556","-1,491,001","-1,679,645","-2,446,404","-1,977,362","-2,206,533","-2,611,070","-1,325,720","-249,070","-768,291","-551,026","-350,349","-318,191","-316,749","-117,389","-141,399",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-1,669","-1,382",-665,"-1,882",-815,-839,"-2,525","-8,487","-14,039",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"29,023","35,952","31,602","49,815","63,614","73,312","66,802","53,716","35,460","11,764","2,649",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"14,715","-17,744","-12,644","-8,320","-3,668","-3,494","8,457","-626,369","507,859","272,869","-155,905","346,716","-12,242","-7,336",-387,"-7,006","-42,230","-90,907","143,104","-10,126",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-23,426","1,087,230","-2,418,366","3,332,839","-282,756","-270,705","-227,649","439,874","236,877","683,060","60,633","10,074,904","-8,091,919","557,846","-1,620,159","-29,993","-63,650","-54,569","-50,459","-23,903",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-587,011","170,066","-3,018,936","2,699,224","-1,333,366","-1,691,888","-1,832,035","-2,579,183","-1,197,166","-1,238,840","-2,703,693","9,094,231","-8,354,613","-218,446","-2,173,454","-388,163","-424,910","-464,750","-33,231","-189,467",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-64,562",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"91,014",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-587,011","170,066","-3,018,936","2,699,224","-1,333,366","-1,691,888","-1,832,035","-2,579,183","-1,197,166","-1,238,840","-2,703,693","9,094,231","-8,354,613","-218,446","-2,173,454","-452,725","-424,910","-373,736","-33,231","-189,467",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-587,011","170,066","-3,018,936","2,699,224","-1,333,366","-1,691,888","-1,832,035","-2,579,183","-1,197,166","-1,238,840","-2,703,693","9,094,231","-8,354,613","-218,446","-2,173,454","-452,725","-424,910","-373,736","-33,231","-189,467",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-587,011","170,066","-3,018,936","2,699,224","-1,333,366","-1,691,888","-1,832,035","-2,579,183","-1,197,166","-1,238,840","-2,703,693","9,094,231","-8,354,613","-218,446","-2,173,454","-452,725","-424,910","-373,736","-33,231","-189,467",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,903,565","2,903,565","2,429,268","1,999,020","1,998,848","1,998,848","1,929,445","1,589,777","1,443,293","1,443,298","1,443,298","1,374,076","1,044,569","1,041,801","914,856","768,509","768,305","768,305","656,262","595,492",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,903,565","2,903,565","2,429,268","1,999,020","1,998,848","1,998,848","1,929,445","1,589,777","1,443,293","1,443,298","1,443,298","1,374,076","1,044,569","1,041,801","914,856","768,509","768,305","768,305","656,262","595,492",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),45.262%,45.262%,25.905%,25.742%,38.492%,38.492%,33.683%,15.698%,38.171%,38.539%,57.762%,78.798%,35.958%,35.597%,39.404%,29.054%,29.020%,29.020%,10.205%,-0.019%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.202,0.059,-1.243,1.350,-0.667,-0.846,-0.950,-1.622,-0.829,-0.858,-1.873,6.618,-7.998,-0.210,-2.376,-0.589,-0.553,-0.486,-0.051,-0.318,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.202,0.059,-1.243,1.342,-0.670,-0.850,-0.950,-1.623,-0.830,-0.858,-1.873,6.618,-7.998,-0.210,-2.376,-0.589,-0.553,-0.486,-0.051,-0.318,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-751,851","-736,537","-1,303,852","-1,298,068","-1,070,722","-1,730,826","-2,487,860","-3,619,201","-967,101","-1,893,289","-2,503,662","-3,953,598","-77,254","-861,989","-1,169,669","1,571,340","-119,642","-193,962","-1,986,137","-104,930",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.259,-0.254,-0.537,-0.649,-0.536,-0.866,-1.289,-2.277,-0.670,-1.312,-1.735,-2.877,-0.074,-0.827,-1.279,2.045,-0.156,-0.252,-3.026,-0.176,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-597,244","-887,898","-605,692","-667,120","-1,094,089","-1,458,981","-1,612,798","-2,441,178","-1,955,305","-2,196,777","-2,607,294","-1,320,981","-244,544","-763,918","-546,782","-345,209","-313,037","-311,654","-112,339","-136,390",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"10,079","47,474","13,836","7,990","16,467","32,020","66,847","5,226","22,057","9,756","3,776","4,739","4,526","4,373","4,244","5,140","5,154","5,095","5,050","5,009",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-607,323","-935,372","-619,528","-675,110","-1,110,556","-1,491,001","-1,679,645","-2,446,404","-1,977,362","-2,206,533","-2,611,070","-1,325,720","-249,070","-768,291","-551,026","-350,349","-318,191","-316,749","-117,389","-141,399",Upgrade,Financials in USD,Fiscal year is January - December
