Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"46,435,000","43,190,000","41,873,000","45,784,000","37,919,000","48,926,000","37,647,000","55,198,000","47,830,000","43,660,000","38,620,000","37,930,000","39,467,000","38,505,000","38,442,000","30,185,000","26,299,000","20,988,000","20,910,000","24,209,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),22.458%,-11.724%,11.225%,-17.055%,-20.721%,12.061%,-2.519%,45.526%,21.190%,13.388%,0.463%,25.658%,50.070%,83.462%,83.845%,24.685%,0.925%,-5.195%,65.088%,40.815%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"40,830,000","23,487,000","48,296,000","48,362,000","47,879,000","23,441,000","51,282,000","47,811,000","50,565,000","50,258,000","51,031,000","49,055,000","50,261,000","48,565,000","43,763,000","42,053,000","36,367,000","30,904,000","29,278,000","27,140,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"5,605,000","19,703,000","-6,423,000","-2,578,000","-9,960,000","25,485,000","-13,635,000","7,387,000","-2,735,000","-6,598,000","-12,411,000","-11,125,000","-10,794,000","-10,060,000","-5,321,000","-11,868,000","-10,068,000","-9,916,000","-8,368,000","-2,931,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","37,809,000","38,209,000","41,916,000","42,632,000","40,568,000","46,174,000","43,139,000","46,144,000","42,268,000","45,481,000","50,237,000","50,042,000","45,103,000","39,282,000","35,540,000","31,943,000","26,553,000","26,570,000","25,828,000","20,829,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,"21,183,000",-,-,-,"26,706,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"38,237,000","59,816,000","42,339,000","43,061,000","40,996,000","73,303,000","43,558,000","46,573,000","42,696,000","45,904,000","50,656,000","50,471,000","45,531,000","39,705,000","35,959,000","32,371,000","26,981,000","26,993,000","26,252,000","21,257,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-32,632,000","-40,113,000","-48,762,000","-45,639,000","-50,956,000","-47,818,000","-57,193,000","-39,186,000","-45,431,000","-52,502,000","-63,067,000","-61,596,000","-56,325,000","-49,765,000","-41,280,000","-44,239,000","-37,049,000","-36,909,000","-34,620,000","-24,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,939,000","-2,696,000","-2,993,000","-3,012,000","-3,652,000","-3,605,000","-3,531,000","-3,585,000","-653,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,474,000",-,"1,579,000","1,654,000","4,282,000",-,"1,415,000","1,518,000","765,000","418,000","1,133,000","1,516,000","327,000","464,000","2,746,000","2,042,000","1,018,000","1,893,000","2,338,000","2,647,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"3,766,000",-,-,-,"3,612,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-32,097,000","-39,043,000","-50,176,000","-46,997,000","-50,326,000","-47,811,000","-59,309,000","-41,253,000","-45,319,000","-52,084,000","-61,934,000","-60,080,000","-55,998,000","-49,301,000","-38,534,000","-42,197,000","-36,031,000","-35,016,000","-32,282,000","-21,541,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"2,643,000","2,959,000",-,-,"1,609,000","1,084,000",-,-,"-862,000","-1,277,000",-,-,"-2,108,000","-1,257,000",-,-,"556,000","930,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-7,205,000",-,"-25,429,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-32,097,000","-46,248,000","-47,533,000","-69,467,000","-50,326,000","-47,811,000","-57,700,000","-40,169,000","-45,319,000","-52,084,000","-62,796,000","-61,357,000","-55,998,000","-49,301,000","-40,642,000","-43,454,000","-36,031,000","-35,016,000","-31,726,000","-20,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,116,000","688,000","-1,481,000","-323,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-32,097,000","-46,248,000","-47,533,000","-69,467,000","-50,326,000","-47,811,000","-57,700,000","-40,169,000","-45,319,000","-52,084,000","-62,796,000","-61,357,000","-55,998,000","-49,301,000","-40,642,000","-44,570,000","-36,719,000","-33,535,000","-31,403,000","-20,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"26,000","26,000","26,000","26,000","26,000","1,000","1,000","41,000","38,000","38,000","60,000","-76,000","95,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-32,071,000","-46,222,000","-47,507,000","-69,441,000","-50,300,000","-47,810,000","-57,699,000","-40,128,000","-45,281,000","-52,046,000","-62,736,000","-61,433,000","-55,903,000","-49,301,000","-40,642,000","-44,570,000","-36,719,000","-33,535,000","-31,403,000","-20,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-32,071,000","-46,222,000","-47,507,000","-69,441,000","-50,300,000","-47,810,000","-57,699,000","-40,128,000","-45,281,000","-52,046,000","-62,736,000","-61,433,000","-55,903,000","-49,301,000","-40,642,000","-44,570,000","-36,719,000","-33,535,000","-31,403,000","-20,611,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"147,516,398","147,414,095","145,787,527","144,900,669","144,704,868","144,397,693","143,511,142","143,054,722","142,928,654","142,363,589","141,697,252","141,228,918","140,833,564","140,359,317","138,967,754","136,954,148","134,372,026","127,383,582","126,058,389","124,397,150",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"147,516,398","147,414,095","145,787,527","144,900,669","144,704,868","144,397,693","143,511,142","143,054,722","142,928,654","142,363,589","141,697,252","141,228,918","140,833,564","140,359,317","138,967,754","136,954,148","134,372,026","127,383,582","126,058,389","124,397,150",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.943%,2.089%,1.586%,1.290%,1.243%,1.429%,1.280%,1.293%,1.488%,1.428%,1.964%,3.121%,4.809%,10.186%,10.241%,10.094%,8.115%,859.263%,878.252%,840.443%,Upgrade,Financials in USD,Fiscal year is January - December
