Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"2,822,000","2,208,000","2,482,000","3,779,000","3,989,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-29.255%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,555,000","3,367,000","1,660,000","2,367,000","2,374,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,267,000","-1,159,000","822,000","1,412,000","1,615,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,707,000","7,502,000","9,310,000","11,621,000","8,712,000","7,026,000","7,391,000","8,054,000","7,390,000","6,757,000","8,014,000","7,183,000","5,453,000","5,429,000","5,409,000","4,926,000","3,186,000","3,621,000","2,621,000","3,044,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"9,114,000","9,698,000","12,863,000","17,120,000","21,050,000","21,976,000","26,511,000","24,674,000","22,201,000","16,579,000","18,422,000","22,296,000","13,082,000","18,133,000","15,327,000","12,097,000","8,813,000","10,571,000","4,676,000","5,690,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"16,821,000","17,200,000","22,173,000","28,741,000","29,762,000","29,002,000","33,902,000","32,728,000","29,591,000","23,336,000","26,436,000","29,479,000","18,535,000","23,562,000","20,736,000","17,023,000","11,999,000","14,192,000","7,297,000","8,734,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-15,554,000","-18,359,000","-21,351,000","-27,329,000","-28,147,000","-29,002,000","-33,902,000","-32,728,000","-29,591,000","-23,336,000","-26,436,000","-29,479,000","-18,535,000","-23,562,000","-20,736,000","-17,023,000","-11,999,000","-14,192,000","-7,297,000","-8,734,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,715,000",-,-,-,"-825,000",-,-,-,"-74,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,"610,000","196,000","19,000",-,"7,000","9,000","83,000","2,000","9,000","13,000","24,000","27,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,341,000","-1,460,000","6,412,000","1,722,000","172,000","646,000","897,000","1,873,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-14,213,000","-19,819,000","-14,939,000","-27,322,000","-27,975,000","-28,356,000","-33,005,000","-31,680,000","-28,981,000","-23,140,000","-26,417,000","-29,553,000","-18,528,000","-23,553,000","-20,653,000","-17,021,000","-11,990,000","-14,179,000","-7,273,000","-8,707,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-965,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-57,992,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,213,000","-78,776,000","-14,939,000","-27,322,000","-27,975,000","-28,356,000","-33,005,000","-31,680,000","-28,981,000","-23,140,000","-26,417,000","-29,553,000","-18,528,000","-23,553,000","-20,653,000","-17,021,000","-11,990,000","-14,179,000","-7,273,000","-8,707,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-14,213,000","-78,776,000","-14,939,000","-27,322,000","-27,975,000","-28,356,000","-33,005,000","-31,680,000","-28,981,000","-23,140,000","-26,417,000","-29,553,000","-18,528,000","-23,553,000","-20,653,000","-17,021,000","-11,990,000","-14,179,000","-7,273,000","-8,707,000",Upgrade,Financials in USD,Fiscal year is January - December
