Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Revenue,"296,987,000","270,281,000","223,804,000","221,339,000","245,252,000","268,703,000",Upgrade,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),13.152%,20.767%,1.114%,-9.750%,-8.727%,9.435%,Upgrade,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"139,237,000","138,821,000","209,020,000","200,114,000","266,810,000","288,638,000",Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"157,750,000","131,460,000","14,784,000","21,225,000","-21,558,000","-19,935,000",Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","147,307,000","144,159,000","156,239,000","162,337,000","174,635,000","286,577,000",Upgrade,Financials in CAD,Fiscal year is April - March
Research & Development,"3,487,000","3,572,000","5,771,000","10,389,000","11,447,000","26,027,000",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"173,943,000","172,587,000","202,373,000","235,085,000","255,499,000","439,354,000",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Income,"-16,193,000","-41,127,000","-187,589,000","-213,860,000","-277,057,000","-459,289,000",Upgrade,Financials in CAD,Fiscal year is April - March
Interest Expense,"-8,751,000","-14,186,000","-44,464,000","-71,813,000","-66,437,000","-76,115,000",Upgrade,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,"12,526,000","12,813,000","14,914,000","4,507,000","5,745,000","5,913,000",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Equity Investments,-,-,"51,000","-293,000","-509,000","-11,534,000",Upgrade,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"5,129,000","-436,000","8,872,000","-299,000","-3,383,000","-13,141,000",Upgrade,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"6,260,000","14,868,000","14,934,000","55,609,000","-2,792,000","139,083,000",Upgrade,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-1,029,000","-28,068,000","-193,282,000","-226,149,000","-344,433,000","-415,083,000",Upgrade,Financials in CAD,Fiscal year is April - March
Merger & Restructuring Charges,"-7,136,000","-6,834,000","-17,429,000","-19,620,000","-6,772,000","-8,440,000",Upgrade,Financials in CAD,Fiscal year is April - March
Impairment of Goodwill,-,-,-,"-914,275,000","-33,757,000","-2,285,081,000",Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,-,-,"-4,589,000","-5,479,000","-1,239,000","-63,080,000",Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,"1,158,000","1,158,000","3,115,000","373,000","11,119,000","500,000",Upgrade,Financials in CAD,Fiscal year is April - March
Asset Writedown,"-35,999,000","-37,100,000","-570,824,000","-544,042,000","-293,263,000","-399,903,000",Upgrade,Financials in CAD,Fiscal year is April - March
Legal Settlements,"-1,818,000","-1,818,000","-3,575,000","-1,227,000","-46,192,000",-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Unusual Items,"13,063,000","13,063,000","-30,212,000","-9,701,000","14,739,000","-168,647,000",Upgrade,Financials in CAD,Fiscal year is April - March
Pretax Income,"-31,761,000","-59,599,000","-816,796,000","-1,720,120,000","-699,798,000","-3,339,734,000",Upgrade,Financials in CAD,Fiscal year is April - March
Income Tax Expense,"1,007,000","-554,000","-16,547,000","-2,141,000","-6,321,000","-82,235,000",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Continuing Operations,"-32,768,000","-59,045,000","-800,249,000","-1,717,979,000","-693,477,000","-3,257,499,000",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Discontinued Operations,"-13,917,000","-10,281,000","-23,665,000",-,"-1,612,000","-51,861,000",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Company,"-46,685,000","-69,326,000","-823,914,000","-1,717,979,000","-695,089,000","-3,309,360,000",Upgrade,Financials in CAD,Fiscal year is April - March
Minority Interest in Earnings,"3,003,000","3,744,000","7,287,000","355,000","1,464,000","26,666,000",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income,"-43,682,000","-65,582,000","-816,627,000","-1,717,624,000","-693,625,000","-3,282,694,000",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Common,"-43,682,000","-65,582,000","-816,627,000","-1,717,624,000","-693,625,000","-3,282,694,000",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"52,093,910","43,223,233","30,431,304","21,491,261","16,911,854","9,675,343",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"52,093,910","43,223,233","30,431,304","21,491,261","16,911,854","9,675,343",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),48.257%,42.035%,41.599%,27.078%,74.793%,20.756%,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.839,-1.517,-26.835,-79.922,-41.014,-339.285,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.839,-1.517,-26.835,-79.922,-41.014,-339.285,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-61,074,000","-85,464,000","-162,612,000","-142,480,000","-263,659,000","-690,956,000",Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-1.172,-1.977,-5.344,-6.630,-15.590,-71.414,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Margin,53.117%,48.638%,6.606%,9.589%,-8.790%,-7.419%,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Margin,-5.452%,-15.216%,-83.818%,-96.621%,-112.968%,-170.928%,Upgrade,Financials in CAD,Fiscal year is April - March
Profit Margin,-14.708%,-24.264%,-364.885%,-776.015%,-282.821%,-1221.681%,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-20.565%,-31.620%,-72.658%,-64.372%,-107.505%,-257.145%,Upgrade,Financials in CAD,Fiscal year is April - March
EBITDA,"10,308,000","-8,160,000","-135,000,000","-127,042,000","-185,165,000","-358,213,000",Upgrade,Financials in CAD,Fiscal year is April - March
EBITDA Margin,3.471%,-3.019%,-60.321%,-57.397%,-75.500%,-133.312%,Upgrade,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"26,501,000","32,967,000","52,589,000","86,818,000","91,892,000","101,076,000",Upgrade,Financials in CAD,Fiscal year is April - March
EBIT,"-16,193,000","-41,127,000","-187,589,000","-213,860,000","-277,057,000","-459,289,000",Upgrade,Financials in CAD,Fiscal year is April - March
EBIT Margin,-5.452%,-15.216%,-83.818%,-96.621%,-112.968%,-170.928%,Upgrade,Financials in CAD,Fiscal year is April - March
Revenue as Reported,"296,987,000","270,281,000","223,804,000","221,339,000","245,252,000","268,703,000",Upgrade,Financials in CAD,Fiscal year is April - March
