Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,"666,625","611,500","646,635","531,459","477,460","646,021","805,110","613,082","618,805","682,581","770,267","466,766",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),39.619%,-5.344%,-19.684%,-13.314%,-22.842%,-5.356%,4.523%,31.347%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"97,050","73,458","75,081","72,345","67,287","67,813","95,900","75,214","67,638","79,009","75,200","69,338",Financials in USD,Fiscal year is January - December
Gross Profit,"569,575","538,042","571,554","459,114","410,173","578,208","709,210","537,868","551,167","603,572","695,067","397,428",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,148,426","2,690,562","2,398,104","2,084,540","3,387,562","1,585,960","1,588,687","1,442,723","1,668,116","1,259,489","1,163,976","1,192,438",Financials in USD,Fiscal year is January - December
Research & Development,"72,422","54,312","5,570","-2,221","44,950","109,789","16,797","81,371","86,175","13,665","44,398","46,294",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,220,848","2,744,874","2,403,674","2,082,319","3,432,512","1,695,749","1,605,484","1,524,094","1,754,291","1,273,154","1,208,374","1,238,732",Financials in USD,Fiscal year is January - December
Operating Income,"-1,651,273","-2,206,832","-1,832,120","-1,623,205","-3,022,339","-1,117,541","-896,274","-986,226","-1,203,124","-669,582","-513,307","-841,304",Financials in USD,Fiscal year is January - December
Interest Expense,"-105,564","-144,514","-48,243","-24,650","-1,433,658","-1,082,627","-2,824,344","-227,337","-116,770","-47,394","-26,100","-12,152",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"2,103",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
