Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"37,428,000","43,648,000","32,607,000","56,196,000","42,046,000","56,376,000","40,005,000","55,782,000","48,714,000","126,365,000","61,623,000","57,677,000","48,756,000","52,913,000","52,304,000","56,699,000","59,988,000","90,142,000","88,478,000","69,555,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-10.983%,-22.577%,-18.493%,0.742%,-13.688%,-55.386%,-35.081%,-3.286%,-0.086%,138.817%,17.817%,1.725%,-18.724%,-41.300%,-40.885%,-18.483%,-34.779%,-10.576%,21.760%,16.216%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,919,000","8,798,000","2,715,000","8,931,000","9,862,000","9,222,000","11,411,000","-41,791,800","30,013,000","10,481,000","23,793,000","31,723,000","6,103,000","44,378,000","4,715,000","26,823,000","8,049,000","21,232,000","8,109,000","10,032,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"31,509,000","34,850,000","29,892,000","47,265,000","32,184,000","47,154,000","28,594,000","97,573,800","18,701,000","115,884,000","37,830,000","25,954,000","42,653,000","8,535,000","47,589,000","29,876,000","51,939,000","68,910,000","80,369,000","59,523,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","26,516,000","26,917,000","25,438,000","25,436,000","22,710,000","27,036,000","25,053,000","29,908,000","31,887,000","32,240,000","44,566,000","44,804,000","46,357,000","41,651,000","41,328,000","40,311,000","40,171,000","35,482,000","37,983,000","44,918,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,487,000","7,647,000","9,731,000","9,865,000","13,330,000","20,197,000","19,686,000","32,098,000","28,028,000","26,027,000","43,833,000","29,556,000","40,471,000","37,214,000","40,611,000","37,578,000","46,857,000","52,819,000","81,231,000","80,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"44,014,000","43,575,000","44,180,000","44,311,000","45,051,000","56,244,000","53,750,000","71,016,000","68,926,000","67,278,000","97,409,000","83,370,000","95,839,000","87,876,000","90,950,000","85,097,000","93,134,000","97,402,000","128,314,000","134,430,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,505,000","-8,725,000","-14,288,000","2,954,000","-12,867,000","-9,090,000","-25,156,000","26,557,800","-50,225,000","48,606,000","-59,579,000","-57,416,000","-53,186,000","-79,341,000","-43,361,000","-55,221,000","-41,195,000","-28,492,000","-47,945,000","-74,907,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,661,000","-2,149,000","-2,498,000","-1,418,000","-1,410,000","-1,642,000","-1,561,000","-1,636,000","-3,952,000","-5,037,000","-5,062,000","-5,164,000","-5,085,000","-4,962,000","-4,805,000","-2,364,000","-2,274,000","-2,308,000","-1,972,000","-1,609,000",Upgrade,Financials in USD,Fiscal year is January - December
