Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"4,207,000","5,718,000","5,747,000","4,782,000","4,780,000","2,060,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-39.354%,-0.505%,20.180%,0.042%,132.039%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"49,730,000","47,567,000","58,908,000","44,586,000","11,448,000","4,311,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-45,523,000","-41,849,000","-53,161,000","-39,804,000","-6,668,000","-2,251,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","36,670,000","37,832,000","40,552,000","27,880,000","5,502,000","3,523,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"57,830,000","51,831,000","53,589,000","34,534,000","6,633,000","4,014,000",Financials in USD,Fiscal year is January - December
Operating Income,"-103,353,000","-93,680,000","-106,750,000","-74,338,000","-13,301,000","-6,265,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-660,000","-1,010,000","-972,000","-3,432,000","-634,000","-268,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,059,000","6,059,000","2,357,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"883,000",-,-,"-31,789,000","-418,000","-51,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-97,071,000","-88,631,000","-105,365,000","-109,559,000","-14,353,000","-6,584,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-900,000",-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-21,335,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-500,000","-500,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"600,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-97,571,000","-110,466,000","-105,365,000","-109,859,000","-14,353,000","-6,584,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"97,000","100,000","-461,000","-8,899,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-97,668,000","-110,566,000","-104,904,000","-100,960,000","-14,353,000","-6,584,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"2,284,000","35,116,000","17,286,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-97,668,000","-110,566,000","-104,904,000","-103,244,000","-49,469,000","-23,870,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"104,643,672","92,028,016","90,845,629","49,685,194","15,494,908","15,215,747",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"104,643,672","92,028,016","90,845,629","49,685,194","15,494,908","15,215,747",Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.098%,1.302%,82.842%,220.655%,1.835%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.933,-1.201,-1.155,-2.078,-3.193,-1.569,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.933,-1.201,-1.155,-2.080,-3.193,-1.569,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-70,758,000","-65,496,000","-97,514,000","-98,645,000","-13,151,000","-7,130,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.676,-0.712,-1.073,-1.985,-0.849,-0.469,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-139.498%,-109.272%,Financials in USD,Fiscal year is January - December
Operating Margin,-2456.691%,-1638.335%,-1857.491%,-1554.538%,-278.264%,-304.126%,Financials in USD,Fiscal year is January - December
Profit Margin,-2321.559%,-1933.648%,-1825.370%,-2159.013%,-1034.916%,-1158.738%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1681.911%,-1145.435%,-1696.781%,-2062.840%,-275.126%,-346.117%,Financials in USD,Fiscal year is January - December
EBITDA,"-89,714,000","-79,681,000","-93,713,000","-67,684,000","-12,170,000","-5,774,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-254.602%,-280.291%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"13,639,000","13,999,000","13,037,000","6,654,000","1,131,000","491,000",Financials in USD,Fiscal year is January - December
EBIT,"-103,353,000","-93,680,000","-106,750,000","-74,338,000","-13,301,000","-6,265,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-278.264%,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"4,207,000","5,718,000","5,747,000","4,782,000","4,780,000","2,060,000",Financials in USD,Fiscal year is January - December
