Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"1,596,000","1,302,000","69,963,000","2,573,000","64,872,000","49,647,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-97.699%,-98.139%,2619.122%,-96.034%,30.667%,208.377%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"1,397,000","1,402,000","15,975,000","6,335,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,596,000","1,302,000","68,566,000","1,171,000","48,897,000","43,312,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,341,000","8,903,000","56,710,000","72,748,000","192,874,000","174,646,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,"10,432,000","19,792,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,387,000","9,825,000","57,903,000","72,748,000","203,306,000","194,438,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,791,000","-8,523,000","10,663,000","-71,577,000","-154,409,000","-151,126,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-28,581,000","-17,382,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"107,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,935,000","781,000","-117,000","272,000","598,000","2,500,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,749,000","-7,742,000","10,546,000","-71,305,000","-182,392,000","-166,008,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-9,472,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,261,000",-,-,-,"-1,132,000","-79,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-8,000,000",-,"-10,058,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,010,000","-7,742,000","1,074,000","-79,305,000","-183,524,000","-176,145,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-43,000","-43,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,967,000","-7,699,000","1,074,000","-79,305,000","-183,524,000","-176,145,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"651,000","-2,579,000","110,923,000","-93,110,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,316,000","-10,278,000","111,997,000","-172,415,000","-183,524,000","-176,145,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,316,000","-10,278,000","111,997,000","-172,415,000","-183,524,000","-176,145,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"11,409,250","10,441,000","9,028,000","7,960,000","5,512,980","4,927,060",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"11,409,250","10,441,000","9,366,000","7,960,000","5,512,980","4,927,060",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.820%,11.478%,17.663%,44.387%,11.892%,9.477%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.291,-0.984,12.406,-21.660,-33.289,-35.751,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.294,-0.987,11.953,-21.660,-33.500,-36.000,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,121,000","-48,141,000","-4,078,000","-142,727,000","-159,678,000","-168,168,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.624,-4.611,-0.435,-17.931,-28.964,-34.132,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,98.003%,45.511%,75.374%,87.240%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-300.188%,-654.608%,15.241%,-2781.850%,-238.021%,-304.401%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-207.769%,-789.401%,160.080%,-6700.933%,-282.902%,-354.795%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-446.178%,-3697.465%,-5.829%,-5547.105%,-246.143%,-338.727%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-4,545,000","-8,401,000","11,856,000","-70,841,000","-150,342,000","-149,734,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-284.774%,-,16.946%,-,-231.752%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"246,000","122,000","1,193,000","736,000","4,067,000","1,392,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,791,000","-8,523,000","10,663,000","-71,577,000","-154,409,000","-151,126,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,15.241%,-,-238.021%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,302,000","1,302,000","69,963,000","2,573,000","64,872,000","49,647,000",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,"35,800,000","9,000,000",Upgrade,Financials in USD,Fiscal year is January - December
