Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019 - 2015,,
"Selling, General & Admin","30,089,080","30,089,080","21,912,289","15,660,563","11,291,391","8,897,875",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"11,906,601","11,906,601","14,819,729","17,655,482","12,240,503","8,812,810",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"41,995,681","41,995,681","36,732,018","33,316,045","23,531,894","17,710,685",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-41,995,681","-41,995,681","-36,732,018","-33,316,045","-23,531,894","-17,710,685",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,-,-,-,-,"-10,839","-15,673",Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,"758,000","758,000","1,179,417","251,399","261,825","68,066",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),-,-,-,-,-,"110,207",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-41,237,681","-41,237,681","-35,552,601","-33,064,646","-23,280,908","-17,548,085",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,"2,387,842","2,387,842","3,585,689",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,-,"226,474",-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-38,849,839","-38,849,839","-31,966,912","-33,064,646","-23,054,434","-17,548,085",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,"576,000","576,000","576,000","576,000",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-39,425,839","-39,425,839","-32,542,912","-33,640,646","-23,054,434","-17,548,085",Upgrade,Financials in USD,Fiscal year is October - September
Minority Interest in Earnings,"287,000","287,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-39,138,839","-39,138,839","-32,542,912","-33,640,646","-23,054,434","-17,548,085",Upgrade,Financials in USD,Fiscal year is October - September
Preferred Dividends & Other Adjustments,"1,047,312","1,047,312","1,151,208",-,"1,450,876",-,Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-40,186,151","-40,186,151","-33,694,120","-33,640,646","-24,505,310","-17,548,085",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"6,726,999","6,726,999","6,051,789","5,843,296","4,343,963","1,566,610",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"6,726,999","6,726,999","6,051,789","5,843,296","4,343,963","1,566,610",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),11.157%,11.157%,3.568%,34.515%,177.284%,94.254%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-5.974,-5.974,-5.568,-5.757,-5.641,-11.201,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-5.974,-5.974,-5.568,-5.757,-5.641,-11.201,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-28,201,375","-28,201,375","-29,060,212","-28,361,256","-24,257,352","-16,932,489",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-4.192,-4.192,-4.802,-4.854,-5.584,-10.808,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-41,994,249","-41,994,249","-36,729,350","-33,313,122","-23,530,402","-17,709,841",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"1,432","1,432","2,668","2,923","1,492",844,Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-41,995,681","-41,995,681","-36,732,018","-33,316,045","-23,531,894","-17,710,685",Upgrade,Financials in USD,Fiscal year is October - September
