Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Revenue,"3,385,000","9,197,000","3,397,000","4,289,000","3,827,000","3,560,000","3,243,000","3,731,000","2,578,000","2,703,000","822,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-11.550%,158.343%,4.749%,14.956%,48.448%,31.706%,294.526%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"11,326,000","15,307,000","17,462,000","19,415,000","19,551,000","18,518,000","16,641,000","18,082,000","15,557,000","14,212,000","8,767,000","9,790,000","8,575,000","8,011,000","8,011,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-7,941,000","-6,110,000","-14,065,000","-15,126,000","-15,724,000","-14,958,000","-13,398,000","-14,351,000","-12,979,000","-11,509,000","-7,945,000","-9,790,000","-8,575,000","-8,011,000","-8,011,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,203,000","5,560,000","5,445,000","10,724,000","6,620,000","6,007,000","9,574,000","971,000","3,772,000","2,424,000","2,211,000","2,555,000","1,676,000","1,088,000","1,088,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"5,203,000","5,560,000","5,445,000","10,724,000","6,620,000","6,007,000","9,574,000","971,000","3,772,000","2,424,000","2,211,000","2,555,000","1,676,000","1,088,000","1,088,000",Financials in USD,Fiscal year is January - December
Operating Income,"-13,144,000","-11,670,000","-19,510,000","-25,850,000","-22,344,000","-20,965,000","-22,972,000","-15,322,000","-16,751,000","-13,933,000","-10,156,000","-12,345,000","-10,251,000","-9,099,000","-9,099,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-268,000","-764,000",-,-,"-1,877,000","-867,000","-908,000","-771,000","-599,000","-3,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"442,000","508,000","800,000","2,059,000","941,000","1,177,000","400,000",-,-,-,-,-,"6,000","3,500","3,500",Financials in USD,Fiscal year is January - December
