Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"14,969,000","802,000","44,703,000","268,000","4,821,000","6,845,036",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),106.213%,-98.206%,16580.224%,-94.441%,-29.569%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"45,085,000","44,874,000","42,350,000","20,371,000","14,387,000","29,842,341",Financials in USD,Fiscal year is January - December
Gross Profit,"-30,116,000","-44,072,000","2,353,000","-20,103,000","-9,566,000","-22,997,305",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","40,547,000","39,787,000","6,467,000","25,118,000","10,480,000","2,667,367",Financials in USD,Fiscal year is January - December
Research & Development,"-7,221,000","-3,461,000","-1,240,000","-4,001,000","-3,279,000","-2,975,872",Financials in USD,Fiscal year is January - December
Operating Expenses,"32,334,000","36,326,000","5,227,000","21,117,000","7,201,000","-308,505",Financials in USD,Fiscal year is January - December
Operating Income,"-62,450,000","-80,398,000","-2,874,000","-41,220,000","-16,767,000","-22,688,800",Financials in USD,Fiscal year is January - December
Interest Expense,"-48,000","-28,000","-19,000","-2,668,000","-3,600,000","-132,750",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,612,000","2,877,000","3,103,000","2,000",-,"40,199",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"209,000","448,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"820,000","1,082,000","567,000","6,326,000","2,081,000","79,991",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-59,066,000","-76,467,000","777,000","-37,351,000","-17,838,000","-22,701,360",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"3,461",Financials in USD,Fiscal year is January - December
Other Unusual Items,"317,000","-55,000","73,000","-13,789,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-58,749,000","-76,522,000","850,000","-51,140,000","-17,838,000","-22,697,899",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-867,000","-3,075,000","-4,471,000","-28,000","95,000",-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-57,882,000","-73,447,000","5,321,000","-51,112,000","-17,933,000","-22,697,899",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"55,000","100,000","21,000","247,000","227,000","1,968,307",Financials in USD,Fiscal year is January - December
Net Income,"-57,827,000","-73,347,000","5,342,000","-50,865,000","-17,706,000","-20,729,592",Financials in USD,Fiscal year is January - December
Net Income to Common,"-57,827,000","-73,347,000","5,342,000","-50,865,000","-17,706,000","-20,729,592",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,955,779","38,386,491","37,248,126","25,894,375","7,904,529","23,469",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"38,955,779","38,386,491","38,169,307","25,894,375","7,904,529","23,469",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.305%,0.569%,47.404%,227.589%,33580.724%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.484,-1.911,0.143,-1.964,-2.240,-883.275,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.489,-1.911,0.140,-1.964,-2.240,-883.275,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-62,090,000","-56,338,000","-20,569,000","-33,729,000","-11,321,000","-18,809,826",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.594,-1.468,-0.539,-1.303,-1.432,-801.475,Financials in USD,Fiscal year is January - December
Gross Margin,-201.189%,-,5.264%,-,-198.423%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-417.196%,-10024.688%,-6.429%,-15380.597%,-347.791%,-331.464%,Financials in USD,Fiscal year is January - December
Profit Margin,-386.312%,-9145.511%,11.950%,-18979.478%,-367.268%,-302.841%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-414.791%,-7024.688%,-46.013%,-12585.448%,-234.827%,-274.795%,Financials in USD,Fiscal year is January - December
EBITDA,"-59,843,000","-78,169,000","-1,751,000","-40,818,000","-16,559,000","-22,521,178",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-3.917%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,607,000","2,229,000","1,123,000","402,000","208,000","167,622",Financials in USD,Fiscal year is January - December
EBIT,"-62,450,000","-80,398,000","-2,874,000","-41,220,000","-16,767,000","-22,688,800",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-6.429%,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"14,969,000","802,000","44,703,000","268,000","4,821,000","6,845,036",Financials in USD,Fiscal year is January - December
