Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"4,475,000","7,990,000","28,930,000","37,140,000","3,648,000","4,483,000",-,"17,052,000","12,533,000","4,319,000","9,223,000","24,341,000","13,987,000","7,735,000","15,146,000","5,750,000","1,323,000","1,576,000","62,947,000",Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),22.670%,78.229%,-,117.804%,-70.893%,3.797%,-,-29.945%,-10.395%,-44.163%,-39.106%,323.322%,957.218%,390.799%,-75.938%,-,-,-,-,Financials in USD,Fiscal year is April - March
Cost of Revenue,"141,407,000","118,920,000","125,314,000","127,385,000","115,013,000","110,399,000",-,"129,119,000","135,636,000","137,556,000","112,636,000","138,729,000","115,579,000","79,257,000","-121,300,000","202,945,000","98,124,000","58,914,000","263,810,000",Financials in USD,Fiscal year is April - March
Gross Profit,"-136,932,000","-110,930,000","-96,384,000","-90,245,000","-111,365,000","-105,916,000",-,"-112,067,000","-123,103,000","-133,237,000","-103,413,000","-114,388,000","-101,592,000","-71,522,000","136,446,000","-197,195,000","-96,801,000","-57,338,000","-200,863,000",Financials in USD,Fiscal year is April - March
"Selling, General & Admin","117,181,000","92,992,000","169,616,000","197,282,000","88,576,000","91,282,000",-,"168,261,000","157,663,000","149,072,000","138,973,000","115,530,000","87,776,000","82,754,000","81,148,000","61,875,000","59,740,000","57,115,000","80,625,000",Financials in USD,Fiscal year is April - March
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-198,987,000",Financials in USD,Fiscal year is April - March
Operating Expenses,"117,181,000","92,992,000","169,616,000","197,282,000","88,576,000","91,282,000",-,"168,261,000","157,663,000","149,072,000","138,973,000","115,530,000","87,776,000","82,754,000","81,148,000","61,875,000","59,740,000","57,115,000","-118,362,000",Financials in USD,Fiscal year is April - March
Operating Income,"-254,113,000","-203,922,000","-266,000,000","-287,527,000","-199,941,000","-197,198,000",-,"-280,328,000","-280,766,000","-282,309,000","-242,386,000","-229,918,000","-189,368,000","-154,276,000","55,298,000","-259,070,000","-156,541,000","-114,453,000","-82,501,000",Financials in USD,Fiscal year is April - March
Interest Expense,-,-,"-7,175,000","-9,444,000",-,-,-,"-8,446,000","-8,335,000","-2,612,000","-1,475,000","-1,501,000","-1,552,000","-2,513,000","-673,000","-737,000","-608,000",-,"-1,166,000",Financials in USD,Fiscal year is April - March
