Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020",,
"Selling, General & Admin","6,904,000","6,938,000","7,089,000","7,075,000","6,906,000","7,010,000","6,941,000","6,682,000","4,846,000","4,945,000","4,967,000","3,858,000","2,928,000","2,128,000","1,165,000","882,000","895,000",Financials in USD,Fiscal year is January - December
Research & Development,"13,772,000","15,540,000","14,326,000","16,782,000","15,415,000","14,903,000","13,834,000","12,191,000","12,791,000","12,097,000","10,365,000","9,119,000","7,810,000","8,648,000","6,753,000","3,177,000","1,337,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"20,676,000","22,478,000","21,415,000","23,857,000","22,321,000","21,913,000","20,775,000","18,873,000","17,637,000","17,042,000","15,332,000","12,977,000","10,738,000","10,776,000","7,918,000","4,059,000","2,232,000",Financials in USD,Fiscal year is January - December
Operating Income,"-20,676,000","-22,478,000","-21,415,000","-23,857,000","-22,321,000","-21,913,000","-20,775,000","-18,873,000","-17,637,000","-17,042,000","-15,332,000","-12,977,000","-10,738,000","-10,776,000","-7,918,000","-4,059,000","-2,232,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,410,000","1,254,000","1,477,000","1,681,000","1,829,000","1,746,000","985,000","426,000","163,000","32,000","2,000",-,-,"1,000","2,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"8,000","-3,000","-2,000","2,000","-3,000","-7,000","-5,000","-9,000","-26,000","-5,000","-4,000","-8,000","-2,000","-592,000","-275,000","-177,000","-1,155,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,258,000","-21,227,000","-19,940,000","-22,174,000","-20,495,000","-20,174,000","-19,795,000","-18,456,000","-17,500,000","-17,015,000","-15,334,000","-12,985,000","-10,740,000","-11,367,000","-8,191,000","-4,236,000","-3,387,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-19,258,000","-21,227,000","-19,940,000","-22,174,000","-20,495,000","-20,174,000","-19,795,000","-18,456,000","-17,500,000","-17,015,000","-15,334,000","-12,985,000","-10,740,000","-11,367,000","-8,191,000","-4,236,000","-24,310,000",Financials in USD,Fiscal year is January - December
Net Income,"-19,258,000","-21,227,000","-19,940,000","-22,174,000","-20,495,000","-20,174,000","-19,795,000","-18,456,000","-17,500,000","-17,015,000","-15,334,000","-12,985,000","-10,740,000","-11,367,000","-8,191,000","-4,236,000","-24,310,000",Financials in USD,Fiscal year is January - December
