Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"10,009,781","21,810,891","25,429,855","116,480,859","9,235,171","5,878,166","8,323,025","11,358,139","72,211,127","16,667,045","10,539,299","115,357,248","4,846,172","8,653,289","4,813,744","37,729,355","44,261,407","40,348,777","2,619,765","4,264,066",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),8.388%,271.049%,205.536%,925.528%,-87.211%,-64.732%,-21.029%,-90.154%,1390.065%,92.609%,118.942%,205.749%,-89.051%,-78.554%,83.747%,784.821%,445.674%,932.569%,-74.952%,171.716%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,645,103","15,200,629","6,278,683","17,421,580","4,544,654","6,090,574","6,196,223","7,287,159","9,681,956","7,722,195","8,266,892","17,412,059","3,318,421","3,259,961","2,746,967","7,536,106","7,796,930","7,680,714","3,441,796","4,236,520",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"5,364,678","6,610,262","19,151,172","99,059,279","4,690,517","-212,408","2,126,802","4,070,980","62,529,171","8,944,850","2,272,407","97,945,189","1,527,751","5,393,328","2,066,777","30,193,249","36,464,477","32,668,063","-822,031","27,546",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,822,591","5,530,423","7,875,773","7,382,195","5,999,761","4,425,959","4,235,108","5,875,676","19,656,138","5,874,139","3,711,288","3,920,197","4,471,640","5,392,226","4,056,184","3,389,917","3,566,258","3,870,927","3,176,024","3,496,971",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,822,591","5,530,423","7,875,773","7,382,195","5,999,761","4,425,959","4,235,108","5,875,676","19,656,138","5,874,139","3,711,288","3,920,197","4,471,640","5,392,226","4,056,184","3,389,917","3,566,258","3,870,927","3,176,024","3,496,971",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"542,087","1,079,839","11,275,399","91,677,084","-1,309,244","-4,638,367","-2,108,306","-1,804,696","42,873,033","3,070,711","-1,438,881","94,024,992","-2,943,889","1,102","-1,989,407","26,803,332","32,898,219","28,797,136","-3,998,055","-3,469,425",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,016,817","-3,898,367",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,330,505","1,317,996",-,"4,155,508","883,148","1,190,705",-,"1,031,903",-,-,-,"101,172",-,-,-,"62,859",-,"31,931","412,363","588,644",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"1,942,437","-2,964,482",-,-,"890,629","-354,670","258,975","121,932","374,426","-252,833","-1,040,270","466,504","944,369","-616,038","-1,249,224","-1,619,587","-16,065","316,545",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"1,872,592","2,397,835","13,217,836","92,868,110","-426,096","-3,447,662","-1,217,677","-1,127,463","43,132,008","3,192,643","-1,064,455","93,873,331","-3,984,159","467,606","-1,045,038","26,250,153","31,648,995","27,209,480","-6,618,574","-6,462,603",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,981,461",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"1,872,592","2,397,835","13,217,836","92,868,110","-426,096","-3,447,662","-1,217,677","-1,127,463","43,132,008","3,192,643","-1,064,455","93,873,331","-3,984,159","467,606","-1,045,038","26,250,153","31,648,995","27,209,480","-11,600,035","-6,462,603",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"528,647","565,219","2,940,496","20,612,485","-33,030","-572,186","-299,422","-315,669","10,091,420","1,155,581","-703,406","20,666,303","-870,801","298,406","-232,933","6,088,727","7,461,038","6,319,322","-2,702,506","-1,959,998",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"1,343,945","1,832,616","10,277,340","72,255,625","-393,066","-2,875,476","-918,255","-811,794","33,040,588","2,037,062","-361,049","73,207,028","-3,113,358","169,200","-812,105","20,161,426","24,187,957","20,890,158","-8,897,529","-4,502,605",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"1,343,945","1,832,616","10,277,340","72,255,625","-393,066","-2,875,476","-918,255","-811,794","33,040,588","2,037,062","-361,049","73,207,028","-3,113,358","169,200","-812,105","20,161,426","24,187,957","20,890,158","-8,897,529","-4,502,605",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,1103.937%,-,263.104%,-,-99.190%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"71,368,585","71,152,572","71,093,653","71,088,645","71,084,735","71,090,642","72,197,038","72,929,550","73,024,147","72,678,333","73,070,565","73,820,637","74,840,846","75,810,641","76,757,010","77,394,521","78,080,461","80,340,695","81,240,105","81,158,577",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"71,766,503","71,753,231","71,562,996","72,356,889","71,084,735","71,090,642","72,197,038","73,546,501","73,259,272","73,332,888","73,883,058","75,705,975","74,840,846","76,660,054","77,572,587","77,593,890","78,168,070","80,516,863","81,240,105","81,158,577",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.959%,0.932%,-0.878%,-1.617%,-2.968%,-3.058%,-2.282%,-2.852%,-2.113%,-4.340%,-4.756%,-2.433%,-4.257%,-4.790%,-4.514%,-4.392%,-4.884%,-1.946%,-1.094%,-1.746%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.019,0.026,0.145,1.016,-0.006,-0.040,-0.013,-0.011,0.452,0.028,-0.005,0.992,-0.042,0.002,-0.011,0.261,0.310,0.260,-0.110,-0.055,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.019,0.026,0.140,1.000,-0.010,-0.040,-0.013,-0.011,0.450,0.027,-0.010,0.969,-0.042,-0.003,-0.022,0.261,0.310,0.260,-0.110,-0.059,Upgrade,Financials in USD,Fiscal year is January - December
