Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+12 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+12 Quarters,,
Revenue,"702,468,000","701,780,000","659,191,000","616,981,000","620,040,000","599,046,000","557,540,000","609,759,000","545,557,000","559,355,000","497,633,000","536,896,000","528,593,000","535,075,000","493,105,000","510,034,000","519,294,000","464,662,000","498,533,000","397,328,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),13.294%,17.150%,18.232%,1.184%,13.653%,7.096%,12.038%,13.571%,3.209%,4.538%,0.918%,5.267%,1.791%,15.154%,-1.089%,28.366%,37.277%,14.833%,11.749%,-20.140%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"434,877,000","452,875,000","422,115,000","380,500,000","388,395,000","379,845,000","369,998,000","390,408,000","352,038,000","354,545,000","323,826,000","349,632,000","331,021,000","323,942,000","305,125,000","346,663,000","355,479,000","323,216,000","314,848,000","278,348,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"267,591,000","248,905,000","237,076,000","236,481,000","231,645,000","219,201,000","187,542,000","219,351,000","193,519,000","204,810,000","173,807,000","187,264,000","197,572,000","211,133,000","187,980,000","163,371,000","163,815,000","141,446,000","183,685,000","118,980,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","118,692,000","116,462,000","112,595,000","109,003,000","113,006,000","105,570,000","102,096,000","102,158,000","100,071,000","98,806,000","98,665,000","97,224,000","91,397,000","86,157,000","90,726,000","84,687,000","83,120,000","80,944,000","77,976,000","74,084,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"61,097,000","36,054,000","39,298,000","46,086,000","41,375,000","37,799,000","38,690,000","41,907,000","50,235,000","50,748,000","52,798,000","51,874,000","48,927,000","52,864,000","48,182,000","53,460,000","44,519,000","45,572,000","36,379,000","48,050,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,"73,000","13,000","-1,224,000","-1,465,000","-1,320,000","-1,175,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"179,789,000","152,516,000","151,893,000","155,089,000","154,454,000","143,382,000","139,562,000","142,600,000","148,986,000","148,379,000","151,463,000","149,098,000","140,324,000","139,021,000","138,908,000","138,147,000","127,639,000","126,516,000","114,355,000","122,134,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"87,802,000","96,389,000","85,183,000","81,392,000","77,191,000","75,819,000","47,980,000","76,751,000","44,533,000","56,431,000","22,344,000","38,166,000","57,248,000","72,112,000","49,072,000","25,224,000","36,176,000","14,930,000","69,330,000","-3,154,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-65,511,000","-65,719,000","-65,703,000","-59,548,000","-50,909,000","-50,857,000","-49,315,000","-47,028,000","-42,391,000","-35,623,000","-33,335,000","-33,957,000","-34,400,000","-34,083,000","-33,885,000","-34,535,000","-34,895,000","-36,669,000","-39,899,000","-38,829,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,274,000","-262,000","-1,197,000","2,288,000","-2,939,000","421,000","1,901,000","569,000","-5,491,000","-5,429,000","-2,013,000","-170,000","-29,000","-2,244,000","2,088,000","8,392,000","9,673,000","3,466,000","-5,181,000","4,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,149,000","-12,884,000","2,124,000","411,000","1,157,000","12,000","3,539,000","2,772,000","5,709,000","7,230,000","2,122,000","6,633,000","3,871,000","4,032,000","794,000","488,000","898,000","571,000","633,000","192,647,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"14,416,000","17,524,000","20,407,000","24,543,000","24,500,000","25,395,000","4,105,000","33,064,000","2,360,000","22,609,000","-10,882,000","10,672,000","26,690,000","39,817,000","18,069,000","-431,000","11,852,000","-17,702,000","24,883,000","155,386,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-172,000","-220,000","-1,470,000","-114,000","-1,043,000","-82,000","-510,000","-104,000","-620,000","-241,000","-1,165,000","-1,905,000","-559,000","-4,283,000","-3,165,000","-273,000","-1,317,000","-2,120,000","-4,623,000","2,647,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"3,800,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"123,000",-,"328,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-36,132,000",-,-,-,"-5,325,000","-700,000","-5,112,000",-,"-22,004,000","-688,000",-,-,-,"-32,364,000","-759,000","-1,456,000","-13,721,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"149,000","-699,000","-94,359,000","-2,863,000","2,620,000","-2,017,000","436,000","-20,094,000","-285,000","-251,877,000","2,326,000","-6,000,000","-19,000,000",-,-,-,"-60,000","-1,300,000","-4,500,000","2,308,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,030,000",-,"-100,000","-38,095,000","-3,120,000","6,364,000","-13,457,000","-2,226,000","1,425,000","-21,000","-200,000","-2,082,000","-8,486,000",-,-,"-3,053,000",-,-,-,"-203,609,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"15,423,000","20,405,000","-75,522,000","-83,461,000","22,957,000","29,660,000","-9,426,000","-7,655,000","2,180,000","-232,731,000","-9,921,000","-16,319,000","-2,043,000","34,824,000","14,904,000","-5,477,000","-21,889,000","-21,758,000","13,344,000","-57,111,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,666,000","3,618,000","6,156,000","9,883,000","-2,076,000","-23,000","668,000","-1,797,000","4,570,000","7,350,000","-3,461,000","4,140,000","4,049,000","2,648,000","359,000","1,485,000","144,000","2,186,000","-108,173,000","7,792,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"11,757,000","16,787,000","-81,678,000","-93,344,000","25,033,000","29,683,000","-10,094,000","-5,858,000","-2,390,000","-240,081,000","-6,460,000","-20,459,000","-6,092,000","32,176,000","14,545,000","-6,962,000","-22,033,000","-23,944,000","121,517,000","-64,903,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-11,913,000","-10,793,000","-9,965,000","-5,305,000","-15,351,000","-17,766,000","3,151,000","1,525,000","-299,000","119,273,000","4,304,000","14,082,000","1,855,000","-17,644,000","-7,839,000","3,925,000","13,058,000","11,948,000","-6,450,000","32,775,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-156,000","5,994,000","-91,643,000","-98,649,000","9,682,000","11,917,000","-6,943,000","-4,333,000","-2,689,000","-120,808,000","-2,156,000","-6,377,000","-4,237,000","14,532,000","6,706,000","-3,037,000","-8,975,000","-11,996,000","115,067,000","-32,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-156,000","5,994,000","-91,643,000","-98,649,000","9,682,000","11,917,000","-6,943,000","-4,333,000","-2,689,000","-120,808,000","-2,156,000","-6,377,000","-4,237,000","14,532,000","6,706,000","-3,037,000","-8,975,000","-11,996,000","115,067,000","-32,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-49.702%,-,-,-,-,-,-,-,-,-,-,-,-,-94.172%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"309,647,000","309,117,000","307,279,000","243,711,000","154,219,000","153,738,000","152,109,000","151,476,000","151,393,000","150,993,000","149,892,000","149,375,000","149,290,000","148,996,000","148,013,000","147,640,000","147,558,000","147,392,000","147,180,000","141,853,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"309,647,000","318,957,000","307,279,000","243,711,000","159,691,000","154,887,000","152,109,000","151,476,000","151,393,000","150,993,000","149,892,000","149,375,000","149,290,000","151,986,000","151,220,000","147,640,000","147,558,000","147,392,000","147,956,000","141,853,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),93.904%,105.929%,102.012%,60.891%,5.481%,2.579%,1.479%,1.407%,1.409%,-0.653%,-0.878%,1.175%,1.174%,3.117%,2.206%,4.080%,12.873%,15.136%,15.874%,11.394%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.001,0.019,-0.298,-0.405,0.063,0.078,-0.046,-0.029,-0.018,-0.800,-0.014,-0.043,-0.028,0.098,0.045,-0.021,-0.061,-0.081,0.782,-0.226,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,0.019,-0.300,-0.405,0.060,0.078,-0.050,-0.031,-0.020,-0.800,-0.014,-0.043,-0.030,0.098,0.040,-0.021,-0.061,-0.081,0.780,-0.227,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-74.985%,-,-,-,-,-,-,-,-,-,-,-,-,-94.872%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"124,662,000","28,953,000","-14,470,000","124,031,000","68,911,000","-22,479,000","128,313,000","-34,758,000","76,038,000","-132,637,000","107,662,000","45,207,000","70,731,000","-60,492,000","135,435,000","75,263,000","29,554,000","170,689,000","41,659,000","-55,406,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.403,0.091,-0.047,0.509,0.432,-0.145,0.844,-0.229,0.502,-0.878,0.718,0.303,0.474,-0.398,0.896,0.510,0.200,1.158,0.282,-0.391,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,38.093%,35.468%,35.965%,38.329%,37.360%,36.592%,33.637%,35.973%,35.472%,36.615%,34.927%,34.879%,37.377%,39.459%,38.122%,32.031%,31.546%,30.441%,36.845%,29.945%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,12.499%,13.735%,12.922%,13.192%,12.449%,12.657%,8.606%,12.587%,8.163%,10.089%,4.490%,7.109%,10.830%,13.477%,9.952%,4.946%,6.966%,3.213%,13.907%,-0.794%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-0.022%,0.854%,-13.902%,-15.989%,1.562%,1.989%,-1.245%,-0.711%,-0.493%,-21.598%,-0.433%,-1.188%,-0.802%,2.716%,1.360%,-0.595%,-1.728%,-2.582%,23.081%,-8.086%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,17.746%,4.126%,-2.195%,20.103%,11.114%,-3.752%,23.014%,-5.700%,13.938%,-23.712%,21.635%,8.420%,13.381%,-11.305%,27.466%,14.756%,5.691%,36.734%,8.356%,-13.945%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"146,763,000","151,961,000","140,711,000","138,325,000","134,397,000","132,930,000","106,130,000","137,807,000","106,141,000","116,127,000","80,159,000","99,349,000","117,434,000","128,600,000","104,621,000","85,097,000","95,535,000","73,002,000","127,413,000","51,149,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,20.892%,21.654%,21.346%,22.420%,21.675%,22.190%,19.035%,22.600%,19.456%,20.761%,16.108%,18.504%,22.216%,24.034%,21.217%,16.684%,18.397%,15.711%,25.558%,12.873%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"58,961,000","55,572,000","55,528,000","56,933,000","57,206,000","57,111,000","58,150,000","61,056,000","61,608,000","59,696,000","57,815,000","61,183,000","60,186,000","56,488,000","55,549,000","59,873,000","59,359,000","58,072,000","58,083,000","54,303,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"87,802,000","96,389,000","85,183,000","81,392,000","77,191,000","75,819,000","47,980,000","76,751,000","44,533,000","56,431,000","22,344,000","38,166,000","57,248,000","72,112,000","49,072,000","25,224,000","36,176,000","14,930,000","69,330,000","-3,154,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,12.499%,13.735%,12.922%,13.192%,12.449%,12.657%,8.606%,12.587%,8.163%,10.088%,4.490%,7.109%,10.830%,13.477%,9.952%,4.946%,6.966%,3.213%,13.907%,-0.794%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,23.770%,17.731%,-,-,-,-,-,-,209.633%,-,-,-,-,7.604%,2.409%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
