Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
Revenue,"607,000","575,000","575,000","621,000","654,500","654,500",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-7.257%,-12.147%,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"607,000","575,000","575,000","621,000","654,500","654,500",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,067,000","3,971,500","3,971,500","2,219,000","2,625,000","2,625,000",Financials in USD,Fiscal year is January - December
Research & Development,"15,433,000","12,880,000","12,880,000","7,788,000","6,228,500","6,228,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"19,500,000","16,851,500","16,851,500","10,007,000","8,853,500","8,853,500",Financials in USD,Fiscal year is January - December
Operating Income,"-18,893,000","-16,276,500","-16,276,500","-9,386,000","-8,199,000","-8,199,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,904,000","2,071,500","2,071,500","1,527,000","559,500","559,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,000","1,419,000","1,419,000","4,757,000","4,838,500","4,838,500",Financials in USD,Fiscal year is January - December
Pretax Income,"-15,992,000","-12,786,000","-12,786,000","-3,102,000","-2,801,000","-2,801,000",Financials in USD,Fiscal year is January - December
Net Income,"-15,992,000","-12,786,000","-12,786,000","-3,102,000","-2,801,000","-2,801,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"5,041,000","4,000,000","4,000,000","3,151,000","5,708,000","5,708,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,033,000","-16,786,000","-16,786,000","-6,253,000","-8,509,000","-8,509,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,023,155","2,861,942","2,861,942","2,958,727","2,800,583","2,800,583",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,023,155","2,861,942","2,861,942","2,958,727","2,800,583","2,800,583",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.947%,2.191%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-6.957,-5.865,-5.865,-2.113,-3.038,-3.038,Financials in USD,Fiscal year is January - December
EPS (Diluted),-6.957,-5.865,-5.865,-2.113,-3.038,-3.038,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,288,000","-12,799,000","-12,799,000","-4,819,000","-8,570,500","-8,570,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.726,-4.472,-4.472,-1.629,-3.060,-3.060,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-3112.521%,-2830.696%,-2830.696%,-1511.433%,-1252.712%,-1252.712%,Financials in USD,Fiscal year is January - December
Profit Margin,-3465.074%,-2919.304%,-2919.304%,-1006.924%,-1300.076%,-1300.076%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2353.871%,-2225.913%,-2225.913%,-776.006%,-1309.473%,-1309.473%,Financials in USD,Fiscal year is January - December
EBITDA,"-18,879,000","-16,263,500","-16,263,500","-9,369,000","-8,184,500","-8,184,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"14,000","13,000","13,000","17,000","14,500","14,500",Financials in USD,Fiscal year is January - December
EBIT,"-18,893,000","-16,276,500","-16,276,500","-9,386,000","-8,199,000","-8,199,000",Financials in USD,Fiscal year is January - December
