Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",2019 - 2015,,
Revenue,"299,867,000,000","279,164,000,000","245,879,000,000","214,391,000,000","189,722,000,000","174,600,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Revenue Growth (YoY),12.371%,13.537%,14.687%,13.003%,8.661%,13.486%,Upgrade,Financials in INR,Fiscal year is April - March
Cost of Revenue,"122,068,000,000","115,557,000,000","106,536,000,000","100,551,000,000","86,645,000,000","80,591,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Gross Profit,"177,799,000,000","163,607,000,000","139,343,000,000","113,840,000,000","103,077,000,000","94,009,000,000",Upgrade,Financials in INR,Fiscal year is April - March
"Selling, General & Admin","86,402,000,000","77,201,000,000","68,026,000,000","62,081,000,000","54,650,000,000","50,129,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Research & Development,"25,906,000,000","22,873,000,000","19,381,000,000","17,482,000,000","16,541,000,000","15,410,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Other Operating Expenses,"-2,175,000,000","-1,775,000,000","-1,480,000,000","-1,642,000,000","-1,024,000,000","-843,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Operating Expenses,"110,133,000,000","98,299,000,000","85,927,000,000","77,921,000,000","70,167,000,000","64,696,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Operating Income,"67,666,000,000","65,308,000,000","53,416,000,000","35,919,000,000","32,910,000,000","29,313,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Interest Expense,"-2,342,000,000","-1,711,000,000","-1,428,000,000","-958,000,000","-970,000,000","-983,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Interest & Investment Income,"2,639,000,000","2,278,000,000","1,180,000,000","965,000,000","826,000,000","888,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Earnings From Equity Investments,"182,000,000","147,000,000","370,000,000","703,000,000","480,000,000","561,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Currency Exchange Gain (Loss),"213,000,000","278,000,000","2,225,000,000","1,835,000,000","1,240,000,000","639,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Other Non Operating Income (Expenses),"764,000,000","46,000,000","-152,000,000","277,000,000","557,000,000","5,000,000",Upgrade,Financials in INR,Fiscal year is April - March
EBT Excluding Unusual Items,"69,122,000,000","66,346,000,000","55,611,000,000","38,741,000,000","35,043,000,000","30,423,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Gain (Loss) on Sale of Investments,"3,103,000,000","3,103,000,000","1,028,000,000",-,-,"929,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Gain (Loss) on Sale of Assets,"902,000,000","900,000,000","-1,211,000,000","1,119,000,000","-42,000,000","-10,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Asset Writedown,"-866,000,000","-3,000,000","-699,000,000","-7,562,000,000","-8,588,000,000","-16,767,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Legal Settlements,-,"1,524,000,000","5,638,000,000",-,-,-,Upgrade,Financials in INR,Fiscal year is April - March
Other Unusual Items,-,-,-,-,-,"3,457,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Pretax Income,"72,261,000,000","71,870,000,000","60,367,000,000","32,298,000,000","26,413,000,000","18,032,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Income Tax Expense,"18,067,000,000","16,186,000,000","15,300,000,000","8,730,000,000","9,175,000,000","-1,466,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Earnings From Continuing Operations,"54,194,000,000","55,684,000,000","45,067,000,000","23,568,000,000","17,238,000,000","19,498,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Minority Interest in Earnings,"-862,000,000",-,-,-,-,-,Upgrade,Financials in INR,Fiscal year is April - March
Net Income,"53,332,000,000","55,684,000,000","45,067,000,000","23,568,000,000","17,238,000,000","19,498,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Net Income to Common,"53,332,000,000","55,684,000,000","45,067,000,000","23,568,000,000","17,238,000,000","19,498,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Net Income Growth,4.803%,23.558%,91.221%,36.721%,-11.591%,3.740%,Upgrade,Financials in INR,Fiscal year is April - March
Shares Outstanding (Basic),"832,636,368","831,968,515","830,174,450","829,413,485","829,221,700","828,791,920",Upgrade,Financials in INR,Fiscal year is April - March
Shares Outstanding (Diluted),"834,020,423","833,537,680","831,940,850","831,693,170","831,580,205","830,409,925",Upgrade,Financials in INR,Fiscal year is April - March
Shares Change (YoY),0.164%,0.192%,0.030%,0.014%,0.141%,-0.067%,Upgrade,Financials in INR,Fiscal year is April - March
EPS (Basic),64.052,66.930,54.286,28.415,20.788,23.526,Upgrade,Financials in INR,Fiscal year is April - March
EPS (Diluted),63.945,66.804,54.170,28.338,20.730,23.480,Upgrade,Financials in INR,Fiscal year is April - March
EPS Growth,4.632%,23.323%,91.157%,36.700%,-11.712%,3.811%,Upgrade,Financials in INR,Fiscal year is April - March
Free Cash Flow,"12,343,000,000","29,030,000,000","47,552,000,000","13,448,000,000","25,962,000,000","24,995,000,000",Upgrade,Financials in INR,Fiscal year is April - March
Free Cash Flow Per Share,14.799,34.827,57.158,16.169,31.220,30.100,Upgrade,Financials in INR,Fiscal year is April - March
Dividend Per Share,8.000,8.000,8.000,6.000,5.000,5.000,Upgrade,Financials in INR,Fiscal year is April - March
Dividend Growth,0%,0%,33.333%,20.000%,0%,25.000%,Upgrade,Financials in INR,Fiscal year is April - March
Gross Margin,59.293%,58.606%,56.671%,53.099%,54.331%,53.842%,Upgrade,Financials in INR,Fiscal year is April - March
Operating Margin,22.565%,23.394%,21.725%,16.754%,17.346%,16.789%,Upgrade,Financials in INR,Fiscal year is April - March
Profit Margin,17.785%,19.947%,18.329%,10.993%,9.086%,11.167%,Upgrade,Financials in INR,Fiscal year is April - March
Free Cash Flow Margin,4.116%,10.399%,19.340%,6.273%,13.684%,14.316%,Upgrade,Financials in INR,Fiscal year is April - March
EBITDA,"81,791,000,000","79,006,000,000","65,173,000,000","47,743,000,000","45,706,000,000","41,785,000,000",Upgrade,Financials in INR,Fiscal year is April - March
EBITDA Margin,27.276%,28.301%,26.506%,22.269%,24.091%,23.932%,Upgrade,Financials in INR,Fiscal year is April - March
D&A For EBITDA,"14,125,000,000","13,698,000,000","11,757,000,000","11,824,000,000","12,796,000,000","12,472,000,000",Upgrade,Financials in INR,Fiscal year is April - March
