Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","32,177,000","32,227,000","25,398,000","8,666,000","684,000","628,000",Financials in USD,Fiscal year is January - December
Research & Development,"134,201,000","175,767,000","87,738,000","58,481,000","6,366,000","3,552,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"166,378,000","207,994,000","113,136,000","67,147,000","7,050,000","4,180,000",Financials in USD,Fiscal year is January - December
Operating Income,"-166,378,000","-207,994,000","-113,136,000","-67,147,000","-7,050,000","-4,180,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-99,000","-358,000","-146,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"13,981,000","15,074,000","4,669,000","78,000",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-127,000","-42,000","41,000","-16,578,000","-20,766,000","-1,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-152,524,000","-192,962,000","-108,426,000","-83,746,000","-28,174,000","-4,327,000",Financials in USD,Fiscal year is January - December
Net Income,"-152,524,000","-192,962,000","-108,426,000","-83,746,000","-28,174,000","-4,327,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"1,552,000",-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-152,524,000","-192,962,000","-108,426,000","-85,298,000","-28,174,000","-4,327,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"65,541,821","58,542,974","52,471,003","12,825,598","1,988,585","1,662,145",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"65,541,821","58,542,974","52,471,003","12,825,598","1,988,585","1,662,145",Financials in USD,Fiscal year is January - December
Shares Change (YoY),13.071%,11.572%,309.112%,544.961%,19.640%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.327,-3.296,-2.066,-6.651,-14.168,-2.603,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.327,-3.296,-2.066,-6.651,-14.168,-2.603,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-159,725,000","-167,036,000","-99,046,000","-38,912,000","-6,195,000","-2,642,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.437,-2.853,-1.888,-3.034,-3.115,-1.590,Financials in USD,Fiscal year is January - December
EBITDA,"-166,117,000","-207,836,000","-113,013,000","-67,117,000",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"261,000","158,000","123,000","30,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-166,378,000","-207,994,000","-113,136,000","-67,147,000","-7,050,000","-4,180,000",Financials in USD,Fiscal year is January - December
