Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,"815,746","17,295,745","5,369,550","3,923,174","8,816,422","1,358,836","391,413","309,500","480,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-84.808%,340.861%,-39.096%,188.716%,2152.460%,339.042%,-18.456%,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,"815,746","17,295,745","5,369,550","3,923,174","8,816,422","1,358,836","391,413","309,500","480,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,597,278","4,215,837","4,470,520","5,059,671","6,848,925","7,371,584","7,400,123","5,758,493","4,733,496","2,210,012",Financials in USD,Fiscal year is January - December
Research & Development,"14,724,553","15,336,198","21,289,434","36,156,454","45,148,357","36,305,094","31,462,546","18,446,595","14,913,987","8,626,717",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"-65,402","-3,415,230",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"18,321,831","19,486,633","22,344,724","41,216,125","51,997,282","43,676,678","38,862,669","24,205,088","19,647,483","10,836,729",Financials in USD,Fiscal year is January - December
Operating Income,"-18,321,831","-18,670,887","-5,048,979","-35,846,575","-48,074,108","-34,860,256","-37,503,833","-23,813,675","-19,337,983","-10,356,729",Financials in USD,Fiscal year is January - December
Interest Expense,"-428,328","-534,313","-573,507","-481,889","-211,434","-170,896","-192,866","-202,165",-,"-138,096",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,976,559","2,364,114","1,918,971","362,570","14,931","6,834","69,332","105,731","523,557","566,424",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-283,768","-174,213","1,620,415","1,799,240","756,085","-217,306","-386,153","-644,101",-592,"30,774",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"47,040","1,556,007","287,430","1,737,717","430,671","955,985","822,837","342,277","629,672","652,803",Financials in USD,Fiscal year is January - December
Pretax Income,"-17,010,328","-15,459,292","-1,795,670","-32,428,937","-47,083,855","-34,285,639","-37,190,683","-24,211,933","-18,185,346","-9,244,824",Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,388","-621,728","2,313,136","-99,889","558,944","1,701,613",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-17,011,716","-14,837,564","-4,108,806","-32,329,048","-47,642,799","-35,987,252","-37,190,683","-24,211,933","-18,185,346","-9,244,824",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,"28,553","124,892","123,221","124,260",Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,011,716","-14,837,564","-4,108,806","-32,329,048","-47,642,799","-35,987,252","-37,219,236","-24,336,825","-18,308,567","-9,369,084",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"44,170,441","43,896,218","43,683,830","42,989,605","43,626,529","43,639,453","36,411,761","12,762,514","12,758,602","12,154,707",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"44,170,441","43,896,218","43,683,830","42,989,605","43,626,529","43,639,453","36,411,761","12,762,514","12,758,602","12,154,707",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.114%,2.109%,0.131%,-1.489%,19.814%,241.935%,185.390%,5.001%,5.178%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.385,-0.338,-0.094,-0.752,-1.092,-0.825,-1.022,-1.907,-1.435,-0.771,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.388,-0.338,-0.100,-0.760,-1.092,-0.825,-1.025,-1.907,-1.437,-0.775,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,386,264",-,"-13,458,240",-,-,-,-,"-20,415,937","-9,048,982","-12,222,544",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.303,-,-0.308,-,-,-,-,-1.600,-0.709,-1.006,Financials in USD,Fiscal year is January - December
Operating Margin,-,-2288.811%,-29.192%,-667.590%,-1225.388%,-395.401%,-2759.997%,-6084.028%,-6248.137%,-2157.652%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-1818.895%,-23.756%,-602.081%,-1214.394%,-408.184%,-2739.053%,-6217.684%,-5915.531%,-1951.892%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-77.812%,-,-,-,-,-5215.958%,-2923.742%,-2546.363%,Financials in USD,Fiscal year is January - December
EBITDA,"-17,922,033","-18,263,832","-4,530,780","-35,263,096","-47,511,592","-34,164,428","-37,074,629","-23,373,285","-18,919,965","-9,959,203",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"399,798","407,055","518,199","583,479","562,516","695,828","429,204","440,390","418,018","397,526",Financials in USD,Fiscal year is January - December
EBIT,"-18,321,831","-18,670,887","-5,048,979","-35,846,575","-48,074,108","-34,860,256","-37,503,833","-23,813,675","-19,337,983","-10,356,729",Financials in USD,Fiscal year is January - December
