Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
Revenue,"11,514,000","20,008,000","11,159,000","12,399,000","12,363,000","11,337,000","8,657,000","5,595,000","4,913,000","3,346,000","3,346,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-6.867%,76.484%,28.901%,121.609%,151.639%,238.822%,158.727%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"26,256,000","28,320,000","31,439,000","24,755,000","26,837,000","22,681,000","20,130,000","15,057,000","11,227,000","8,427,500","8,427,500",Financials in USD,Fiscal year is January - December
Gross Profit,"-14,742,000","-8,312,000","-20,280,000","-12,356,000","-14,474,000","-11,344,000","-11,473,000","-9,462,000","-6,314,000","-5,081,500","-5,081,500",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,641,000","8,551,000","8,752,000","7,840,000","7,921,000","6,619,000","6,465,000","6,304,000","4,563,000","3,917,000","3,917,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,641,000","8,551,000","8,752,000","7,840,000","7,921,000","6,619,000","6,465,000","6,304,000","4,563,000","3,917,000","3,917,000",Financials in USD,Fiscal year is January - December
Operating Income,"-22,383,000","-16,863,000","-29,032,000","-20,196,000","-22,395,000","-17,963,000","-17,938,000","-15,766,000","-10,877,000","-8,998,500","-8,998,500",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,"-49,000","-49,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,616,000","3,976,000","3,934,000","3,632,000","3,866,000","3,967,000","4,003,000","1,930,000","1,078,000","205,500","205,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-57,000","-51,000","-50,000","-4,000","-85,000","16,000","-1,000","55,000","49,000","48,500","48,500",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,824,000","-12,938,000","-25,148,000","-16,568,000","-18,614,000","-13,980,000","-13,936,000","-13,781,000","-9,750,000","-8,793,500","-8,793,500",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-2,055,000",-,-,-,-,"2,870,000",-,-,-,"47,000","47,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-20,879,000","-12,938,000","-25,148,000","-16,568,000","-18,614,000","-11,110,000","-13,936,000","-13,781,000","-9,750,000","-8,746,500","-8,746,500",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,106,000","-2,199,000",-,"2,726,000","1,206,000","1,898,000","2,197,000","846,000","631,000","546,000","546,000",Financials in USD,Fiscal year is January - December
Net Income,"-18,773,000","-10,739,000","-25,148,000","-19,294,000","-19,820,000","-13,008,000","-16,133,000","-14,627,000","-10,381,000","-9,292,500","-9,292,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-18,773,000","-10,739,000","-25,148,000","-19,294,000","-19,820,000","-13,008,000","-16,133,000","-14,627,000","-10,381,000","-9,292,500","-9,292,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"36,766,309","36,625,291","21,137,868","3,404,585","3,404,585","8,490,415","3,404,585","3,404,636","3,397,812","5,929,662","5,929,662",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"36,766,309","36,625,291","21,137,868","3,404,585","3,404,585","8,490,415","3,404,585","3,404,636","3,397,812","5,929,662","5,929,662",Financials in USD,Fiscal year is January - December
Shares Change (YoY),979.906%,331.372%,520.865%,-0.001%,0.199%,43.185%,-42.584%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.511,-0.293,-1.190,-5.667,-5.822,-1.532,-4.739,-4.296,-3.055,-1.567,-1.567,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.511,-0.293,-1.190,-5.669,-5.822,-1.532,-4.739,-4.296,-3.055,-1.567,-1.567,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-27,838,000","-26,974,000","-30,765,000","-22,329,000","-25,989,000","-29,242,000","-23,663,000","64,225,000","-18,222,000","-15,128,000","-15,128,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.757,-0.736,-1.455,-6.559,-7.634,-3.444,-6.950,18.864,-5.363,-2.551,-2.551,Financials in USD,Fiscal year is January - December
Gross Margin,-128.035%,-41.543%,-181.737%,-99.653%,-117.075%,-100.062%,-132.529%,-169.115%,-128.516%,-151.868%,-151.868%,Financials in USD,Fiscal year is January - December
