Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"203,447,000","145,238,000","109,460,000","131,836,000","198,321,000","175,338,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),57.080%,32.686%,-16.973%,-33.524%,13.108%,6.753%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"224,930,000","256,440,000","231,753,000","204,977,000","137,899,000","146,197,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-21,483,000","-111,202,000","-122,293,000","-73,141,000","60,422,000","29,141,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","258,206,000","265,542,000","197,520,000","126,284,000","135,799,000","128,951,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"258,206,000","265,542,000","197,520,000","126,284,000","135,799,000","128,951,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-279,689,000","-376,744,000","-319,813,000","-199,425,000","-75,377,000","-99,810,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-11,186,000","-11,334,000","-11,014,000","-19,682,000","-19,050,000","-18,828,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"21,174,000","21,768,000","6,276,000","1,993,000","5,003,000","10,055,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"500,000","500,000","1,400,000","300,000","1,200,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,863,000","1,094,000","-426,000","-69,000","220,000","-314,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-271,064,000","-364,716,000","-323,577,000","-216,883,000","-88,004,000","-108,897,000",Upgrade,Financials in USD,Fiscal year is January - December
