Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"165,000","163,000","205,000","156,000","141,000","108,000","83,000","128,000","93,000","91,000","74,000","133,000","86,000","68,000","72,000","119,000","136,000","43,000","68,000","92,577",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),17.021%,50.926%,146.988%,21.875%,51.613%,18.681%,12.162%,-3.759%,8.140%,33.824%,2.778%,11.765%,-36.765%,58.140%,5.882%,28.542%,163.122%,12.131%,9.640%,18.666%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,640,000","9,493,000","8,008,000","7,763,000","8,022,000","8,020,000","9,052,000","6,442,000","6,009,000","7,448,000","7,208,000","5,824,000","4,154,000","4,119,000","3,279,000","3,199,000","2,855,000","2,476,000","2,706,000","2,864,473",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-9,475,000","-9,330,000","-7,803,000","-7,607,000","-7,881,000","-7,912,000","-8,969,000","-6,314,000","-5,916,000","-7,357,000","-7,134,000","-5,691,000","-4,068,000","-4,051,000","-3,207,000","-3,080,000","-2,719,000","-2,433,000","-2,638,000","-2,771,896",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,126,000","3,215,000","3,130,000","2,725,000","2,939,000","4,296,000","3,083,000","3,078,000","3,077,000","3,086,000","3,940,000","3,835,000","2,930,000","2,838,000","2,235,000","3,417,000","1,644,000","1,669,000","1,486,000","1,517,400",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,126,000","3,215,000","3,130,000","2,725,000","2,939,000","4,296,000","3,083,000","3,078,000","3,077,000","3,086,000","3,940,000","3,835,000","2,930,000","2,838,000","2,235,000","3,417,000","1,644,000","1,669,000","1,486,000","1,517,400",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,601,000","-12,545,000","-10,933,000","-10,332,000","-10,820,000","-12,208,000","-12,052,000","-9,392,000","-8,993,000","-10,443,000","-11,074,000","-9,526,000","-6,998,000","-6,889,000","-5,442,000","-6,497,000","-4,363,000","-4,102,000","-4,124,000","-4,289,296",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"741,000","805,000","926,000","1,008,000","1,068,000","1,053,000","940,000","740,000","458,000","253,000","130,000","79,000","70,000","71,000","57,000","23,000","16,000","16,000","36,000","45,965",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"5,000","-38,000","-4,000","-13,000","21,000","5,000","-111,000","-45,000","-36,000","-253,000","-49,000","5,000","15,000","61,000","206,000","-121,000","-150,000","-38,000","-1,000",795,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,855,000","-11,778,000","-10,011,000","-9,337,000","-9,731,000","-11,150,000","-11,223,000","-8,697,000","-8,571,000","-10,443,000","-10,993,000","-9,442,000","-6,913,000","-6,757,000","-5,179,000","-6,597,000","-4,497,000","-4,124,000","-4,089,000","-4,242,536",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-11,855,000","-11,778,000","-10,011,000","-9,337,000","-9,731,000","-11,150,000","-11,223,000","-8,697,000","-8,571,000","-10,443,000","-10,993,000","-9,442,000","-6,913,000","-6,757,000","-5,179,000","-6,597,000","-4,497,000","-4,124,000","-4,089,000","-4,242,536",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-11,855,000","-11,778,000","-10,011,000","-9,337,000","-9,731,000","-11,150,000","-11,223,000","-8,697,000","-8,571,000","-10,443,000","-10,993,000","-9,442,000","-6,913,000","-6,757,000","-5,179,000","-6,597,000","-4,497,000","-4,124,000","-4,089,000","-4,242,536",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","3,273,000","6,000","6,060",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,861,000","-11,784,000","-10,017,000","-9,343,000","-9,737,000","-11,156,000","-11,229,000","-8,703,000","-8,577,000","-10,449,000","-10,999,000","-9,448,000","-6,919,000","-6,763,000","-5,185,000","-6,603,000","-4,503,000","-7,397,000","-4,095,000","-4,248,596",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"46,865,000","44,825,000","44,678,000","44,677,000","44,677,000","44,677,000","44,677,000","44,527,000","43,333,000","43,306,000","43,231,000","40,601,000","39,552,000","38,761,000","37,164,000","35,566,000","23,341,000","14,492,000","9,910,000","8,329,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"46,865,000","44,825,000","44,678,000","44,677,000","44,677,000","44,677,000","44,677,000","44,527,000","43,333,000","43,306,000","43,231,000","40,601,000","39,552,000","38,761,000","37,164,000","35,566,000","23,341,000","14,492,000","9,910,000","8,329,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.897%,0.331%,0.002%,0.337%,3.102%,3.166%,3.345%,9.670%,9.560%,11.726%,16.325%,14.157%,69.453%,167.465%,275.015%,327.014%,287.423%,167.967%,142.502%,117.354%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.253,-0.263,-0.224,-0.209,-0.218,-0.250,-0.251,-0.195,-0.198,-0.241,-0.254,-0.233,-0.175,-0.174,-0.140,-0.186,-0.193,-0.510,-0.413,-0.510,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.253,-0.263,-0.224,-0.211,-0.220,-0.250,-0.251,-0.197,-0.198,-0.241,-0.254,-0.233,-0.175,-0.174,-0.140,-0.186,-0.193,-0.510,-0.413,-0.510,Upgrade,Financials in USD,Fiscal year is January - December
