Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,"236,000",-,"4,784,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"56,000","117,000","3,721,000","1,733,000","405,000","714,000","5,760,000","7,237,000","8,208,000","7,553,000","12,461,000","9,578,000","9,081,000","11,016,000",-,"65,809,000",-,-,-,"-52,750,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-56,000","-117,000","-3,721,000","-1,733,000","-405,000","-714,000","-5,760,000","-7,237,000","-8,208,000","-7,317,000","-12,461,000","-4,794,000","-9,081,000","-11,016,000",-,"-65,809,000",-,-,-,"52,750,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,815,000","3,516,000","3,878,000","3,885,000","4,347,000","5,413,000","4,798,000","4,780,000","4,922,000","4,941,000","5,806,000","5,104,000","5,747,000","5,980,000","6,226,000","4,922,000","6,530,000","6,320,000","5,953,000","4,907,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,731,000","3,346,000",-,-,"4,227,000","5,721,000",-,-,-,-,-,-,-,-,"8,717,000","-54,218,000","18,830,000","16,123,000","19,265,000","70,957,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,546,000","6,862,000","3,878,000","3,885,000","8,574,000","11,134,000","4,798,000","4,780,000","4,922,000","4,941,000","5,806,000","5,104,000","5,747,000","5,980,000","14,943,000","-49,296,000","25,360,000","22,443,000","25,218,000","75,864,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,602,000","-6,979,000","-7,599,000","-5,618,000","-8,979,000","-11,848,000","-10,558,000","-12,017,000","-13,130,000","-12,258,000","-18,267,000","-9,898,000","-14,828,000","-16,996,000","-14,943,000","-16,513,000","-25,360,000","-22,443,000","-25,218,000","-23,114,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,000","-566,000","-883,000","-1,002,000","-990,000","-866,000","-894,000","-808,000","-826,000","-792,000","-784,000","-775,000","-793,000","-499,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"396,000","515,000","513,000","525,000","689,000","805,000","855,000","804,000","329,000","58,000","29,000","18,000","20,000","26,000","36,000","103,000","226,000","340,000","527,000","626,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-275,000","1,185,000","1,296,000","5,773,000","-324,000","-3,530,000","5,426,000","14,847,000","-41,000","-43,000","-68,000","-187,000","-850,000","-72,000","-74,000","-114,000","-5,237,000","-58,000","-22,000","-71,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,481,000","-5,279,000","-5,790,000","679,000","-9,180,000","-15,456,000","-5,279,000","2,644,000","-13,708,000","-13,137,000","-19,114,000","-10,893,000","-16,450,000","-17,826,000","-15,756,000","-17,317,000","-30,870,000","-22,161,000","-24,713,000","-22,559,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"-1,900,000",-,-,-,-,-,-,-,"-4,429,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,600,000","4,400,000","-1,387,000","4,507,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"14,000",-,-,-,"346,000",-,-,-,"77,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-5,602,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-2,191,000",-,-,-,"199,000",-,-,"199,000","123,000",-,-,-,"2,159,000","718,000","-906,000","-1,938,000","25,000",Upgrade,Financials in USD,Fiscal year is January - December
