Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"9,480,000","95,842,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"9,480,000","95,842,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,502,000","8,669,000","9,567,000","9,057,000","9,290,000","9,976,000","10,132,000","12,834,000","11,497,000","11,277,000","12,001,000","8,314,000","12,459,000","11,263,000","11,346,000","15,877,000","11,448,000","11,655,000","10,748,000","11,592,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"34,897,000","35,086,000","32,392,000","29,970,000","31,200,000","36,309,000","37,795,000","41,508,000","44,509,000","42,580,000","42,322,000","40,932,000","43,190,000","44,318,000","41,827,000","38,910,000","41,846,000","38,684,000","41,414,000","42,596,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"43,399,000","43,755,000","41,959,000","39,027,000","40,490,000","46,285,000","47,927,000","54,342,000","56,006,000","53,857,000","54,323,000","49,246,000","55,649,000","55,581,000","53,173,000","54,787,000","53,294,000","50,339,000","52,162,000","54,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-33,919,000","52,087,000","-41,959,000","-39,027,000","-40,490,000","-46,285,000","-47,927,000","-54,342,000","-56,006,000","-53,857,000","-54,323,000","-49,246,000","-55,649,000","-55,581,000","-53,173,000","-54,787,000","-53,294,000","-50,339,000","-52,162,000","-54,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,734,000","-2,916,000","-3,129,000","-3,239,000","-3,343,000","-3,429,000","-3,500,000","-3,457,000","-3,475,000","-3,481,000","-3,467,000","-4,937,000","-4,889,000","-4,834,000","-4,780,000","-4,753,000","-4,715,000","-2,491,000","-707,000","-1,938,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"430,000","1,749,000","344,000","310,000","405,000","695,000","587,000","594,000","465,000","300,000","224,000","236,000","191,000","141,000","193,000","366,000","580,000","898,000","1,598,000","5,563,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,288,000","2,747,000","-231,000","-5,642,000","3,420,000","6,538,000","159,000","51,000","-332,000","587,000","-199,000","417,000","115,000","457,000","149,000","-32,000","-108,000","62,000","2,000","-4,899,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-31,935,000","53,667,000","-44,975,000","-47,598,000","-40,008,000","-42,481,000","-50,681,000","-57,154,000","-59,348,000","-56,451,000","-57,765,000","-53,530,000","-60,232,000","-59,817,000","-57,611,000","-59,206,000","-57,537,000","-51,870,000","-51,269,000","-55,462,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"3,047,000","9,450,000",-,-,"1,531,000","1,405,000",-,-,-,"-339,000",-,-,-,"-98,000",-,-,-,"2,364,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,"-2,400,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-31,935,000","53,667,000","-41,928,000","-48,148,000","-40,008,000","-42,496,000","-49,165,000","-55,764,000","-59,363,000","-56,466,000","-57,785,000","-56,284,000","-60,247,000","-59,832,000","-57,641,000","-64,604,000","-57,812,000","-66,870,000","-54,074,000","-54,698,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-1,132,000","4,435,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-30,803,000","49,232,000","-41,928,000","-48,148,000","-40,008,000","-42,496,000","-49,165,000","-55,764,000","-59,363,000","-56,466,000","-57,785,000","-56,284,000","-60,247,000","-59,832,000","-57,641,000","-64,604,000","-57,812,000","-66,870,000","-54,074,000","-54,698,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-30,803,000","49,232,000","-41,928,000","-48,148,000","-40,008,000","-42,496,000","-49,165,000","-55,764,000","-59,363,000","-56,466,000","-57,785,000","-56,284,000","-60,247,000","-59,832,000","-57,641,000","-64,604,000","-57,812,000","-66,870,000","-54,074,000","-54,698,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"226,346,058","226,221,202","225,735,236","225,409,315","192,883,209","95,446,929","94,870,293","94,280,553","91,181,427","76,668,162","75,894,692","75,587,851","75,001,510","74,672,882","74,093,526","73,212,186","72,245,897","66,599,915","61,890,323","61,282,084",Upgrade,Financials in USD,Fiscal year is January - December
