Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","1,273,000","688,000","766,000","1,030,000","912,000","1,062,000","919,000","1,071,000","1,139,000","1,150,000","1,296,000","1,229,000","1,304,000","1,376,000","1,752,000","1,317,000","1,054,000","845,000","912,000","1,265,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"738,000","534,000","635,000","1,121,000","556,000","809,000","1,083,000","1,378,000","4,241,000","2,580,000","4,796,000","6,263,000","6,541,000","7,036,000","7,380,000","9,025,000","6,536,000","4,971,000","5,550,000","7,363,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,011,000","1,222,000","1,401,000","2,151,000","1,468,000","1,871,000","2,002,000","2,449,000","5,380,000","3,730,000","6,092,000","7,492,000","7,845,000","8,412,000","9,132,000","10,342,000","7,590,000","5,816,000","6,462,000","8,628,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,011,000","-1,222,000","-1,401,000","-2,151,000","-1,468,000","-1,871,000","-2,002,000","-2,449,000","-5,380,000","-3,730,000","-6,092,000","-7,492,000","-7,845,000","-8,412,000","-9,132,000","-10,342,000","-7,590,000","-5,816,000","-6,462,000","-8,628,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-5,000",-,-,-,-,"-4,000",-,-,-,-,-,"-182,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"103,000","125,000","195,000",-,"278,000","28,000","322,000","30,000",-,"94,000","156,000","131,000","16,000","242,000",-,"685,000","290,000","388,000","390,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-36,000",-,-,-,"36,000",-,-,-,"-25,000",-,-,-,"-119,000",-,-,-,"-111,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"97,000",-,-,"-11,000",-,-,-,"-22,000",-,-,-,"-43,000",-,-,-,"-31,000",-,-,-,"-33,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,914,000","-1,119,000","-1,276,000","-2,003,000","-1,473,000","-1,593,000","-1,974,000","-2,113,000","-5,350,000","-3,734,000","-5,998,000","-7,404,000","-7,714,000","-8,396,000","-8,890,000","-10,674,000","-6,905,000","-5,526,000","-6,074,000","-8,382,000",Upgrade,Financials in USD,Fiscal year is January - December
