Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",,
Revenue,"12,562,599","17,307,862","29,163,616","32,768,503","32,086,522","27,160,711","29,939,173","22,274,386","27,758,814","18,936,382",Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-56.924%,-47.181%,-9.109%,20.647%,7.172%,21.937%,7.855%,17.627%,2.204%,-25.167%,Financials in USD,Fiscal year is October - September
Cost of Revenue,"11,148,577","17,851,114","26,868,870","29,361,458","29,266,270","25,612,844","25,848,510","20,963,074","21,530,973","16,644,183",Financials in USD,Fiscal year is October - September
Gross Profit,"1,414,022","-543,252","2,294,746","3,407,045","2,820,252","1,547,867","4,090,663","1,311,312","6,227,841","2,292,199",Financials in USD,Fiscal year is October - September
"Selling, General & Admin","1,625,747","1,709,008","1,812,042","1,307,943","1,593,007","1,423,763","1,818,722","1,293,111","1,434,898","1,769,086",Financials in USD,Fiscal year is October - September
Research & Development,"467,363","568,470","272,073","1,224,344",-,"8,000",-,-,-,-,Financials in USD,Fiscal year is October - September
Operating Expenses,"2,093,110","2,277,478","2,084,115","2,532,287","1,593,007","1,431,763","1,818,722","1,293,111","1,434,898","1,769,086",Financials in USD,Fiscal year is October - September
Operating Income,"-679,088","-2,820,730","210,631","874,758","1,227,245","116,104","2,271,941","18,201","4,792,943","523,113",Financials in USD,Fiscal year is October - September
Interest Expense,-,"-151,104",-,-,-,-,"-80,387","-132,626","-110,251","-119,375",Financials in USD,Fiscal year is October - September
Interest & Investment Income,"1,024,493",-,"250,294","6,088","18,772","484,730",-,-,-,-,Financials in USD,Fiscal year is October - September
Earnings From Equity Investments,-,"4,016",-,"40,196",-,"69,494",-,"32,093",-,"89,197",Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-4,689","-99,355","226,709","124,320","81,984","171,105","330,290","989,201","215,788","542,957",Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"340,716","-3,067,173","687,634","1,045,362","1,328,001","841,433","2,521,844","906,869","4,898,480","1,035,892",Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-,"-5,523,365",-,"145,363","-958,167",-,-,-,-,-,Financials in USD,Fiscal year is October - September
Pretax Income,"340,716","-8,590,538","687,634","1,190,725","369,834","841,433","2,521,844","906,869","4,898,480","1,035,892",Financials in USD,Fiscal year is October - September
Income Tax Expense,"11,936","-29,088","248,254","74,149","120,153","-21,384","276,517","149,807","715,101","151,714",Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"328,780","-8,561,450","439,380","1,116,576","249,681","862,817","2,245,327","757,062","4,183,379","884,178",Financials in USD,Fiscal year is October - September
Minority Interest in Earnings,"85,688","285,309","56,141","-127,745","-161,819","-60,533","105,257","448,518","-325,249","156,029",Financials in USD,Fiscal year is October - September
Net Income,"414,468","-8,276,141","495,521","988,831","87,862","802,284","2,350,584","1,205,580","3,858,130","1,040,207",Financials in USD,Fiscal year is October - September
Net Income to Common,"414,468","-8,276,141","495,521","988,831","87,862","802,284","2,350,584","1,205,580","3,858,130","1,040,207",Financials in USD,Fiscal year is October - September
Net Income Growth,-16.357%,-,463.976%,23.252%,-96.262%,-33.452%,-39.075%,15.898%,-10.111%,-60.070%,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"7,150,000","7,150,000","7,150,000","7,150,000","7,150,000","7,150,000","6,485,714","6,000,000","6,000,000","6,000,000",Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"7,150,000","7,150,000","7,150,000","7,150,000","7,150,000","7,150,000","6,485,714","6,000,000","6,000,000","6,000,000",Financials in USD,Fiscal year is October - September
Shares Change (YoY),-,-,-,-,10.242%,19.167%,8.095%,-,-,-,Financials in USD,Fiscal year is October - September
EPS (Basic),0.058,-1.158,0.069,0.138,0.012,0.112,0.362,0.201,0.643,0.173,Financials in USD,Fiscal year is October - September
EPS (Diluted),0.050,-1.169,0.050,0.138,0.012,0.100,0.362,0.201,0.643,0.173,Financials in USD,Fiscal year is October - September
EPS Growth,0%,-,306.901%,37.242%,-96.609%,-50.061%,-43.637%,15.899%,-10.111%,-60.070%,Financials in USD,Fiscal year is October - September
Free Cash Flow,"1,774,128","-737,208","-799,266","8,790,050","631,869","-11,788,612","8,642,082","-451,339","5,077,587","1,511,376",Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,0.248,-0.103,-0.112,1.229,0.088,-1.649,1.332,-0.075,0.846,0.252,Financials in USD,Fiscal year is October - September
Operating Margin,-5.406%,-16.297%,0.722%,2.670%,3.825%,0.427%,7.589%,0.082%,17.266%,2.762%,Financials in USD,Fiscal year is October - September
Profit Margin,3.299%,-47.817%,1.699%,3.018%,0.274%,2.954%,7.851%,5.412%,13.899%,5.493%,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,14.122%,-4.259%,-2.741%,26.825%,1.969%,-43.403%,28.865%,-2.026%,18.292%,7.981%,Financials in USD,Fiscal year is October - September
EBITDA,"-124,316","-1,883,127","782,072","1,557,216","1,769,459","726,844","2,862,430","545,929","5,370,803","1,111,167",Financials in USD,Fiscal year is October - September
