Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"137,737,000","127,044,000","107,672,000","86,346,000","88,638,000","145,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),12.128%,17.992%,24.698%,-2.586%,-39.276%,88.409%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"72,376,000","117,002,000","158,180,000","175,642,000","209,522,000","229,001,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"65,361,000","10,042,000","-50,508,000","-89,296,000","-120,884,000","-83,033,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","73,682,000","103,057,000","118,750,000","127,132,000","101,679,000","127,661,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"73,682,000","103,057,000","118,750,000","127,132,000","101,679,000","127,661,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,321,000","-93,015,000","-169,258,000","-216,428,000","-222,563,000","-210,694,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,768,000","-3,868,000","-2,474,000","-2,410,000","-1,901,000","-1,472,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,364,000","3,364,000","1,638,000","433,000","3,633,000","7,259,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,476,000","1,178,000","-6,321,000","-400,000",-,"257,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,249,000","-92,341,000","-176,415,000","-218,805,000","-220,831,000","-204,650,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-4,200,000","-4,200,000","-5,400,000","-1,400,000","-5,600,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-1,000","-1,000",-,-,-,"8,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-3,117,000","-617,000","-209,000","-478,000","-847,000","-107,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-13,400,000","-13,400,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-27,967,000","-110,559,000","-182,024,000","-220,683,000","-227,278,000","-204,749,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-27,967,000","-110,559,000","-182,024,000","-220,683,000","-227,278,000","-204,749,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,967,000","-110,559,000","-182,024,000","-220,683,000","-227,278,000","-204,749,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"151,984,500","138,135,000","108,876,000","98,471,000","90,774,000","81,779,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"151,984,500","138,135,000","108,876,000","98,471,000","90,774,000","81,779,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),16.826%,26.874%,10.567%,8.479%,10.999%,11.731%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.184,-0.800,-1.672,-2.241,-2.504,-2.504,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.184,-0.800,-1.672,-2.241,-2.504,-2.504,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,612,000","-60,334,000","-148,737,000","-206,376,000","-191,633,000","-131,734,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.063,-0.437,-1.366,-2.096,-2.111,-1.611,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,47.453%,7.904%,-46.909%,-103.416%,-136.379%,-56.884%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-6.041%,-73.215%,-157.198%,-250.652%,-251.092%,-144.343%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-20.305%,-87.024%,-169.054%,-255.580%,-256.411%,-140.270%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-6.979%,-47.491%,-138.139%,-239.010%,-216.197%,-90.249%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-5,695,000","-90,116,000","-166,369,000","-213,407,000","-219,716,000","-208,650,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-4.135%,-70.933%,-154.515%,-247.153%,-247.880%,-142.942%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,626,000","2,899,000","2,889,000","3,021,000","2,847,000","2,044,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-8,321,000","-93,015,000","-169,258,000","-216,428,000","-222,563,000","-210,694,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-6.041%,-73.215%,-157.198%,-250.652%,-251.092%,-144.343%,Upgrade,Financials in USD,Fiscal year is January - December
