Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,"5,366,000","2,826,000","6,417,000","1,476,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),51.411%,-55.961%,334.756%,-,Financials in USD,Fiscal year is January - December
Gross Profit,"5,366,000","2,826,000","6,417,000","1,476,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","22,797,000","18,159,000","6,743,000","1,956,000",Financials in USD,Fiscal year is January - December
Research & Development,"65,473,000","32,841,000","29,379,000","12,606,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"88,270,000","51,000,000","36,122,000","14,562,000",Financials in USD,Fiscal year is January - December
Operating Income,"-82,904,000","-48,174,000","-29,705,000","-13,086,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"15,819,000","4,764,000","1,145,000","3,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-123,000","-85,000","136,000","-26,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-191,000","-60,000","-52,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-67,092,000","-43,555,000","-28,476,000","-13,109,000",Financials in USD,Fiscal year is January - December
Net Income,"-67,092,000","-43,555,000","-28,476,000","-13,109,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-67,092,000","-43,555,000","-28,476,000","-13,109,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"28,192,048","5,153,423","874,234","4,005,704",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"28,192,048","5,153,423","874,234","4,005,704",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1617.892%,489.479%,-78.175%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.380,-8.452,-32.573,-3.273,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.380,-8.452,-32.573,-3.273,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-62,674,000","-36,971,000","-29,209,000","-9,937,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.223,-7.174,-33.411,-2.481,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-1544.987%,-1704.671%,-462.911%,-886.585%,Financials in USD,Fiscal year is January - December
Profit Margin,-1250.317%,-1541.224%,-443.759%,-888.144%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1167.984%,-1308.245%,-455.182%,-673.238%,Financials in USD,Fiscal year is January - December
EBITDA,"-82,814,000","-48,107,000","-29,675,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"90,000","67,000","30,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-82,904,000","-48,174,000","-29,705,000","-13,086,000",Financials in USD,Fiscal year is January - December
