Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,"10,066,550","7,144,872",-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"14,567,096","8,438,499","1,336,469",-,Financials in USD,Fiscal year is January - December
Gross Profit,"-4,500,546","-1,293,627","-1,336,469",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,166,214","5,719,268","2,139,065","2,615,520",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"2,421,593",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,166,214","5,719,268","2,139,065","5,037,113",Financials in USD,Fiscal year is January - December
Operating Income,"-12,666,760","-7,012,895","-3,475,534","-5,037,113",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-587,-429,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,523,898","219,430","62,226","19,854",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-4,317","5,421,592","-2,389,152","735,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,147,179","-1,371,873","-5,803,047","-4,282,688",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-800,000","-800,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"147,254",Financials in USD,Fiscal year is January - December
Pretax Income,"-11,947,179","-2,171,873","-5,803,047","-4,135,434",Financials in USD,Fiscal year is January - December
Net Income,"-11,947,179","-2,171,873","-5,803,047","-4,135,434",Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,947,179","-2,171,873","-5,803,047","-4,135,434",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,463,923","2,661,416","518,140","4,501,652",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,463,923","2,661,416","518,140","4,501,652",Financials in USD,Fiscal year is January - December
Shares Change (YoY),510.124%,413.648%,-88.490%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.601,-0.816,-11.200,-0.919,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.601,-0.816,-11.200,-0.919,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,018,363","-7,449,847","-2,572,759","-4,134,535",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.476,-2.799,-4.965,-0.918,Financials in USD,Fiscal year is January - December
Gross Margin,-44.708%,-18.106%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-125.830%,-98.153%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-118.682%,-30.398%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-109.455%,-104.268%,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-12,666,760","-7,012,895","-3,475,534","-5,037,113",Financials in USD,Fiscal year is January - December
EBIT Margin,-125.830%,-98.153%,-,-,Financials in USD,Fiscal year is January - December
