Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","1,782,142","2,732,917","3,165,857","3,361,788","3,143,933","3,261,151","2,680,018","1,159,517","1,040,273","2,052,693",Financials in USD,Fiscal year is January - December
Research & Development,"271,350","1,524,663","4,383,625","3,432,550","5,544,093","4,056,717","1,862,735","58,159","41,421","-82,086",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,053,492","4,257,580","7,549,482","6,794,338","8,688,026","7,317,868","4,542,753","1,217,676","1,081,694","1,970,607",Financials in USD,Fiscal year is January - December
Operating Income,"-2,053,492","-4,257,580","-7,549,482","-6,794,338","-8,688,026","-7,317,868","-4,542,753","-1,217,676","-1,081,694","-1,970,607",Financials in USD,Fiscal year is January - December
Interest Expense,"-86,985","-145,024",-129,"-91,686","-9,180",-1,"-68,133","-145,371","-88,329","-27,225",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"104,643","-156,686","-63,127","-46,352","56,397","-24,867","7,544","-266,172","-62,193","-34,059",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,035,834","-4,559,290","-7,612,738","-6,932,376","-8,640,809","-7,342,736","-4,603,342","-1,629,219","-1,232,216","-2,031,891",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-922,495",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,035,834","-4,559,290","-7,612,738","-7,854,871","-8,640,809","-7,342,736","-4,603,342","-1,629,219","-1,232,216","-2,031,891",Financials in USD,Fiscal year is January - December
Net Income,"-2,035,834","-4,559,290","-7,612,738","-7,854,871","-8,640,809","-7,342,736","-4,603,342","-1,629,219","-1,232,216","-2,031,891",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,035,834","-4,559,290","-7,612,738","-7,854,871","-8,640,809","-7,342,736","-4,603,342","-1,629,219","-1,232,216","-2,031,891",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,048,632","954,401","954,401","586,824","397,308","318,351","276,731","174,000","174,000","174,125",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,048,632","954,401","954,401","586,824","397,308","318,351","276,731","174,000","174,000","174,125",Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.873%,62.638%,140.217%,84.332%,43.572%,82.960%,59.041%,-0.072%,3.649%,9.513%,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.941,-4.777,-7.976,-13.385,-21.748,-23.065,-16.635,-9.363,-7.082,-11.669,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.941,-4.777,-7.976,-13.385,-21.748,-23.065,-16.635,-9.363,-7.082,-11.669,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,530,498","-2,387,934","-7,296,532","-6,213,951","-7,665,420","-5,209,514","-9,766,090","-196,462","-532,924","-902,965",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.460,-2.502,-7.645,-10.589,-19.293,-16.364,-35.291,-1.129,-3.063,-5.186,Financials in USD,Fiscal year is January - December
EBITDA,"-2,047,788","-4,251,876","-7,543,778","-6,788,634","-8,682,322","-7,312,840","-4,537,731",-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,704","5,704","5,704","5,704","5,704","5,028","5,022",-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-2,053,492","-4,257,580","-7,549,482","-6,794,338","-8,688,026","-7,317,868","-4,542,753","-1,217,676","-1,081,694","-1,970,607",Financials in USD,Fiscal year is January - December
