Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"6,435,000","1,657,000","652,000","30,017,000","9,934,000","9,887,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),382.746%,154.141%,-97.828%,202.164%,0.475%,-55.944%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"66,743,000","74,010,000","82,199,000","56,563,000","37,483,000","29,218,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-60,308,000","-72,353,000","-81,547,000","-26,546,000","-27,549,000","-19,331,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,269,000","19,304,000","19,682,000","18,723,000","9,382,000","5,736,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,269,000","19,304,000","19,682,000","18,723,000","9,382,000","5,736,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-79,577,000","-91,657,000","-101,229,000","-45,269,000","-36,931,000","-25,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,669,000","4,669,000","1,592,000","625,000","549,000","1,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"790,000","-10,000","-208,000","-330,000","-221,000","-99,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-74,118,000","-86,998,000","-99,845,000","-44,974,000","-36,603,000","-23,982,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-300,000","-300,000","-700,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,"-1,400,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-74,418,000","-87,298,000","-101,945,000","-44,974,000","-36,603,000","-23,982,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-74,418,000","-87,298,000","-101,945,000","-44,974,000","-36,603,000","-23,982,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-74,418,000","-87,298,000","-101,945,000","-44,974,000","-36,603,000","-23,982,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,802,032","42,600,190","42,378,895","42,032,384","15,506,067","7,556,812",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,802,032","42,600,190","42,378,895","42,032,384","15,506,067","7,556,812",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.980%,0.522%,0.824%,171.071%,105.193%,1.964%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.525,-2.049,-2.406,-1.070,-2.361,-3.174,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.525,-2.049,-2.406,-1.070,-2.361,-3.174,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-62,640,000","-81,635,000","-106,112,000","-65,042,000","-34,386,000","-21,445,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.284,-1.916,-2.504,-1.547,-2.218,-2.838,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-88.436%,-277.320%,-195.519%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1236.628%,-5531.503%,-15525.920%,-150.811%,-371.764%,-253.535%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1156.457%,-5268.437%,-15635.736%,-149.828%,-368.462%,-242.561%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-973.427%,-4926.675%,-16274.847%,-216.684%,-346.145%,-216.901%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-75,707,000","-87,615,000","-98,156,000","-43,889,000","-36,313,000","-24,530,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-146.214%,-,-248.103%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,870,000","4,042,000","3,073,000","1,380,000","618,000","537,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-79,577,000","-91,657,000","-101,229,000","-45,269,000","-36,931,000","-25,067,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-150.811%,-,-253.535%,Upgrade,Financials in USD,Fiscal year is January - December
