Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","13,705,000","11,659,000","12,113,000","9,820,000","4,909,000","5,507,000",Financials in USD,Fiscal year is January - December
Research & Development,"21,917,000","17,498,000","22,527,000","17,166,000","14,389,000","17,867,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"35,622,000","29,157,000","34,640,000","26,986,000","19,298,000","23,374,000",Financials in USD,Fiscal year is January - December
Operating Income,"-35,622,000","-29,157,000","-34,640,000","-26,986,000","-19,298,000","-23,374,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,446,000","-1,449,000","-1,618,000","-1,282,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,550,000","1,115,000","549,000",-,"90,000","264,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-34,000",-,"8,746,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-35,518,000","-29,491,000","-35,709,000","-28,302,000","-19,208,000","-14,364,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"1,000",Financials in USD,Fiscal year is January - December
Net Income,"-35,518,000","-29,491,000","-35,709,000","-28,302,000","-19,208,000","-14,365,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-35,518,000","-29,491,000","-35,709,000","-28,302,000","-19,208,000","-14,365,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"22,525,037","15,416,203","11,548,907","3,790,303","468,161","838,548",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"22,525,037","15,416,203","11,548,907","3,790,303","468,161","838,548",Financials in USD,Fiscal year is January - December
Shares Change (YoY),61.109%,33.486%,204.696%,709.615%,-44.170%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.577,-1.913,-3.092,-7.467,-41.029,-17.131,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.577,-1.913,-3.092,-7.467,-41.029,-17.131,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-29,492,000","-27,527,000","-31,634,000","-26,092,000","-19,067,000","-22,923,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.309,-1.786,-2.739,-6.884,-40.727,-27.337,Financials in USD,Fiscal year is January - December
EBITDA,"-35,197,000","-28,776,000","-34,002,000","-26,612,000","-18,959,000","-23,270,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"425,000","381,000","638,000","374,000","339,000","104,000",Financials in USD,Fiscal year is January - December
EBIT,"-35,622,000","-29,157,000","-34,640,000","-26,986,000","-19,298,000","-23,374,000",Financials in USD,Fiscal year is January - December
