Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","7,572,930","9,070,124","7,242,887","4,289,831","5,563,192","5,009,474",Financials in USD,Fiscal year is January - December
Research & Development,"10,757,518","11,112,257","8,933,314","3,496,796","1,412,409","1,911,882",Financials in USD,Fiscal year is January - December
Operating Expenses,"18,330,448","20,182,381","16,176,201","7,786,627","6,975,601","6,921,356",Financials in USD,Fiscal year is January - December
Operating Income,"-18,330,448","-20,182,381","-16,176,201","-7,786,627","-6,975,601","-6,921,356",Financials in USD,Fiscal year is January - December
Interest Expense,-85,"-6,863","-6,967","-827,539","-32,226",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"269,305","34,490","1,870","2,012",679,242,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-7,878,152","381,849","412,019","-1,705,614","-14,600",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-25,939,380","-19,772,905","-15,769,279","-10,317,768","-7,021,748","-6,921,114",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"-450,578",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-2,260,443","62,500",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-25,939,380","-19,772,905","-16,219,857","-12,578,211","-6,959,248","-6,921,114",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-25,939,380","-19,772,905","-16,219,857","-12,578,211","-6,959,248","-6,921,114",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,"74,331","322,588","428,332",Financials in USD,Fiscal year is January - December
Net Income,"-25,939,380","-19,772,905","-16,219,857","-12,503,880","-6,636,660","-6,492,782",Financials in USD,Fiscal year is January - December
Net Income to Common,"-25,939,380","-19,772,905","-16,219,857","-12,503,880","-6,636,660","-6,492,782",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"19,807,918","13,261,572","9,276,761","5,278,435","4,427,242","3,769,880",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"19,807,918","13,261,572","9,276,761","5,278,435","4,427,242","3,769,880",Financials in USD,Fiscal year is January - December
Shares Change (YoY),63.263%,42.955%,75.748%,19.226%,17.437%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.310,-1.491,-1.748,-2.369,-1.499,-1.722,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.310,-1.491,-1.748,-2.369,-1.499,-1.722,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,788,732","-13,071,016","-12,096,104","-4,122,896","-1,844,163","-1,565,112",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.797,-0.986,-1.304,-0.781,-0.417,-0.415,Financials in USD,Fiscal year is January - December
EBIT,"-18,330,448","-20,182,381","-16,176,201","-7,786,627","-6,975,601","-6,921,356",Financials in USD,Fiscal year is January - December
