Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"64,154,000","76,071,000","33,401,000","8,980,000","106,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-6.544%,127.751%,271.949%,8371.698%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"50,804,000","58,333,000","20,150,000","6,555,000","35,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"13,350,000","17,738,000","13,251,000","2,425,000","71,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,985,000","22,157,000","25,403,000","17,019,000","7,374,000","3,198,000",Financials in USD,Fiscal year is January - December
Research & Development,"252,000","62,000","388,000","132,000","78,000","25,200",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"1,633,000","2,204,000","1,511,000","1,050,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"24,211,000","28,585,000","33,791,000","21,377,000","12,466,000","3,382,800",Financials in USD,Fiscal year is January - December
Operating Income,"-10,861,000","-10,847,000","-20,540,000","-18,952,000","-12,395,000","-3,382,800",Financials in USD,Fiscal year is January - December
Interest Expense,"-49,000","-92,000",-,"-32,000","-30,000","-22,800",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"29,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-26,000","158,000","-323,000","-79,000","-20,000","-7,200",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"-73,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,936,000","-10,781,000","-20,834,000","-19,063,000","-12,518,000","-3,412,800",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-200,000",-,"-900,000",-,-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-23,572,000","-23,372,000","-25,072,000","-51,000","-1,816,000",-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-231,000","1,991,000","-593,000","-2,345,000",-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"17,535,000","-16,135,000","-709,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,404,000","-48,297,000","-48,108,000","-21,459,000","-14,334,000","-3,412,800",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-452,000","-1,628,000","-1,405,000","-98,000",-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-16,952,000","-46,669,000","-46,703,000","-21,361,000","-14,334,000","-3,412,800",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-1,887,000","-9,678,000","-5,926,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Company,"-18,839,000","-56,347,000","-52,629,000","-21,361,000","-14,334,000","-3,412,800",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-1,045,000","-689,000","214,000","112,000","164,000","24,000",Financials in USD,Fiscal year is January - December
Net Income,"-19,884,000","-57,036,000","-52,415,000","-21,249,000","-14,170,000","-3,388,800",Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,884,000","-57,036,000","-52,415,000","-21,249,000","-14,170,000","-3,388,800",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,920,000","7,356,000","3,832,000","2,197,700","1,495,050","744,600",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,920,000","7,356,000","3,832,000","2,197,700","1,495,050","744,600",Financials in USD,Fiscal year is January - December
Shares Change (YoY),78.380%,91.962%,74.364%,46.998%,100.786%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.821,-7.754,-13.678,-9.669,-9.478,-4.551,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.821,-7.754,-13.680,-9.669,-9.478,-4.551,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,913,000","-8,630,000","-17,229,000","-24,922,000","-8,655,000","-712,800",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.450,-1.173,-4.496,-11.340,-5.789,-0.957,Financials in USD,Fiscal year is January - December
Gross Margin,20.809%,23.318%,39.672%,27.004%,66.981%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-16.930%,-14.259%,-61.495%,-211.047%,-11693.396%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-30.994%,-74.977%,-156.926%,-236.626%,-13367.925%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-7.658%,-11.345%,-51.582%,-277.528%,-8165.094%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-9,864,000","-8,363,000","-17,911,000","-18,451,000","-12,324,000","-3,351,600",Financials in USD,Fiscal year is January - December
EBITDA Margin,-15.376%,-10.994%,-53.624%,-205.468%,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"997,000","2,484,000","2,629,000","501,000","71,000","31,200",Financials in USD,Fiscal year is January - December
EBIT,"-10,861,000","-10,847,000","-20,540,000","-18,952,000","-12,395,000","-3,382,800",Financials in USD,Fiscal year is January - December
EBIT Margin,-16.930%,-14.259%,-61.495%,-211.047%,-,-,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"4,710,000","8,033,000","3,585,000",-,-,Financials in USD,Fiscal year is January - December
