Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,-,"50,000,000",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,"50,000,000",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,100,000","7,256,000","6,631,000","6,287,000",Financials in USD,Fiscal year is January - December
Research & Development,"32,423,000","26,667,000","16,089,000","22,360,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"43,523,000","33,923,000","22,720,000","28,647,000",Financials in USD,Fiscal year is January - December
Operating Income,"-43,523,000","16,077,000","-22,720,000","-28,647,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-208,000","-388,000","-332,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,167,000","4,606,000","761,000","77,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-267,000","2,695,000","-1,906,000","-99,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-35,623,000","23,170,000","-24,253,000","-29,001,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-161,000","450,000",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-35,462,000","22,720,000","-24,253,000","-29,001,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"-6,575,000","19,574,000",-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-28,887,000","3,146,000","-24,253,000","-29,001,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,472,490","2,308,972","2,243,066","2,109,211",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,472,490","3,395,514","2,243,066","2,109,211",Financials in USD,Fiscal year is January - December
Shares Change (YoY),488.876%,51.378%,6.346%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.144,1.363,-10.812,-13.750,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.144,0.081,-10.812,-13.769,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-34,004,000","18,935,000","-20,239,000","-26,434,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.524,5.576,-9.023,-12.533,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,32.154%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,6.292%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,37.870%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-43,303,000","16,272,000","-22,391,000","-28,322,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,32.544%,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"220,000","195,000","329,000","325,000",Financials in USD,Fiscal year is January - December
EBIT,"-43,523,000","16,077,000","-22,720,000","-28,647,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,32.154%,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,1.942%,-,-,Financials in USD,Fiscal year is January - December
