Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"87,563,000","78,592,000","46,826,000","72,832,000","34,034,000","2,934,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),86.917%,67.838%,-35.707%,113.998%,1059.986%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"221,401,000","189,081,000","164,248,000","137,017,000","62,105,000","37,158,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-133,838,000","-110,489,000","-117,422,000","-64,185,000","-28,071,000","-34,224,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","61,429,000","55,041,000","43,834,000","36,345,000","18,233,000","7,981,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"61,429,000","55,041,000","43,834,000","36,345,000","18,233,000","7,981,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-195,267,000","-165,530,000","-161,256,000","-100,530,000","-46,304,000","-42,205,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-242,000","-196,000","-176,000","-175,000","-115,000","-46,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"32,960,000","18,764,000","6,624,000","488,000","826,000","1,005,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-167,474,000","-146,962,000","-154,808,000","-100,217,000","-45,593,000","-41,246,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-167,474,000","-146,962,000","-154,808,000","-100,217,000","-45,593,000","-41,246,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"9,050,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-167,474,000","-146,962,000","-154,808,000","-100,217,000","-54,643,000","-41,246,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"69,628,643","58,365,499","53,933,229","47,989,023","17,349,582","1,698,522",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"69,628,643","58,365,499","53,933,229","47,989,023","17,349,582","1,698,522",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),19.600%,8.218%,12.387%,176.600%,921.452%,44.440%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.405,-2.518,-2.870,-2.088,-3.150,-24.283,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.405,-2.518,-2.870,-2.088,-3.150,-24.283,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-148,199,000","-137,306,000","-155,921,000","-130,543,000","79,034,000","17,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.128,-2.353,-2.891,-2.720,4.555,10.228,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-152.848%,-140.585%,-250.762%,-88.127%,-82.479%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-223.002%,-210.619%,-344.373%,-138.030%,-136.052%,-1438.480%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-191.261%,-186.994%,-330.603%,-137.600%,-160.554%,-1405.794%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-169.248%,-174.707%,-332.980%,-179.239%,232.221%,592.127%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-190,490,000","-163,465,000","-159,479,000","-99,033,000","-45,241,000","-41,780,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-217.546%,-207.992%,-,-135.975%,-132.929%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,777,000","2,065,000","1,777,000","1,497,000","1,063,000","425,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-195,267,000","-165,530,000","-161,256,000","-100,530,000","-46,304,000","-42,205,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-223.002%,-210.619%,-,-138.030%,-136.052%,-,Upgrade,Financials in USD,Fiscal year is January - December
