Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"329,000","730,000","151,000","226,000",Financials in USD,Fiscal year is January - December
Cost of Revenue,"902,000","19,533,000","12,449,000","13,293,000","473,000","9,133,000","8,713,000","10,746,000","8,309,000","7,321,000","5,985,000","5,673,000","1,800,000","2,254,000","2,578,000","1,026,000","2,994,000","1,927,000","2,050,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-902,000","-19,533,000","-12,449,000","-13,293,000","-473,000","-9,133,000","-8,713,000","-10,746,000","-8,309,000","-7,321,000","-5,985,000","-5,673,000","-1,800,000","-2,254,000","-2,578,000","-697,000","-2,264,000","-1,776,000","-1,824,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,018,000","4,848,000","5,325,000","5,193,000","4,860,000","4,345,000","4,422,000","3,502,000","3,062,000","3,090,000","3,221,000","2,742,000","2,135,000","1,187,000","1,215,000","644,000","226,000","259,000","222,000",Financials in USD,Fiscal year is January - December
Research & Development,"26,345,000",-,-,-,"10,706,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"31,363,000","4,848,000","5,325,000","5,193,000","15,566,000","4,345,000","4,422,000","3,502,000","3,062,000","3,090,000","3,221,000","2,742,000","2,135,000","1,187,000","1,215,000","644,000","226,000","259,000","222,000",Financials in USD,Fiscal year is January - December
Operating Income,"-32,265,000","-24,381,000","-17,774,000","-18,486,000","-16,039,000","-13,478,000","-13,135,000","-14,248,000","-11,371,000","-10,411,000","-9,206,000","-8,415,000","-3,935,000","-3,441,000","-3,793,000","-1,341,000","-2,490,000","-2,035,000","-2,046,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,027,000","-1,004,000","-1,000,000","-581,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,504,000","3,816,000","4,005,000","5,295,000","3,124,000","1,884,000","1,832,000","817,000","663,000","260,000","292,000","223,000","14,000","4,000","4,000",-,-,-,"1,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"23,000","1,032,000","-104,000","-1,381,000","-42,000","-16,000","-4,000","-10,000","-2,000",-,"1,000","4,000","19,000","-57,921,000","-23,208,000","586,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-29,765,000","-20,537,000","-14,873,000","-15,153,000","-12,957,000","-11,610,000","-11,307,000","-13,441,000","-10,710,000","-10,151,000","-8,913,000","-8,188,000","-3,902,000","-61,358,000","-26,997,000","-755,000","-2,490,000","-2,035,000","-2,045,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-1,344,000",-,-,-,"575,000",-,-,"-216,000","-161,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-29,765,000","-20,537,000","-14,873,000","-16,497,000","-12,957,000","-11,610,000","-11,307,000","-12,866,000","-10,710,000","-10,151,000","-9,129,000","-8,349,000","-3,902,000","-61,358,000","-26,997,000","-755,000","-2,490,000","-2,035,000","-2,045,000",Financials in USD,Fiscal year is January - December
Net Income,"-29,765,000","-20,537,000","-14,873,000","-16,497,000","-12,957,000","-11,610,000","-11,307,000","-12,866,000","-10,710,000","-10,151,000","-9,129,000","-8,349,000","-3,902,000","-61,358,000","-26,997,000","-755,000","-2,490,000","-2,035,000","-2,045,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-29,765,000","-20,537,000","-14,873,000","-16,497,000","-12,957,000","-11,610,000","-11,307,000","-12,866,000","-10,710,000","-10,151,000","-9,129,000","-8,349,000","-3,902,000","-61,358,000","-26,997,000","-755,000","-2,490,000","-2,035,000","-2,045,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"60,079,778","60,079,778","59,812,000","58,012,673","54,229,630","41,025,062","41,025,062","40,934,201","40,502,860","40,497,087","40,473,270","40,696,187","38,266,593","432,325","419,124","419,124","419,124","419,124","419,218",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"60,079,778","60,079,778","59,812,000","58,012,673","54,229,630","41,025,062","41,025,062","40,934,201","40,502,860","40,497,087","40,473,270","40,696,187","38,266,593","432,325","419,124","419,124","419,124","419,124","419,218",Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.788%,46.447%,45.794%,41.722%,33.891%,1.304%,1.363%,0.585%,5.844%,9267.279%,9556.634%,9609.820%,9030.136%,3.150%,-0.022%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.495,-0.342,-0.249,-0.284,-0.239,-0.283,-0.276,-0.314,-0.264,-0.251,-0.226,-0.205,-0.102,-141.926,-64.413,-1.801,-5.941,-4.855,-4.878,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.495,-0.342,-0.249,-0.287,-0.239,-0.283,-0.276,-0.319,-0.264,-0.251,-0.226,-0.205,-0.102,-141.926,-64.413,-1.801,-5.941,-4.855,-4.878,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-24,596,000","-16,550,000","-17,870,000","-8,328,000","-12,912,000","-11,670,000","-10,175,000","-11,238,000","-9,264,000","-6,504,000","-8,308,000","-3,665,000","-7,696,000","-4,270,000","-2,370,000","-2,857,000","-1,283,000","-1,494,000","-1,816,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.409,-0.275,-0.299,-0.144,-0.238,-0.284,-0.248,-0.275,-0.229,-0.161,-0.205,-0.090,-0.201,-9.877,-5.655,-6.817,-3.061,-3.565,-4.332,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-211.854%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-407.599%,-341.096%,-1347.682%,-905.310%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-229.483%,-341.096%,-1347.682%,-904.867%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-868.389%,-175.753%,-989.404%,-803.540%,Financials in USD,Fiscal year is January - December
EBITDA,"-32,249,000","-24,364,000","-17,758,000","-18,467,000","-16,026,000","-13,463,000","-13,121,000","-14,236,000","-11,361,000","-10,405,000","-9,202,000","-8,412,000","-3,934,667",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"16,000","17,000","16,000","19,000","13,000","15,000","14,000","12,000","10,000","6,000","4,000","3,000",333,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-32,265,000","-24,381,000","-17,774,000","-18,486,000","-16,039,000","-13,478,000","-13,135,000","-14,248,000","-11,371,000","-10,411,000","-9,206,000","-8,415,000","-3,935,000","-3,441,000","-3,793,000","-1,341,000","-2,490,000","-2,035,000","-2,046,000",Financials in USD,Fiscal year is January - December
