Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020",,
"Selling, General & Admin","1,097,265","872,661","915,912","1,697,787","1,273,458","1,077,230","1,774,699","1,943,202","1,388,271","1,207,343","964,281","858,186","839,826","678,013","279,093","154,589","232,060",Financials in USD,Fiscal year is July - June
Research & Development,"1,314,859","467,706","748,339","1,062,672","1,270,220","1,417,159","1,089,342","1,869,920","1,223,776","1,118,141","915,363","212,936","715,098","1,806,692","273,038","169,982","20,286",Financials in USD,Fiscal year is July - June
Operating Expenses,"2,412,124","1,340,367","1,664,251","2,760,459","2,543,678","2,494,389","2,864,041","3,813,122","2,612,047","2,325,484","1,879,644","1,071,122","1,554,924","2,484,705","552,131","324,571","252,346",Financials in USD,Fiscal year is July - June
Operating Income,"-2,412,124","-1,340,367","-1,664,251","-2,760,459","-2,543,678","-2,494,389","-2,864,041","-3,813,122","-2,612,047","-2,325,484","-1,879,644","-1,071,122","-1,554,924","-2,484,705","-552,131","-324,571","-252,346",Financials in USD,Fiscal year is July - June
Interest Expense,"-59,697","-59,696","-59,696","-31,838",-,-,-,-,-,-,-,-,-,"-11,767",-,"-4,033","-4,033",Financials in USD,Fiscal year is July - June
Interest & Investment Income,"26,006","50,218","68,084","75,522","55,198",6,"79,152","8,816",-,"7,332",-,-,-,"1,020",-,-,-,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"245,079",-124,"2,321",-594,"7,657","-1,197","-13,082","-22,646",212,"-4,590","3,153","-1,869","1,529","-26,616,287","-3,701",-,-,Financials in USD,Fiscal year is July - June
Pretax Income,"-2,200,736","-1,349,969","-1,653,542","-2,717,369","-2,480,823","-2,495,580","-2,797,971","-3,826,952","-2,611,835","-2,322,742","-1,876,491","-1,072,991","-1,553,395","-29,111,739","-555,832","-328,604","-256,379",Financials in USD,Fiscal year is July - June
Net Income,"-2,200,736","-1,349,969","-1,653,542","-2,717,369","-2,480,823","-2,495,580","-2,797,971","-3,826,952","-2,611,835","-2,322,742","-1,876,491","-1,072,991","-1,553,395","-29,111,739","-555,832","-328,604","-256,379",Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,208,393",-,-,Financials in USD,Fiscal year is July - June
Net Income to Common,"-2,200,736","-1,349,969","-1,653,542","-2,717,369","-2,480,823","-2,495,580","-2,797,971","-3,826,952","-2,611,835","-2,322,742","-1,876,491","-1,072,991","-1,553,395","-29,111,739","-8,764,225","-328,604","-256,379",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"25,933,217","25,933,217","25,933,217","25,789,739","25,633,217","25,633,217","25,633,217","25,633,217","23,416,495","23,344,567","23,344,567","23,344,567","23,344,567","18,293,103","12,982,500","12,982,500","12,000,000",Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"25,933,217","25,933,217","25,933,217","25,789,739","25,633,217","25,633,217","25,633,217","25,633,217","23,416,495","23,344,567","23,344,567","23,344,567","23,344,567","18,293,103","12,982,500","12,982,500","12,000,000",Financials in USD,Fiscal year is July - June
Shares Change (YoY),1.170%,1.170%,1.170%,0.611%,9.466%,9.804%,9.804%,9.804%,0.308%,27.614%,79.816%,79.816%,94.538%,-,-,-,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.085,-0.052,-0.064,-0.105,-0.097,-0.097,-0.109,-0.149,-0.112,-0.099,-0.080,-0.046,-0.067,-1.591,-0.675,-0.025,-0.021,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.085,-0.052,-0.064,-0.105,-0.097,-0.097,-0.109,-0.149,-0.112,-0.099,-0.080,-0.046,-0.067,-1.591,-0.675,-0.025,-0.021,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-1,689,989","-2,052,939","-1,497,378","-1,813,707","-2,726,825","-2,849,246","-2,190,545","-2,609,420","-2,033,922","-1,999,256","-1,461,263","-1,198,753","-777,902","-3,497,308","-828,904","-410,021","-134,956",Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.065,-0.079,-0.058,-0.070,-0.106,-0.111,-0.085,-0.102,-0.087,-0.086,-0.063,-0.051,-0.033,-0.191,-0.064,-0.032,-0.011,Financials in USD,Fiscal year is July - June
EBIT,"-2,412,124","-1,340,367","-1,664,251","-2,760,459","-2,543,678","-2,494,389","-2,864,041","-3,813,122","-2,612,047","-2,325,484","-1,879,644","-1,071,122","-1,554,924","-2,484,705","-552,131","-324,571","-252,346",Financials in USD,Fiscal year is July - June
