Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
"Selling, General & Admin","8,067,076","5,950,521","4,380,387","2,862,765","2,129,437","1,783,130",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"88,499,016","60,279,810","35,010,704","25,493,150","7,426,727","6,022,171",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"96,566,092","66,230,331","39,391,091","28,355,915","9,556,164","7,805,301",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-96,566,092","-66,230,331","-39,391,091","-28,355,915","-9,556,164","-7,805,301",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-8,402,531","-5,326,387","-2,106,111","-1,262,350",-120,-159,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"10,994,087","7,777,602","1,127,162","13,262","82,109","446,096",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-93,974,536","-63,779,116","-40,370,040","-29,605,003","-9,474,175","-7,359,364",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-263,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-93,974,536","-63,779,116","-40,370,040","-29,605,266","-9,474,175","-7,359,364",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-93,974,536","-63,779,116","-40,370,040","-29,605,266","-9,474,175","-7,359,364",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"272,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-93,974,536","-63,779,116","-40,642,040","-29,605,266","-9,474,175","-7,359,364",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"35,964,023","23,679,472","15,418,543","13,382,553","10,266,884","10,226,041",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"35,964,023","23,679,472","15,418,543","13,382,553","10,266,884","10,226,041",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),74.058%,53.578%,15.214%,30.347%,0.399%,1.002%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.613,-2.693,-2.636,-2.212,-0.923,-0.720,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.613,-2.693,-2.636,-2.212,-0.923,-0.720,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-74,470,109","-53,909,897","-36,166,939","-20,393,838","-7,235,060","-6,378,912",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.071,-2.277,-2.346,-1.524,-0.705,-0.624,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-96,443,451","-66,087,559","-39,180,173","-28,052,680","-9,170,573","-7,466,305",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"122,641","142,772","210,918","303,235","385,591","338,996",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-96,566,092","-66,230,331","-39,391,091","-28,355,915","-9,556,164","-7,805,301",Upgrade,Financials in USD,Fiscal year is January - December
