Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","5,108,000","6,237,000","6,141,000","6,875,000","2,881,000","1,920,000","1,365,000","1,127,000","702,000","288,000","58,000",Financials in USD,Fiscal year is January - December
Research & Development,"19,330,000","15,734,000","11,376,000","8,015,000","3,762,000","14,454,000","6,137,000","3,793,000","1,253,000","12,274,000","206,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"24,438,000","21,971,000","17,517,000","14,890,000","6,643,000","16,374,000","7,502,000","4,920,000","1,955,000","12,562,000","264,000",Financials in USD,Fiscal year is January - December
Operating Income,"-24,438,000","-21,971,000","-17,517,000","-14,890,000","-6,643,000","-16,374,000","-7,502,000","-4,920,000","-1,955,000","-12,562,000","-264,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,261,000","4,484,000","4,206,000","1,988,000","1,052,000","245,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,177,000","-17,487,000","-13,311,000","-12,902,000","-5,591,000","-16,129,000","-7,502,000","-4,920,000","-1,955,000","-12,562,000","-264,000",Financials in USD,Fiscal year is January - December
Net Income,"-20,177,000","-17,487,000","-13,311,000","-12,902,000","-5,591,000","-16,129,000","-7,502,000","-4,920,000","-1,955,000","-12,562,000","-264,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,177,000","-17,487,000","-13,311,000","-12,902,000","-5,591,000","-16,129,000","-7,502,000","-4,920,000","-1,955,000","-12,562,000","-264,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"25,767,000","25,724,000","24,082,000","16,003,000","1,084,000","990,000","906,000","10,875,000","10,875,000","10,875,000","10,875,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"25,767,000","25,724,000","24,082,000","16,003,000","1,084,000","990,000","906,000","10,875,000","10,875,000","10,875,000","10,875,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2277.030%,2498.384%,2558.057%,47.154%,-90.032%,-90.897%,-91.669%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.783,-0.680,-0.553,-0.806,-5.158,-16.292,-8.280,-0.452,-0.180,-1.155,-0.024,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.783,-0.680,-0.553,-0.806,-5.158,-16.292,-8.280,-0.452,-0.180,-1.155,-0.024,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-23,444,000","-18,007,000","-14,923,000","-9,355,000","-5,413,000","-9,554,000","-3,815,000","-4,552,000","-1,309,000","-515,000","-150,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.910,-0.700,-0.620,-0.585,-4.994,-9.651,-4.211,-0.419,-0.120,-0.047,-0.014,Financials in USD,Fiscal year is January - December
EBITDA,"-24,428,000","-21,961,000","-17,507,000","-14,879,000","-6,634,000","-16,367,000","-7,496,000","-4,915,000",-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"10,000","10,000","10,000","11,000","9,000","7,000","6,000","5,000",-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-24,438,000","-21,971,000","-17,517,000","-14,890,000","-6,643,000","-16,374,000","-7,502,000","-4,920,000","-1,955,000","-12,562,000","-264,000",Financials in USD,Fiscal year is January - December
