Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"2,612,000","2,134,000","2,360,000","989,000","831,000","759,000","516,000","735,000","595,000","476,000","268,000","144,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),214.320%,181.159%,357.364%,34.558%,39.664%,59.454%,92.537%,410.417%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,307,000","9,340,000","15,415,000","12,215,000","12,506,000","22,142,000","20,091,000","26,038,000","19,570,000","18,387,000","14,191,000","14,643,000","12,289,000","11,184,000","9,748,000","21,063,000",-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-6,695,000","-7,206,000","-13,055,000","-11,226,000","-11,675,000","-21,383,000","-19,575,000","-25,303,000","-18,975,000","-17,911,000","-13,923,000","-14,499,000","-12,289,000","-11,184,000","-9,748,000","-21,063,000",-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,725,000","9,374,000","7,396,000","9,473,000","11,228,000","9,457,000","6,243,000","5,664,000","7,010,000","7,943,000","6,036,000","6,165,000","4,932,000","4,021,000","3,194,000","2,100,000","2,540,000","1,235,000","1,707,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-13,921,000","5,505,000","4,895,000","3,521,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"9,725,000","9,374,000","7,396,000","9,473,000","11,228,000","9,457,000","6,243,000","5,664,000","7,010,000","7,943,000","6,036,000","6,165,000","4,932,000","4,021,000","3,194,000","-11,821,000","8,045,000","6,130,000","5,228,000",Financials in USD,Fiscal year is January - December
Operating Income,"-16,420,000","-16,580,000","-20,451,000","-20,699,000","-22,903,000","-30,840,000","-25,818,000","-30,967,000","-25,985,000","-25,854,000","-19,959,000","-20,664,000","-17,221,000","-15,205,000","-12,942,000","-9,242,000","-8,045,000","-6,130,000","-5,228,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-430,000","-1,801,000",-,-,"-420,000","-1,270,000",-,"-55,000","-287,000","-257,000","-339,000","-190,000","-222,000","-196,000","-196,000","-194,000","-194,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,000","299,000","761,000","2,288,000","684,000","957,000","1,102,000","1,518,000","184,000",-,"132,000","88,000",-,-,"10,000","3,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-38,000","-24,000","-9,000","-2,000","-29,000","196,000","-143,000","-107,000","2,000","-3,000","-50,000","-21,000","-968,000","-15,000","-334,000","-30,000",-,"1,000","4,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-16,444,000","-16,305,000","-20,129,000","-20,214,000","-22,248,000","-29,687,000","-25,279,000","-30,826,000","-25,799,000","-25,912,000","-20,164,000","-20,854,000","-18,528,000","-15,410,000","-13,488,000","-9,465,000","-8,241,000","-6,323,000","-5,418,000",Financials in USD,Fiscal year is January - December
Net Income,"-16,444,000","-16,305,000","-20,129,000","-20,214,000","-22,248,000","-29,687,000","-25,279,000","-30,826,000","-25,799,000","-25,912,000","-20,164,000","-20,854,000","-18,528,000","-15,410,000","-13,488,000","-9,465,000","-8,241,000","-6,323,000","-5,418,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,444,000","-16,305,000","-20,129,000","-20,214,000","-22,248,000","-29,687,000","-25,279,000","-30,826,000","-25,799,000","-25,912,000","-20,164,000","-20,854,000","-18,528,000","-15,410,000","-13,488,000","-9,465,000","-8,241,000","-6,323,000","-5,418,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"55,155,583","55,150,507","55,150,507","55,143,137","55,140,058","55,071,469","50,627,287","47,895,083","47,854,965","47,849,639","47,807,209","47,781,701","32,303,540","4,588,500","4,496,657","3,580,272","4,180,696","4,007,606","3,852,201",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"55,155,583","55,150,507","55,150,507","55,143,137","55,140,058","55,071,469","50,627,287","47,895,083","47,854,965","47,849,639","47,807,209","47,781,701","32,303,540","4,588,500","4,496,657","3,580,272","4,180,696","4,007,606","3,852,201",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.028%,0.144%,8.934%,15.133%,15.223%,15.093%,5.899%,0.237%,48.142%,942.817%,963.172%,1234.583%,672.683%,14.495%,16.730%,-,-,-,-,Financials in USD,Fiscal year is January - December
