Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
Revenue,-,"100,000",-,"119,000","30,000","17,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,488.235%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"38,893,000","67,632,000","63,851,000","38,057,000","34,106,000","37,386,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-38,893,000","-67,532,000","-63,851,000","-37,938,000","-34,076,000","-37,369,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,904,000","93,366,000","9,974,000","7,889,000","7,263,000","6,397,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,904,000","93,366,000","9,974,000","7,889,000","7,263,000","6,397,000",Financials in USD,Fiscal year is January - December
Operating Income,"-46,797,000","-160,898,000","-73,825,000","-45,827,000","-41,339,000","-43,766,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-5,361,000","-8,130,000","-8,149,000","-7,905,000","-7,563,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,892,000","2,741,000","3,304,000","2,324,000","2,414,000","2,483,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"41,000","33,000","-59,000","-135,000","-217,000","-70,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-43,864,000","-163,485,000","-78,710,000","-51,787,000","-47,047,000","-48,916,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"2,021,498,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-43,864,000","1,858,013,000","-78,710,000","-51,787,000","-47,047,000","-48,916,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"2,000",-,"2,000","5,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-43,864,000","1,858,011,000","-78,710,000","-51,789,000","-47,052,000","-48,916,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-43,864,000","1,858,011,000","-78,710,000","-51,789,000","-47,052,000","-48,916,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"15,468,000","14,619,000","13,639,000","11,788,000","10,911,000","10,893,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"15,468,000","14,807,000","13,639,000","11,788,000","10,911,000","10,893,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),41.765%,35.931%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.836,127.096,-5.771,-4.393,-4.312,-4.491,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.840,125.480,-5.771,-4.393,-4.312,-4.491,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-30,528,000","-81,309,000","-41,433,000","-55,056,000","-55,621,000","-26,962,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.974,-5.491,-3.038,-4.671,-5.098,-2.475,Financials in USD,Fiscal year is January - December
Operating Margin,-,-160898.000%,-,-38510.084%,-137796.667%,-257447.059%,Financials in USD,Fiscal year is January - December
Profit Margin,-,1858011.000%,-,-43520.168%,-156840.000%,-287741.176%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-81309.000%,-,-46265.546%,-185403.333%,-158600.000%,Financials in USD,Fiscal year is January - December
EBITDA,"-46,037,000","-160,422,000","-73,465,000","-45,523,000","-41,045,000","-43,471,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"760,000","476,000","360,000","304,000","294,000","295,000",Financials in USD,Fiscal year is January - December
EBIT,"-46,797,000","-160,898,000","-73,825,000","-45,827,000","-41,339,000","-43,766,000",Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,0.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"100,000",-,"119,000","30,000","17,000",Financials in USD,Fiscal year is January - December
