Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Operating Revenue,"14,629,000","14,855,000","13,030,000","15,257,000","15,279,000","16,961,000","12,165,000","15,921,000","16,043,000","18,235,000","20,796,000","17,517,000","19,610,000","15,288,000","10,719,000","13,723,000","9,447,000","9,415,000","10,680,500",Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,"19,260,000","211,000","48,000","45,000","73,000","56,000","2,500,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue,"14,629,000","14,855,000","13,030,000","15,257,000","34,539,000","17,172,000","12,213,000","15,966,000","16,116,000","18,291,000","23,296,000","17,517,000","19,610,000","15,288,000","10,719,000","13,723,000","9,447,000","9,415,000","10,680,500",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-57.645%,-13.493%,6.690%,-4.441%,114.315%,-6.118%,-47.575%,-8.854%,-17.817%,19.643%,117.334%,27.647%,107.579%,62.379%,0.360%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,285,000","6,541,000","6,816,000","6,015,000","6,429,000","7,767,000","6,449,000","7,718,000","7,221,000","7,433,000","8,203,000","7,225,000","8,167,000","6,284,000","3,908,000","4,281,000","3,379,000","3,124,000","3,467,000",Financials in USD,Fiscal year is January - December
Gross Profit,"9,344,000","8,314,000","6,214,000","9,242,000","28,110,000","9,405,000","5,764,000","8,248,000","8,895,000","10,858,000","15,093,000","10,292,000","11,443,000","9,004,000","6,811,000","9,442,000","6,068,000","6,291,000","7,213,500",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,396,000","10,328,000","8,420,000","9,841,000","8,636,000","12,141,000","13,292,000","13,987,000","15,575,000","15,191,000","14,715,000","15,057,000","10,755,000","7,795,000","6,226,000","5,816,000","5,829,000","4,752,000","5,220,500",Financials in USD,Fiscal year is January - December
Research & Development,"842,000","913,000","7,884,000","1,505,000","2,229,000","1,774,000","2,033,000","4,256,000","2,812,000","2,609,000","1,266,000","1,992,000","794,000","13,772,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,238,000","11,241,000","16,304,000","11,346,000","10,865,000","13,915,000","15,325,000","18,243,000","18,387,000","17,800,000","15,981,000","17,049,000","11,549,000","21,567,000","6,226,000","5,816,000","5,829,000","4,752,000","5,220,500",Financials in USD,Fiscal year is January - December
Operating Income,"-2,894,000","-2,927,000","-10,090,000","-2,104,000","17,245,000","-4,510,000","-9,561,000","-9,995,000","-9,492,000","-6,942,000","-888,000","-6,757,000","-106,000","-12,563,000","585,000","3,626,000","239,000","1,539,000","1,993,000",Financials in USD,Fiscal year is January - December
