Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022",,
"Selling, General & Admin","5,826,000","5,157,000","4,434,000","2,122,000","1,751,000","2,053,000","1,592,000","1,736,000",Financials in USD,Fiscal year is January - December
Research & Development,"13,060,000","13,184,000","9,952,000","9,643,000","7,967,000","7,072,000","5,609,000","6,324,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"18,886,000","18,341,000","14,386,000","11,765,000","9,718,000","9,125,000","7,201,000","8,060,000",Financials in USD,Fiscal year is January - December
Operating Income,"-18,886,000","-18,341,000","-14,386,000","-11,765,000","-9,718,000","-9,125,000","-7,201,000","-8,060,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-349,000","-347,000","-346,000","-356,000","-363,000","-327,000","-324,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,500,000","2,658,000","1,558,000","738,000","714,000","667,000","230,000","112,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-48,000",-,"-243,000","166,000","226,000","122,000","11,000","296,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-16,783,000","-16,030,000","-13,417,000","-11,217,000","-9,141,000","-8,663,000","-7,284,000","-7,652,000",Financials in USD,Fiscal year is January - December
Net Income,"-16,783,000","-16,030,000","-13,417,000","-11,217,000","-9,141,000","-8,663,000","-7,284,000","-7,652,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,783,000","-16,030,000","-13,417,000","-11,217,000","-9,141,000","-8,663,000","-7,284,000","-7,652,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,959,000","26,913,000","17,600,000","3,772,973","3,742,000","3,716,000","3,691,000","3,666,200",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,959,000","26,913,000","17,600,000","3,772,973","3,742,000","3,716,000","3,691,000","3,666,200",Financials in USD,Fiscal year is January - December
Shares Change (YoY),620.444%,624.247%,376.836%,2.912%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.623,-0.596,-0.762,-2.973,-2.443,-2.331,-1.973,-2.087,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.623,-0.596,-0.762,-2.973,-2.443,-2.331,-1.973,-2.087,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,731,000","-12,034,000","-11,207,000","-11,876,000","-7,808,000","-6,689,000","-7,545,000","-6,083,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.472,-0.447,-0.637,-3.148,-2.087,-1.800,-2.044,-1.659,Financials in USD,Fiscal year is January - December
EBITDA,"-18,764,000","-18,228,000","-14,289,000","-11,673,000","-9,655,000","-9,013,000","-7,115,000","-7,963,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"122,000","113,000","97,000","92,000","63,000","112,000","86,000","97,000",Financials in USD,Fiscal year is January - December
EBIT,"-18,886,000","-18,341,000","-14,386,000","-11,765,000","-9,718,000","-9,125,000","-7,201,000","-8,060,000",Financials in USD,Fiscal year is January - December
