Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,-,"138,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"138,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","48,439,000","51,283,000","69,338,000","51,309,000","13,483,000","2,558,000",Financials in USD,Fiscal year is January - December
Research & Development,"12,376,000","39,258,000","136,832,000","103,957,000","18,471,000","4,027,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"60,815,000","90,541,000","206,170,000","155,266,000","31,954,000","6,585,000",Financials in USD,Fiscal year is January - December
Operating Income,"-60,815,000","-90,541,000","-206,170,000","-155,266,000","-31,816,000","-6,585,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-7,968,000","-5,209,000","-1,883,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,830,000","8,866,000","3,655,000","80,000",-,"68,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-285,000","-575,000","-564,000","-1,275,000","-3,943,000","-5,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-61,238,000","-87,459,000","-204,962,000","-156,461,000","-35,759,000","-6,522,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"60,870,000","-3,831,000","-5,434,000",-,"-900,000",-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-5,700,000",-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-68,181,000","-68,181,000","-1,933,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"3,384,000","3,384,000","2,879,000","-294,000","-928,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-75,165,000","-156,087,000","-225,250,000","-156,755,000","-37,587,000","-6,522,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-2,073,000","39,000","151,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-75,165,000","-156,087,000","-223,177,000","-156,794,000","-37,738,000","-6,522,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-75,165,000","-156,087,000","-223,177,000","-156,794,000","-37,738,000","-6,522,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,504,610","6,503,913","6,475,631","5,299,662","799,890","493,607",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,504,610","6,503,913","6,475,631","5,299,662","799,890","493,607",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.049%,0.437%,22.190%,562.549%,62.050%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-11.556,-23.999,-34.464,-29.586,-47.179,-13.213,Financials in USD,Fiscal year is January - December
EPS (Diluted),-11.556,-23.999,-34.464,-29.586,-47.179,-13.213,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-58,576,000","-102,692,000","-264,753,000","-179,969,000","-80,432,000","-5,503,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-9.005,-15.789,-40.885,-33.959,-100.554,-11.149,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,100.000%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-23055.072%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-27346.377%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-58284.058%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-56,910,000","-85,785,000","-200,183,000","-152,514,000","-31,560,000","-6,565,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,905,000","4,756,000","5,987,000","2,752,000","256,000","20,000",Financials in USD,Fiscal year is January - December
EBIT,"-60,815,000","-90,541,000","-206,170,000","-155,266,000","-31,816,000","-6,585,000",Financials in USD,Fiscal year is January - December
