Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+1 Quarters,,
Revenue,"14,436,000","12,373,000","22,567,000","16,483,000","7,579,000","7,129,000","11,689,000","11,212,000","20,146,000","24,373,000","41,225,000","29,340,000","22,395,000","10,030,000","6,041,000","5,162,000","34,549,000","3,119,000","6,816,000","1,096,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),90.474%,73.559%,93.062%,47.012%,-62.380%,-70.750%,-71.646%,-61.786%,-10.042%,143.001%,582.420%,468.384%,-35.179%,221.577%,-11.370%,370.985%,994.708%,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"40,723,000","41,690,000","45,441,000","24,281,000","25,854,000","20,634,000","54,977,000","24,079,000","42,681,000","33,432,000","47,089,000","115,021,000","37,396,000","15,760,000","7,076,000","1,973,000","-399,000","5,475,000","8,944,000","6,999,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"-26,287,000","-29,317,000","-22,874,000","-7,798,000","-18,275,000","-13,505,000","-43,288,000","-12,867,000","-22,535,000","-9,059,000","-5,864,000","-85,681,000","-15,001,000","-5,730,000","-1,035,000","3,189,000","34,948,000","-2,356,000","-2,128,000","-5,903,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","16,933,000","20,074,000","28,462,000","19,514,000","23,653,000","24,111,000","27,227,000","27,347,000","27,660,000","24,837,000","20,245,000","30,339,000","29,940,000","21,740,000","20,379,000","9,222,000","12,909,000","11,825,000","21,902,000","9,100,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"27,845,000","27,825,000","33,361,000","27,245,000","30,868,000","24,251,000","27,616,000","12,512,000","11,635,000","10,786,000","531,179,000","48,461,000","131,281,000","104,986,000","37,471,000","34,570,000","30,866,000","10,902,000","12,577,000","5,349,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"26,000","-185,000","-2,015,000","112,000","-795,000","287,000","-34,525,000","157,000","-599,000","181,000","2,002,000","-2,190,000","45,000","45,000","179,000","-3,845,000","-7,249,000","-245,000","68,000","-1,207,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"44,966,000","47,771,000","59,311,000","47,077,000","53,961,000","48,704,000","20,043,000","40,204,000","38,746,000","35,804,000","553,426,000","76,610,000","161,266,000","126,771,000","58,029,000","39,947,000","36,526,000","22,482,000","34,547,000","13,242,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-71,253,000","-77,088,000","-82,185,000","-54,875,000","-72,236,000","-62,209,000","-63,331,000","-53,071,000","-61,281,000","-44,863,000","-559,290,000","-162,291,000","-176,267,000","-132,501,000","-59,064,000","-36,758,000","-1,578,000","-24,838,000","-36,675,000","-19,145,000",Upgrade,Financials in EUR,Fiscal year is January - December
