Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Revenue,"68,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"68,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,188,000","2,335,000","2,253,000","1,868,000","1,855,000","1,769,000","2,851,000","4,701,000","1,042,000","716,000","457,000","545,000","170,000","652,000","316,000",Financials in USD,Fiscal year is January - December
Research & Development,"2,336,000","2,334,000","1,697,000","1,075,000","1,087,000","1,981,000","1,730,000","825,000","727,000","596,000","355,000","499,000","985,000","536,000","746,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,"2,190,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,524,000","4,669,000","3,950,000","2,943,000","2,942,000","3,750,000","4,581,000","7,716,000","1,769,000","1,312,000","812,000","1,044,000","1,155,000","1,188,000","1,062,000",Financials in USD,Fiscal year is January - December
Operating Income,"-4,456,000","-4,669,000","-3,950,000","-2,943,000","-2,942,000","-3,750,000","-4,581,000","-7,716,000","-1,769,000","-1,312,000","-812,000","-1,044,000","-1,155,000","-1,188,000","-1,062,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-272,000","-82,000","-143,000","-199,000","-224,000","-225,000","-433,000","-147,000","-123,000","-191,000","-169,000","-147,000","-54,000","-9,000","-2,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"58,000","25,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"192,000","1,493,000","-8,604,000","-5,432,000","883,000","1,533,000","-2,082,000","-529,000","1,000","601,000","-23,000","-27,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,478,000","-3,233,000","-12,697,000","-8,574,000","-2,283,000","-2,442,000","-7,096,000","-8,392,000","-1,891,000","-902,000","-1,004,000","-1,218,000","-1,209,000","-1,197,000","-1,064,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-1,306,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-4,949,000",-,-,-,-,-,-,-,-,"91,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,478,000","-3,233,000","-12,697,000","-9,880,000","-7,232,000","-2,442,000","-7,096,000","-8,392,000","-1,891,000","-902,000","-1,004,000","-1,218,000","-1,209,000","-1,106,000","-1,064,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"3,000",-,"-5,000",-,"5,000",-,-,"1,000",-,-,-,"-2,000",-,"1,000",Financials in USD,Fiscal year is January - December
Net Income,"-4,478,000","-3,236,000","-12,697,000","-9,875,000","-7,232,000","-2,447,000","-7,096,000","-8,392,000","-1,892,000","-902,000","-1,004,000","-1,218,000","-1,207,000","-1,106,000","-1,065,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,478,000","-3,236,000","-12,697,000","-9,875,000","-7,232,000","-2,447,000","-7,096,000","-8,392,000","-1,892,000","-902,000","-1,004,000","-1,218,000","-1,207,000","-1,106,000","-1,065,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,086,871","3,154,782","2,684,243","1,543,877","801,939","597,315","521,034","445,147","289,551","289,551","289,551","289,551",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,086,871","3,154,782","2,684,243","1,543,877","801,939","597,315","521,034","445,147","289,551","289,551","289,551","289,551",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),409.624%,428.161%,415.176%,246.824%,176.959%,106.290%,79.946%,53.737%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.096,-1.026,-4.730,-6.396,-9.018,-4.097,-13.619,-18.852,-6.534,-3.115,-3.467,-4.207,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.096,-1.026,-4.730,-6.396,-9.018,-4.097,-13.619,-18.852,-6.534,-3.115,-3.467,-4.207,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,002,000","-2,824,000","-3,488,000","-4,485,000","-1,337,000","-2,169,000","-2,294,000","-5,302,000","-914,000","-991,000","-587,000","-1,095,000","-1,360,000","-959,000","-1,700,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.224,-0.895,-1.299,-2.905,-1.667,-3.631,-4.403,-11.911,-3.157,-3.423,-2.027,-3.782,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-6552.941%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-6585.294%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-7355.882%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-4,456,000","-4,669,000","-3,950,000","-2,943,000","-2,942,000","-3,750,000","-4,581,000","-7,716,000","-1,769,000","-1,312,000","-812,000","-1,044,000","-1,155,000","-1,188,000","-1,062,000",Financials in USD,Fiscal year is January - December
