Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"4,703,000","1,290,000","36,599,000","7,407,000","6,867,000","2,679,000","3,176,000","7,828,000","2,230,000","2,746,000","1,445,000","3,895,000","3,874,000","5,378,000","5,301,000","5,163,000","4,040,000","6,685,000","3,696,000","3,618,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-31.513%,-51.848%,1052.361%,-5.378%,207.937%,-2.440%,119.792%,100.976%,-42.437%,-48.940%,-72.741%,-24.559%,-4.109%,-19.551%,43.425%,42.703%,98.234%,65.021%,65.369%,-28.780%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"15,565,000","156,000","20,168,000","19,815,000","24,625,000","308,000","20,931,000","16,162,000","18,286,000","16,147,000","16,620,000","20,509,000","20,698,000","19,572,000","20,164,000","13,464,000","16,009,000","11,564,000","11,526,000","11,179,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-10,862,000","1,134,000","16,431,000","-12,408,000","-17,758,000","2,371,000","-17,755,000","-8,334,000","-16,056,000","-13,401,000","-15,175,000","-16,614,000","-16,824,000","-14,194,000","-14,863,000","-8,301,000","-11,969,000","-4,879,000","-7,830,000","-7,561,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,732,000","3,945,000","4,056,000","5,721,000","4,912,000","4,445,000","4,902,000","5,254,000","4,937,000","5,026,000","4,972,000","5,433,000","4,342,000","5,095,000","4,309,000","6,893,000","4,437,000","4,347,000","4,629,000","5,664,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,"19,593,000",-,-,-,"19,398,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,732,000","23,538,000","4,056,000","5,721,000","4,912,000","23,843,000","4,902,000","5,254,000","4,937,000","5,026,000","4,972,000","5,433,000","4,342,000","5,095,000","4,309,000","6,893,000","4,437,000","4,347,000","4,629,000","5,664,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-17,594,000","-22,404,000","12,375,000","-18,129,000","-22,670,000","-21,472,000","-22,657,000","-13,588,000","-20,993,000","-18,427,000","-20,147,000","-22,047,000","-21,166,000","-19,289,000","-19,172,000","-15,194,000","-16,406,000","-9,226,000","-12,459,000","-13,225,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-2,000","-49,000","-49,000","-97,000","-122,000","-108,000","-105,000","-231,000","-243,000","-227,000","-234,000","-218,000","-219,000","-199,000","-194,000","-166,000","-227,000","-227,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"809,000","1,073,000","1,331,000","1,241,000","1,570,000","1,311,000","1,171,000","909,000","535,000","182,000","7,000","6,000","7,000","7,000","7,000","9,000","20,000","59,000","312,000","447,000",Upgrade,Financials in USD,Fiscal year is January - December
