Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"3,938,000","6,216,000","26,658,000","13,765,000","31,270,000","89,642,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"25,000","9,000","251,000","502,000","722,000","1,080,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"3,963,000","6,225,000","26,909,000","14,267,000","31,992,000","90,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-41.376%,-76.866%,88.610%,-55.404%,-64.736%,-39.990%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"53,070,000","54,733,000","53,509,000","53,678,000","44,802,000","128,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-49,107,000","-48,508,000","-26,600,000","-39,411,000","-12,810,000","-37,345,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","40,558,000","40,415,000","48,006,000","51,994,000","72,694,000","98,634,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"46,250,000","40,415,000","48,006,000","51,994,000","72,694,000","98,634,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-95,357,000","-88,923,000","-74,606,000","-91,405,000","-85,504,000","-135,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-13,000","-468,000","-6,774,000","-18,755,000","-18,209,000","-17,666,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,131,000","3,237,000","133,000","171,000","1,006,000","3,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,"862,000","-3,000","-603,000","-2,416,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-128,000","567,000","578,000","-432,000","-400,000","6,093,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-96,282,000","-85,587,000","-79,807,000","-110,424,000","-103,710,000","-146,097,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-12,020,000","-10,390,000","-482,000",-,-,"-29,820,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,"8,291,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"-2,648,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-33,360,000","-445,000","-638,000","-543,000","-814,000","-990,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"60,000","60,000","961,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-141,602,000","-96,362,000","-79,966,000","-110,967,000","-104,524,000","-171,264,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,038,000","-458,000","-189,000","-160,000","-82,000","-930,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-139,564,000","-95,904,000","-79,777,000","-110,807,000","-104,442,000","-170,334,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,"108,094,000","18,641,000","-66,079,000","-153,582,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-139,564,000","-95,904,000","28,317,000","-92,166,000","-170,521,000","-323,916,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,"1,592,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-139,564,000","-95,904,000","28,317,000","-92,166,000","-170,521,000","-322,324,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-139,564,000","-95,904,000","28,317,000","-92,166,000","-170,521,000","-322,324,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"256,670,856","244,536,221","200,360,821","197,759,900","167,065,539","154,138,774",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"256,670,856","244,536,221","200,360,821","197,759,900","167,065,539","154,138,774",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.408%,22.048%,1.315%,18.373%,8.386%,19.006%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.544,-0.392,0.141,-0.466,-1.021,-2.091,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.544,-0.392,0.141,-0.466,-1.021,-2.091,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-84,297,000","-68,466,000","-69,969,000","-63,018,000","-84,548,000","-173,810,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.328,-0.280,-0.349,-0.319,-0.506,-1.128,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-98.852%,-276.239%,-40.041%,-41.164%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2406.182%,-1428.482%,-277.253%,-640.674%,-267.267%,-149.885%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-3521.675%,-1540.627%,105.232%,-646.008%,-533.011%,-355.288%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2127.101%,-1099.855%,-260.021%,-441.705%,-264.279%,-191.585%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-89,878,000","-82,255,000","-63,841,000","-77,644,000","-67,988,000","-119,837,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-237.248%,-,-212.516%,-132.093%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,479,000","6,668,000","10,765,000","13,761,000","17,516,000","16,142,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-95,357,000","-88,923,000","-74,606,000","-91,405,000","-85,504,000","-135,979,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-277.253%,-,-267.267%,-149.885%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"3,963,000","6,225,000","26,909,000","14,267,000","31,992,000","90,722,000",Upgrade,Financials in USD,Fiscal year is January - December
