Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,-,-,-,-,"7,871,000","22,499,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-65.016%,169.127%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,"25,738,000","43,709,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"-17,867,000","-21,210,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","41,101,000","34,375,000","26,212,000","19,638,000","17,422,000","10,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"219,332,000","173,755,000","121,627,000","55,913,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"260,433,000","208,130,000","147,839,000","75,551,000","17,422,000","10,968,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-260,433,000","-208,130,000","-147,839,000","-75,551,000","-35,289,000","-32,178,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"18,099,000","13,077,000","3,989,000","467,000","144,000","267,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-4,107,000","2,643,000","3,213,000","2,811,000","-246,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-246,441,000","-192,410,000","-140,637,000","-72,273,000","-35,391,000","-31,911,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"7,493,000","78,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"396,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-242,297,000","-192,410,000","-140,241,000","-72,273,000","-74,808,000","-31,833,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,-,"-192,410,000","-140,241,000","-72,273,000","-74,808,000","-31,833,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-242,297,000","-192,410,000","-140,241,000","-72,273,000","-74,808,000","-31,833,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"104,400,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-242,297,000","-192,410,000","-140,241,000","-72,273,000","-179,208,000","-31,833,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"97,778,559","79,657,942","58,739,713","38,730,813","11,081,257","7,620,082",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"97,778,559","79,657,942","58,739,713","38,730,813","11,081,257","7,620,082",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.319%,35.612%,51.661%,249.516%,45.422%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.478,-2.415,-2.387,-1.866,-16.172,-4.178,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.478,-2.415,-2.387,-1.866,-16.172,-4.178,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-192,097,000","-156,420,000","-125,501,000","-60,482,000","-35,850,000","-41,547,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.965,-1.964,-2.137,-1.562,-3.235,-5.452,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-226.998%,-94.271%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-448.342%,-143.020%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-2276.814%,-141.486%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-455.469%,-184.662%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-258,010,000","-205,860,000","-146,997,000","-75,404,000","-34,569,000","-30,885,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-137.273%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,423,000","2,270,000","842,000","147,000","720,000","1,293,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-260,433,000","-208,130,000","-147,839,000","-75,551,000","-35,289,000","-32,178,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-143.020%,Upgrade,Financials in USD,Fiscal year is January - December
