Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"681,879,000","582,022,000","437,855,000","305,440,000","159,742,000","5,995,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),25.827%,32.926%,43.352%,91.208%,2564.587%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"145,558,000","121,236,000","83,481,000","55,518,000","27,738,000","1,577,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"536,321,000","460,786,000","354,374,000","249,922,000","132,004,000","4,418,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","219,561,000","192,693,000","163,302,000","132,027,000","95,570,000","80,727,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"141,465,000","76,063,000","70,886,000","30,367,000","19,448,000","69,595,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"361,026,000","268,756,000","234,188,000","162,394,000","115,018,000","150,322,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"175,295,000","192,030,000","120,186,000","87,528,000","16,986,000","-145,904,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-18,083,000","-23,757,000","-18,795,000","-24,194,000","-28,615,000","-6,073,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"18,161,000","14,730,000","3,126,000","224,000","395,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-35,000","159,000","169,000","16,000","-3,071,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"175,338,000","183,162,000","104,686,000","63,574,000","-14,305,000","-151,977,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-9,766,000",-,"-26,146,000","-22,639,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"175,338,000","173,396,000","104,686,000","37,428,000","-36,944,000","-151,977,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"52,713,000","44,543,000","-76,782,000","2,831,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"122,625,000","128,853,000","181,468,000","34,597,000","-36,944,000","-151,977,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"26,904,000","35,231,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"122,625,000","128,853,000","181,468,000","34,597,000","-63,848,000","-187,208,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-18.659%,-28.994%,424.519%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"57,188,318","59,469,648","59,173,121","57,531,540","25,772,419","7,777,441",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"58,018,165","60,372,397","61,097,045","59,205,213","25,772,419","7,777,441",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-5.006%,-1.186%,3.195%,129.723%,231.374%,-12.195%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),2.144,2.167,3.067,0.601,-2.477,-24.071,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),2.106,2.130,2.970,0.580,-2.480,-24.071,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-14.804%,-28.283%,412.069%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"220,177,000","219,075,000","144,294,000","98,259,000","-2,987,000","-75,585,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,3.795,3.629,2.362,1.660,-0.116,-9.718,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,78.653%,79.170%,80.934%,81.823%,82.636%,73.695%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,25.708%,32.994%,27.449%,28.656%,10.633%,-2433.761%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,17.983%,22.139%,41.445%,11.327%,-39.969%,-3122.736%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,32.290%,37.640%,32.955%,32.170%,-1.870%,-1260.801%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"199,564,000","216,389,000","143,571,000","106,368,000","27,223,000","-142,694,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,29.267%,37.179%,32.790%,34.825%,17.042%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"24,269,000","24,359,000","23,385,000","18,840,000","10,237,000","3,210,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"175,295,000","192,030,000","120,186,000","87,528,000","16,986,000","-145,904,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,25.708%,32.993%,27.449%,28.656%,10.633%,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,30.064%,25.689%,-,7.564%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"21,544,000","22,428,000","19,558,000","13,301,000","7,072,000",Upgrade,Financials in USD,Fiscal year is January - December
