Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","18,816,000","18,821,000","24,714,000","20,391,000","7,824,000","403,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"119,890,000","86,140,000","82,274,000","51,100,000","13,704,000","3,920,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"138,706,000","104,961,000","106,988,000","71,491,000","21,528,000","4,323,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-138,706,000","-104,961,000","-106,988,000","-71,491,000","-21,528,000","-4,323,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-653,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,939,000","8,325,000","2,228,000","442,000","60,000","7,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"288,000","-19,000","-27,000","-47,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-122,679,000","-96,655,000","-104,787,000","-71,096,000","-22,121,000","-4,316,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-122,679,000","-96,655,000","-104,787,000","-71,096,000","-22,121,000","-4,316,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"1,869,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-122,679,000","-96,655,000","-104,787,000","-71,096,000","-23,990,000","-4,316,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,642,675","45,247,098","39,995,460","39,524,272","7,021,468","2,593,316",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,642,675","45,247,098","39,995,460","39,524,272","7,021,468","2,593,316",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.111%,13.131%,1.192%,462.906%,170.753%,2.804%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.287,-2.136,-2.620,-1.799,-3.417,-1.664,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.287,-2.136,-2.620,-1.799,-3.417,-1.664,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-96,702,000","-83,727,000","-82,428,000","-52,265,000","-19,922,000","-3,081,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.803,-1.850,-2.061,-1.322,-2.837,-1.188,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-138,341,000","-104,584,000","-106,631,000","-71,328,000","-21,517,000","-4,314,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"365,000","377,000","357,000","163,000","11,000","9,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-138,706,000","-104,961,000","-106,988,000","-71,491,000","-21,528,000","-4,323,000",Upgrade,Financials in USD,Fiscal year is January - December
