Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","9,487,000","8,032,000","7,912,000","6,243,000","5,656,000","5,739,000","6,150,000","6,905,000","5,588,000","4,945,000","4,472,000","3,832,000","3,688,000","2,614,000","1,784,000","1,136,000","652,000","1,219,000","1,032,000",Financials in USD,Fiscal year is January - December
Research & Development,"40,314,000","29,311,000","23,200,000","20,785,000","16,100,000","16,231,000","25,108,000","26,676,000","19,656,000","10,112,000","12,549,000","12,753,000","3,564,000","3,235,000","2,932,000","39,844,000","1,969,000","1,954,000","1,439,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"49,801,000","37,343,000","31,112,000","27,028,000","21,756,000","21,970,000","31,258,000","33,581,000","25,244,000","15,057,000","17,021,000","16,585,000","7,252,000","5,849,000","4,716,000","40,980,000","2,621,000","3,173,000","2,471,000",Financials in USD,Fiscal year is January - December
Operating Income,"-49,801,000","-37,343,000","-31,112,000","-27,028,000","-21,756,000","-21,970,000","-31,258,000","-33,581,000","-25,244,000","-15,057,000","-17,021,000","-16,585,000","-7,252,000","-5,849,000","-4,716,000","-40,980,000","-2,621,000","-3,173,000","-2,471,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,936,000","-1,912,000","-1,906,000","-1,056,000","-943,000","-914,000","-874,000","-599,000","-147,000","-128,000","-118,000","-20,000",-,-,-,"-15,000","-64,000","-63,000","-24,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,761,000","5,104,000","4,186,000","1,960,000","2,158,000","2,239,000","1,623,000","894,000","567,000","263,000","26,000","6,000","5,000","2,000","2,000","2,000",-,-,"6,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"344,000","450,000","453,000","472,000","437,000","511,000","441,000","912,000","347,000","325,000","315,000",-,-,-,-,-,-,"1,000","62,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-46,632,000","-33,701,000","-28,379,000","-25,652,000","-20,104,000","-20,134,000","-30,068,000","-32,374,000","-24,477,000","-14,597,000","-16,798,000","-16,599,000","-7,247,000","-5,847,000","-4,714,000","-40,993,000","-2,685,000","-3,235,000","-2,427,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,580,000","-1,416,000",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-7,000","-4,000","-2,000",-,"-28,000","-1,000","-64,000","-202,000","-256,000","-287,000","-247,000","-364,000","-281,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,691,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-301,000","-359,000","-369,000","-47,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-46,632,000","-33,708,000","-28,383,000","-25,654,000","-20,104,000","-20,162,000","-30,069,000","-32,438,000","-24,679,000","-14,853,000","-17,085,000","-16,846,000","-7,611,000","-3,437,000","-4,714,000","-42,874,000","-4,460,000","-3,604,000","-2,474,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"1,000",-,-,-,"1,000",-,-,-,"1,000",-,-,-,"1,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-46,632,000","-33,708,000","-28,383,000","-25,655,000","-20,104,000","-20,162,000","-30,069,000","-32,439,000","-24,679,000","-14,853,000","-17,085,000","-16,847,000","-7,611,000","-3,437,000","-4,714,000","-42,875,000","-4,460,000","-3,604,000","-2,474,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-46,632,000","-33,708,000","-28,383,000","-25,655,000","-20,104,000","-20,162,000","-30,069,000","-32,439,000","-24,679,000","-14,853,000","-17,085,000","-16,847,000","-7,611,000","-3,437,000","-4,714,000","-42,875,000","-4,460,000","-3,604,000","-2,474,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"54,898,297","54,728,552","50,971,933","44,453,951","44,363,419","44,269,772","37,667,566","27,728,256","27,215,874","27,078,450","24,227,282","21,276,355","21,265,519","10,499,937","385,401","311,419","325,985","324,720","317,693",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"54,898,297","54,728,552","50,971,933","44,453,951","44,363,419","44,269,772","37,667,566","27,728,256","27,215,874","27,078,450","24,227,282","21,276,355","21,265,519","10,499,937","385,401","311,419","325,985","324,720","317,693",Financials in USD,Fiscal year is January - December
Shares Change (YoY),23.747%,23.625%,35.320%,60.320%,63.006%,63.487%,55.476%,30.324%,27.981%,157.892%,6186.253%,6732.067%,6423.465%,3133.536%,21.312%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.849,-0.616,-0.557,-0.577,-0.453,-0.455,-0.798,-1.170,-0.907,-0.549,-0.705,-0.792,-0.358,-0.327,-12.231,-137.676,-13.682,-11.099,-7.787,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.850,-0.616,-0.557,-0.577,-0.453,-0.455,-0.798,-1.170,-0.907,-0.549,-0.705,-0.792,-0.358,-0.327,-12.231,-137.676,-13.682,-11.099,-7.787,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-37,123,000","-24,871,000","-33,830,000","-25,207,000","-22,973,000","-17,772,000","-26,292,000","-21,162,000","-18,458,000","-19,039,000","-8,999,000","-6,438,000","-5,484,000","-7,665,000","-4,121,000","-27,382,000","-2,447,000","-2,722,000","-2,357,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.676,-0.454,-0.664,-0.567,-0.518,-0.401,-0.698,-0.763,-0.678,-0.703,-0.371,-0.303,-0.258,-0.730,-10.693,-87.927,-7.506,-8.383,-7.419,Financials in USD,Fiscal year is January - December
EBITDA,"-49,777,000","-35,848,000",-,-,"-21,750,000","-21,453,000",-,"-33,537,000","-25,200,000","-15,048,000","-17,012,000","-16,553,000","-7,193,000","-5,799,000","-4,681,000","-40,917,250","-1,948,000","-3,061,000","-2,363,000",Financials in USD,Fiscal year is January - December
