Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
"Selling, General & Admin","2,882,108","3,231,042","2,945,276","2,634,040","2,443,676","2,355,243",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,116,957","5,600,193","7,591,601","6,493,208","4,065,199","1,968,518",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,999,065","8,831,235","10,536,877","9,127,248","6,508,875","4,323,761",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,999,065","-8,831,235","-10,536,877","-9,127,248","-6,508,875","-4,323,761",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"353,057","429,039","21,239","24,024","81,902","98,887",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,474,726","-8,402,196","-10,515,638","-9,103,224","-6,426,973","-4,224,874",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"122,400",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-6,474,726","-8,402,196","-10,515,638","-9,103,224","-6,304,573","-4,224,874",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-6,474,726","-8,402,196","-10,515,638","-9,103,224","-6,304,573","-4,224,874",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,474,726","-8,402,196","-10,515,638","-9,103,224","-6,304,573","-4,224,874",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,296,514","2,764,790","2,543,633","2,494,443","2,191,651","1,864,239",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,296,514","2,764,790","2,543,633","2,494,443","2,191,651","1,864,239",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),23.154%,8.695%,1.972%,13.816%,17.563%,0.320%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.964,-3.039,-4.134,-3.649,-2.877,-2.266,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.964,-3.039,-4.134,-3.649,-2.877,-2.266,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,951,620","-7,858,293","-7,228,559","-7,317,401","-4,662,274","-3,017,680",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.805,-2.842,-2.842,-2.933,-2.127,-1.619,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,999,065","-8,831,235","-10,536,877","-9,127,248","-6,508,875","-4,323,761",Upgrade,Financials in USD,Fiscal year is January - December
